,feature,importance,algorithm
3,gross_margin,0.14154938107890297,kmeans
2,ebit_margin,0.13007247809162287,kmeans
10,ebit_margin,0.11900767716746707,kmeans
6,fcf_margin,0.10170573419786462,kmeans
0,roa,0.09653171142246435,kmeans
8,roa,0.09509729030717043,kmeans
7,financial_leverage,0.06565726830510513,kmeans
4,current_ratio,0.061162616280892236,kmeans
1,roe,0.0569668461950872,kmeans
9,roe,0.04625117512493743,kmeans
11,debt_to_equity,0.043851664098507,kmeans
5,debt_to_equity,0.042146157729978845,kmeans
