gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
17436,-1,Top Tier,-1,High Performers,-1,Growing,BASF SE,Unknown,?
17828,-1,Top Tier,-1,High Performers,-1,Growing,MERCEDES BENZ GROUP AG,Unknown,?
19349,-1,Top Tier,-1,High Performers,-1,Growing,SIEMENS AG,Unknown,?
100004,-1,Top Tier,-1,High Performers,-1,Growing,ALTANA AG,Unknown,?
100010,-1,Top Tier,-1,High Performers,-1,Growing,BAYWA AG,Unknown,?
100022,-1,Top Tier,-1,High Performers,-1,Growing,BAYERISCHE MOTOREN WERKE AKT,Unknown,?
100042,-1,Top Tier,-1,High Performers,-1,Growing,MAN SE,Unknown,?
100054,-1,Top Tier,-1,High Performers,-1,Growing,HOCHTIEF AG,Unknown,?
100080,-1,Top Tier,-1,High Performers,-1,Growing,BAYER AG,Unknown,?
100083,-1,Top Tier,-1,High Performers,-1,Growing,BEIERSDORF AG,Unknown,?
100102,-1,Top Tier,-1,High Performers,-1,Growing,BILFINGER SE,Unknown,?
100103,-1,Top Tier,-1,High Performers,-1,Growing,DEUTSCHE LUFTHANSA AG,Unknown,?
100301,-1,Top Tier,-1,High Performers,-1,Growing,DEUTZ AG,Unknown,?
100312,-1,Top Tier,-1,High Performers,-1,Growing,RHEINMETALL AG,Unknown,?
100368,-1,Top Tier,-1,High Performers,-1,Growing,GEA GROUP AG,Unknown,?
100373,-1,Top Tier,-1,High Performers,-1,Growing,HEIDELBERG MATERIALS AG,Unknown,?
100431,-1,Top Tier,-1,High Performers,-1,Growing,HAPAG-LLOYD AG,Unknown,?
100449,-1,Top Tier,-1,High Performers,-1,Growing,KUKA AG,Unknown,?
100590,-1,Top Tier,-1,High Performers,-1,Growing,E.ON SE,Unknown,?
100609,-1,Top Tier,-1,High Performers,-1,Growing,CONTINENTAL AG,Unknown,?
100676,-1,Top Tier,-1,High Performers,-1,Growing,TUI AG,Unknown,?
100736,-1,Top Tier,-1,High Performers,-1,Growing,K&S AG,Unknown,?
100737,-1,Top Tier,-1,High Performers,-1,Growing,VOLKSWAGEN AG,Unknown,?
100746,-1,Top Tier,-1,High Performers,-1,Growing,CECONOMY AG,Unknown,?
100764,-1,Top Tier,-1,High Performers,-1,Growing,SUEDZUCKER AG,Unknown,?
100953,-1,Top Tier,-1,High Performers,-1,Growing,RWE AKTIENGESELLSCHAFT,Unknown,?
101059,-1,Top Tier,-1,High Performers,-1,Growing,AXEL SPRINGER SE,Unknown,?
101120,-1,Top Tier,-1,High Performers,-1,Growing,AUDI AG,Unknown,?
101148,-1,Top Tier,-1,High Performers,-1,Growing,LECHWERKE AG,Unknown,?
101161,-1,Top Tier,-1,High Performers,-1,Growing,GELSENWASSER AG,Unknown,?
101286,-1,Top Tier,-1,High Performers,-1,Growing,LEONI AG,Unknown,?
101390,-1,Top Tier,-1,High Performers,-1,Growing,KSB SE & CO KGAA,Unknown,?
101768,-1,Top Tier,-1,High Performers,-1,Growing,MCKESSON EUROPE AG,Unknown,?
101937,-1,Top Tier,-1,High Performers,-1,Growing,DMG MORI AG,Unknown,?
101942,-1,Top Tier,-1,High Performers,-1,Growing,HENKEL AG & CO KGAA,Unknown,?
102175,-1,Top Tier,-1,High Performers,-1,Growing,PUMA SE,Unknown,?
102187,-1,Top Tier,-1,High Performers,-1,Growing,PORSCHE AUTOMOBIL HOLDING SE,Unknown,?
102218,-1,Top Tier,-1,High Performers,-1,Growing,DRAEGERWERK AG,Unknown,?
102250,-1,Top Tier,-1,High Performers,-1,Growing,HUGO BOSS AG,Unknown,?
102259,-1,Top Tier,-1,High Performers,-1,Growing,SALZGITTER AG,Unknown,?
102365,-1,Top Tier,-1,High Performers,-1,Growing,KOENIG & BAUER AG,Unknown,?
