gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
17436,2,Upper-Mid,0,Mid,4,Growing,BASF SE,Declining,⚠
17828,2,Upper-Mid,0,Mid,2,Growing,MERCEDES BENZ GROUP AG,Declining,⚠
19349,0,Strong Performers,0,Mid,2,Growing,SIEMENS AG,Declining,⚠
100004,0,Strong Performers,3,Upper-Mid,4,Growing,ALTANA AG,Volatile,⚠
100010,4,Mid,0,Mid,0,Growing,BAYWA AG,Volatile,⚠
100022,2,Upper-Mid,0,Mid,2,Growing,BAYERISCHE MOTOREN WERKE AKT,Declining,⚠
100042,4,Mid,0,Mid,0,Growing,MAN SE,Volatile,⚠
100054,1,Lower-Mid,1,Low Performers,0,Growing,HOCHTIEF AG,Consistent,✓
100080,0,Strong Performers,0,Mid,0,Growing,BAYER AG,Consistent,✓
100083,0,Strong Performers,2,High Performers,4,Growing,BEIERSDORF AG,Declining,⚠
100102,2,Upper-Mid,0,Mid,4,Growing,BILFINGER SE,Declining,⚠
100103,4,Mid,0,Mid,0,Growing,DEUTSCHE LUFTHANSA AG,Volatile,⚠
100301,2,Upper-Mid,0,Mid,0,Growing,DEUTZ AG,Consistent,✓
100312,0,Strong Performers,0,Mid,0,Growing,RHEINMETALL AG,Consistent,✓
100368,0,Strong Performers,0,Mid,0,Growing,GEA GROUP AG,Consistent,✓
100373,0,Strong Performers,2,High Performers,0,Growing,HEIDELBERG MATERIALS AG,Improving,⭐
100431,2,Upper-Mid,0,Mid,2,Growing,HAPAG-LLOYD AG,Declining,⚠
100449,2,Upper-Mid,0,Mid,0,Growing,KUKA AG,Consistent,✓
100590,2,Upper-Mid,0,Mid,2,Growing,E.ON SE,Declining,⚠
100609,2,Upper-Mid,0,Mid,4,Growing,CONTINENTAL AG,Declining,⚠
100676,1,Lower-Mid,1,Low Performers,0,Growing,TUI AG,Consistent,✓
100736,2,Upper-Mid,3,Upper-Mid,0,Growing,K&S AG,Improving,⭐
100737,2,Upper-Mid,0,Mid,2,Growing,VOLKSWAGEN AG,Declining,⚠
100746,1,Lower-Mid,1,Low Performers,0,Growing,CECONOMY AG,Consistent,✓
100764,2,Upper-Mid,0,Mid,0,Growing,SUEDZUCKER AG,Consistent,✓
100953,2,Upper-Mid,0,Mid,0,Growing,RWE AKTIENGESELLSCHAFT,Consistent,✓
101059,2,Upper-Mid,0,Mid,0,Growing,AXEL SPRINGER SE,Consistent,✓
