fyear,fincf,gsector,che,dp,cogs,ebitda,oancf,ceq,rect,gind,naics,sale,loc,dltt,lct,dvt,gsubind,ib,ivch,ggroup,ebit,datadate,at,conm,lt,emp,xrd,gvkey,capx,dlc,isin,act,revt,xsga,ppent,xint,sic,seq,oibdp,invt,ivst,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,cluster,cluster_name
2024.0,-78.156,35.0,26.431,64.978,569.503,253.817,225.326,790.406,411.446,352030.0,327213.0,957.091,DEU,80.874,435.48,24.098,35203010.0,149.685,2.142,3520.0,188.839,2024-09-30,1442.269,SCHOTT PHARMA AG & CO KGAA,650.0,4.517,24.254,358679,145.075,205.465,DE000A3ENQ51,588.601,957.091,125.184,723.49,12.779,3221.0,790.406,253.817,140.445,3.249,13.093188579938971,18.937735796540007,19.730516742922042,26.51963083970072,15.639578681650962,26.51963083970072,40.49646271880103,21.67374437609035,1.3516143106457241,1.0291081105906126,0.06069394690915771,0.0681546798934509,10.616674143311682,0.1023195674121907,0.362268252012257,54.802952847215046,45.06787568754511,14.777290867830034,1.0239976045733739,19.853369933070738,0.6636008955333575,211.88642904582687,2.3261643083174945,156.91066993629659,75.59260300222236,6.25055348384611,4.054989497668127,30.360286465284908,15.15791079427139,2.232678752808643,80.251,8.384887121496284,64.38449180298767,119.32175027404297,1.8247191949453827,2.5341372972893907,16.09914153054748,83.90085846945252,6.508888250860778,17.083635052945702,0.8484036615316048,1197.5101050929725,-17.320635789065765,0.9721526029538595,0.020794380238289993,0.556610173744923,0.5613837376784517,1.9277031144388368,0.044542066407044036,15.62302178026429,1.4071708079860712,0.6358118199172683,-0.5066219254178034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5,True,0,Mid
2024.0,-209.169,35.0,121.896,72.231,455.543,294.305,201.378,604.422,113.432,352020.0,325412.0,1194.707,DEU,889.677,326.915,48.456,35202010.0,113.787,,3520.0,222.074,2024-12-31,2080.019,DERMAPHARM HOLDING,1471.724,3.61,23.098,326577,38.237,89.935,DE000A2GS5D8,593.498,1194.707,287.427,315.028,58.408,2834.0,604.422,294.305,343.381,0.587,10.676537089324666,18.82575419160785,18.58815592442331,24.634073459015475,9.524259923144335,24.634073459015475,61.8698978075796,14.863405972428867,1.8154504993652785,0.7650826667482374,0.37286756496336965,0.37466313873636875,12.816373311974557,1.4719467524345573,1.6207417996035882,29.058484561919872,70.75531521587062,3.802116148472812,2.914377941251423,47.0963005626391,0.5743731187070888,330.9437673130194,10.532363001622118,34.65509116461191,26.368641014072907,4.481557338614991,1.326640087832466,11.313742807157052,3.200533687339239,0.5293710456729106,163.141,13.65531465037034,18.987674919802565,90.68058394949429,3.4413356893031684,1.93336106677202,42.58482954994859,57.41517045005141,3.8589362758265855,-3.7328184320348345,3.2313411495567657,-8.286438686537634,-7.953588021472746,0.6342065967192626,-0.4287600068167555,0.35205452462828,0.4545569899003441,4.946341128536405,1.8607090101973809,9.68154617818395,5.595114278957773,0.18083648887113943,0.3398187220747304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11,True,0,Mid
2024.0,-1679.0,25.0,9151.0,2935.0,26614.0,8647.0,6353.0,23043.0,4573.0,251020.0,336110.0,40083.0,DEU,7160.0,14343.0,2100.0,25102010.0,3592.0,343.0,2510.0,5712.0,2024-12-31,53527.0,DR ING  H C F PORSCHE AG,30471.0,39.463,2033.0,354519,2174.0,4175.0,DE000PAG9113,20288.0,40083.0,4958.0,14330.0,316.0,3711.0,23043.0,8647.0,6130.0,2767.0,10.6712500233527,15.588248057978562,14.250430357009206,21.572736571613902,8.961405084449767,21.572736571613902,33.60277424344485,18.912028606429825,1.414487903506937,0.9871017220944015,0.6380115735899045,0.830927978804992,11.106544360789881,0.3107234301089268,0.49190643579395044,43.04930222130887,56.92641097016459,18.075949367088608,0.2525731467561004,21.17622881910064,0.748837035514787,1015.7109190887667,8.765143232013996,41.64221739889729,35.75081705461168,6.742304457527334,4.3415986949429035,25.639396939862124,5.423745727615199,0.7407155025553662,4179.0,10.425866327370706,34.22005351802298,111.22198879551821,2.322918022826889,5.07197565052516,58.463251670378625,41.536748329621375,-1.1028867505551432,6.105417566951443,0.5503605371111275,-16.536848412222895,7.837301587301582,0.11399933371381193,0.022737221280166326,-1.1226496373351766,1.4970888140968681,2.0319024190356036,0.06482625871648164,11.868776505315076,2.0989337188704567,0.014689455986969963,0.6251670892980747,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7,True,0,Mid
2024.0,-4.0,55.0,751.9,629.6,5286.4,2114.5,931.2,3931.6,2066.8,551010.0,221122.0,8857.5,DEU,2631.7,3532.2,176.166,55101010.0,902.5,,5510.0,1484.9,2024-12-31,14577.8,EWE-ENERGIEVERSORGUNG WESER,9869.5,10.899,0.3,210359,1049.5,485.4,,4318.1,8857.5,1113.1,7364.7,136.5,4931.0,3931.6,2114.5,538.7,295.9,10.186036301773932,22.955031030623665,16.764324019192774,23.872424499012137,10.189105278012983,23.872424499012137,40.317245272368055,22.624289610409402,1.2224958949096882,1.069984712077459,0.21287016590227054,0.29664231923447143,5.391074098972414,0.669371248346729,0.7928324346322108,26.969775960707377,67.70225960021403,10.878388278388279,1.1185623078742017,21.382513136412904,0.607601970118948,812.6892375447289,4.28561060576737,85.16872706745696,83.14648602878916,11.270517877592562,9.813254130313716,19.335565037248422,11.848715777589614,1.6669313850063532,-118.29999999999995,-1.3355913068021446,112.70403780068727,62.711293689810766,3.7078543086784004,0.003386960203217612,19.5197783933518,80.4802216066482,-13.854308500291769,-7.67174823137482,0.49792531120329553,-83.30981941309255,7.596883329915927,0.646014588903901,-0.03518143254923762,0.660044803088862,-0.34235377948553125,5.201134723670325,0.21397399401655762,6.3877951405561895,1.870457939381924,0.16969972165354902,0.25798570313552566,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Mid
2024.0,-234.0,20.0,1253.0,386.0,4692.0,1806.0,1720.0,4050.0,2848.0,201010.0,332994.0,9751.0,DEU,1871.0,6782.0,352.0,20101010.0,804.0,,2010.0,1420.0,2024-12-31,14344.0,RHEINMETALL AG,9880.0,28.539,330.0,100312,732.0,552.0,DE0007030009,8231.0,9751.0,2383.0,1661.0,135.0,3480.0,4050.0,1806.0,3989.0,69.0,9.899609592861127,19.85185185185185,14.562608963183262,18.521177315147163,8.245308173520664,18.521177315147163,51.881858270946566,23.98243539942577,1.2136537894426422,0.6254792096726629,0.1847537599528163,0.19492774992627543,10.101784718349135,0.46197530864197534,0.5982716049382716,28.234802007808142,68.87897378694925,10.518518518518519,0.6478405315614618,16.89208031232571,0.6797964305633017,341.67279862644097,3.423806179775281,106.60650189724132,17.034150343554508,6.729468599033816,1.176234645274505,28.590351366424986,7.506922366936725,1.8963730569948187,988.0,10.132294123679623,42.55813953488372,121.12676056338027,3.541728395061728,3.3842682801763924,43.78109452736319,56.21890547263681,35.883500557413605,22.52498505167848,15.295115743546251,186.3768115942029,83.91959798994975,1.0327341372410506,-0.006713441454578873,0.060298832520116065,0.7267969321845053,3.6270168804043044,0.11842220708244544,11.991076408254322,3.0547837780097273,0.8918064260790117,0.22344346082793115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Mid
2024.0,-49.043,25.0,311.18,84.585,1376.112,250.851,200.652,523.463,191.732,251010.0,3362.0,1876.747,DEU,551.911,511.747,38.6,25101010.0,77.349,6.529,2510.0,166.266,2024-12-31,1711.869,SAF HOLLAND SE,1184.769,4.935,40.97,285715,48.505,233.464,DE000SAFH001,857.25,1876.747,216.411,357.167,41.016,3700.0,523.463,250.851,291.469,10.45,9.712542256446024,14.776402534658612,8.859265526999643,13.366266204235306,4.121439917047956,13.366266204235306,26.67567871428594,15.461225582913482,1.6751441630336865,1.1055873312398508,0.608073911522686,0.6284941582461646,20.182794361017113,1.0543457703791863,1.5003448190225481,30.57844963604108,69.2090925181775,4.05368636629608,1.8903452647188967,45.87821848517615,1.096314612858811,380.29321175278625,9.788386915068951,37.28908584907821,19.031174686838447,5.431926785006209,4.721297976800278,29.37794889679059,2.584525245011714,0.5734468286339186,152.147,8.106953148186728,24.173693758347788,120.68131788820324,3.270276982327309,2.1830326623673835,49.903683305537236,50.096316694462764,-10.892900383159954,3.640405657310253,-6.071564522268746,2.918157650862785,-11.637185069134492,0.10359047867956825,0.03951154439210965,0.03591477668216199,0.5072179833176997,1.0576754382713478,0.2763706036758689,11.721223995527694,3.5884403626109243,0.10551823707414434,-0.08552116181401809,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Mid
2024.0,-404.728,25.0,210.622,367.402,1280.106,728.223,785.511,1426.972,408.737,252030.0,315.0,4307.349,DEU,1007.369,1204.131,96.623,25203010.0,213.468,2.623,2520.0,360.821,2024-12-31,3782.421,HUGO BOSS AG,2332.31,18.623,89.968,102250,228.584,395.753,DE000A1PHFF7,1852.58,4307.349,2289.476,1544.336,56.231,2300.0,1426.972,728.223,1071.561,0.0,9.53941932957754,14.959508665902344,8.37686939228746,16.906524175310615,4.955902110555703,16.906524175310615,70.28088506410788,14.82212229100196,1.5385203104977778,0.6486163050365782,0.17491618436864428,0.17491618436864428,17.14375528266155,0.7059486801422873,0.9832862873272917,37.7264191373726,61.66182981746348,6.416762995500703,1.637547839054795,37.09587060774039,1.138780955372234,231.29189711646887,10.53819204035847,34.63592223430235,35.85351453991771,6.642540893732585,1.1946179452219707,16.374671143164658,5.306837221687864,0.6221631890953234,556.9269999999999,12.929692950350665,29.10003806439375,217.70102072772923,2.650662381602442,2.0887093198159703,45.26345869170087,54.73654130829913,2.6180124689723083,8.9511465241338,-0.613726118048874,285.02226093689507,-8.197353360509252,-1.0818589936119924,0.11202790777277863,0.04268964163199785,-0.07281249008604854,6.533374248348302,0.5095922736971833,20.767413251988607,5.745558804631129,0.30161916401188277,0.2973842866180331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Mid
2024.0,2380.3,55.0,8757.7,1705.2,25943.1,7773.0,2620.2,10232.9,5242.4,551010.0,2211.0,34936.7,DEU,18526.4,13964.3,433.4,55101010.0,1243.7,1248.6,5510.0,6067.8,2024-12-31,64277.7,ENBW ENERGIE BADEN,46509.9,28.597,44.8,216524,5483.5,4278.5,DE0005220008,21484.3,34936.7,3666.6,29670.5,889.0,4911.0,10232.9,7773.0,3014.3,3926.1,9.439976850447357,12.153934857176363,17.36798266579271,22.24880999064022,3.559866844893765,22.24880999064022,25.742557253547126,21.09856637678942,1.538516073129337,1.3226584934439964,0.6271492305378716,0.9083018840901442,11.699236282567673,1.8104740591621145,2.228586226778333,15.919829116474299,72.35775393332369,6.825421822272216,1.8071786954843692,35.4787119016393,0.543527537544125,1221.6910864776023,6.664256828933313,54.7697979488618,84.926452698738,4.645837765957446,8.606674849882227,21.78064865419889,15.695529343069037,3.2157518179685667,-2863.3,-8.19567961484628,209.27791771620488,43.18204291505982,6.281474459830546,0.12823191658055855,34.847632065610675,65.15236793438933,-21.991568756168256,-0.6817173963092782,,-18.287149339345344,24.51746219174349,0.9007487912192431,-0.12818660308997296,0.4843372271521028,-0.1773859004519628,5.072178113991962,1.2103639397944819,4.07637485473189,3.599864914724167,0.34690540748176457,-0.47936871698007827,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Mid
2024.0,-483.943,20.0,638.313,169.958,3288.165,732.31,710.118,2423.749,1264.576,201060.0,3332.0,5422.129,DEU,124.639,2620.045,189.733,20106020.0,398.162,5.804,2010.0,562.352,2024-12-31,6032.165,GEA GROUP AG,3608.021,18.347,153.85,100368,237.105,170.137,DE0006602006,2776.052,5422.129,1280.105,925.441,49.717,3550.0,2423.749,732.31,775.678,0.0,9.322556660834046,16.42752611759716,10.371424213625312,13.505949415810653,7.3432778895522395,13.505949415810653,39.356570085293065,22.06696939398553,1.0595436337925495,0.7634884133669461,0.24362673160193812,0.24362673160193812,2.58625219966629,0.0514240542234365,0.12161985420107446,40.18041615240962,59.81303561822331,11.311060603013054,-0.469114172959539,4.886736354194555,0.8988694772109185,295.5321850983812,4.287705128042917,85.12712257491478,17.06785286738844,34.75567762984993,4.23908503270687,31.54570539764745,4.3729132966036035,1.3950799609315243,473.01300000000003,8.723750393987308,33.389521178170384,126.27642473041799,2.4887746214645166,2.8374463241284005,47.652211913743656,52.347788086256344,0.9051471380523424,1.3086461843609065,-2.269216427848497,54.981553442592876,3.828570427654343,0.2639485037882495,-0.00017460257538194458,0.23724610233001303,0.4389229556919149,2.46568109363861,0.07253192133962512,11.77219124476867,3.321121910068246,0.1260541894012099,-0.30475443608528524,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,Mid
2018.0,-16.119,45.0,130.356,53.3,1813.551,205.53,81.68,359.841,555.913,452020.0,334111.0,2399.846,DEU,4.677,1086.104,,45202030.0,37.414,3.817,4520.0,152.23,2018-12-31,1638.437,DIEBOLD NIXDORF AG,1249.278,8.786,87.872,270249,34.552,344.565,DE000A0CAYB2,1031.011,2399.846,276.755,100.102,6.265,7372.0,359.841,205.53,211.075,0.0,9.291172013327335,10.397369949505476,6.343323696603866,8.56429954255398,1.5590167035718128,8.56429954255398,24.430525958749023,41.76199803576229,0.949274655097486,0.7549332292303499,0.12002165538475136,0.12002165538475136,-3.362533927151308,0.012997407188174775,0.9705453241848483,21.962455681848006,76.24815601698448,24.29848363926576,1.0649832141293243,21.315558669634537,1.4647166781511893,273.1443205099021,4.316945277408515,84.55052740884207,4.1711843176603836,,8.591974416676537,41.88558974193088,1.4397590512057856,0.6482551594746717,47.12800000000001,1.9637926766967548,42.30166503428011,53.65565263088749,4.553224896551532,3.6615682839648875,0.0,100.0,1.613772598341967,3.1343731725755886,4.2848664688427185,-64.00051942893373,0.3689179375453877,0.31931894179770987,0.12190908014663596,-0.22806702583551877,0.5259782619628286,0.8212851867279339,0.2524548799190266,4.98523898080915,2.1468009426106813,0.3779213193661512,-0.7095106278307913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,0,Mid
