lct,sic,seq,naics,dlc,cogs,conm,lt,dp,gsector,oibdp,ebit,dltt,at,emp,loc,gvkey,oancf,ppent,act,gind,ceq,sale,ib,che,invt,xsga,isin,rect,gsubind,revt,ebitda,datadate,fyear,ggroup,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier
15893.0,2800.0,27614.0,325.0,3867.0,53133.0,BASF SE,43164.0,3063.0,15.0,10140.0,7077.0,12542.0,71359.0,107.667,DEU,17436,6958.0,23496.0,27420.0,151010.0,27614.0,74326.0,5155.0,2670.0,11266.0,8798.0,DE000BASF111,11432.0,15101020.0,74326.0,10140.0,2014-12-31,2014.0,1510.0,9.91745960565591,18.668066922575505,9.521567150122435,13.642601512256814,6.9356618141700075,1.7252878625810104,1.0164223242937143,0.16799848990121438,0.4541899036720504,0.5942275657275295,38.69729116159139,60.48851581440323,1.0415784974565228,690.3322280735973,6.501574527641708,56.140247019885365,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14236.0,2800.0,30916.0,325.0,4427.0,48115.0,BASF SE,39291.0,3711.0,15.0,10172.0,6461.0,11448.0,70836.0,106.901,DEU,17436,9446.0,25260.0,24566.0,151010.0,30916.0,70449.0,3987.0,2925.0,9693.0,9740.0,DE000BASF111,10630.0,15101020.0,70449.0,10172.0,2015-12-31,2015.0,1510.0,9.121068383307923,12.896234959244405,9.171173473008844,14.438813893738732,5.65941319252225,1.7256251756111267,1.044745715088508,0.20546501826355718,0.37029369905550524,0.5134881614697892,43.64447456095771,55.467558868372016,0.9945366762663053,659.0116088717599,6.627375352775164,55.074592967962644,-5.216209670909233,-0.7329138580977834,-0.7114529057185681,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15317.0,2800.0,31807.0,325.0,3988.0,35698.0,BASF SE,43928.0,3938.0,15.0,9945.0,6007.0,12909.0,76496.0,108.376,DEU,17436,7717.0,26413.0,25946.0,151010.0,31807.0,57550.0,4056.0,2601.0,10005.0,9553.0,DE000BASF111,11978.0,15101020.0,57550.0,9945.0,2016-12-31,2016.0,1510.0,7.852698180297009,12.75190995692772,10.437880104257168,17.28062554300608,7.047784535186794,1.6939348436377881,1.040739048116472,0.16981132075471697,0.405854057282988,0.5312352626780269,41.579951892909435,57.425224848358084,0.752326919054591,531.0216284048129,4.804641843379529,75.96820156385752,-18.309699215034993,7.99028742447343,1.3797812929720044,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14880.0,2800.0,33837.0,325.0,2734.0,40191.0,BASF SE,44012.0,4062.0,15.0,11646.0,7584.0,15917.0,78768.0,109.837,DEU,17436,8785.0,25258.0,31145.0,151010.0,33837.0,64475.0,6078.0,7293.0,10303.0,9780.0,DE000BASF111,12275.0,15101020.0,64475.0,11646.0,2017-12-31,2017.0,1510.0,9.628275441803778,17.962585335579394,11.762698720434276,18.062815044590927,9.426909654905003,2.0930779569892475,1.4006720430107527,0.4901209677419355,0.47040222241924523,0.5512013476372019,42.95780012187691,55.87548242941296,0.8185430631728621,587.0062000965066,5.2525458248472505,69.49011244668476,12.033014769765416,2.9700899393432234,1.3480844467409714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23329.0,2800.0,35054.0,325.0,5939.0,41485.0,BASF SE,50447.0,3080.0,15.0,8523.0,5443.0,15498.0,86556.0,119.178,DEU,17436,7939.0,20780.0,43221.0,151010.0,35054.0,62675.0,3878.0,3424.0,12166.0,9883.0,DE000BASF111,12008.0,15101020.0,62675.0,8523.0,2018-12-31,2018.0,1510.0,6.288414436896344,11.06293147714954,8.68448344635022,13.598723573992821,6.187475069804547,1.8526726392044237,1.3311757897895324,0.1467701144498264,0.4421178752781423,0.6115421920465567,40.49863672073571,58.282499191275015,0.7240976939784648,525.8940408464649,5.219437041972019,69.93091344236139,-2.7917797595967464,9.887263863497875,8.504420186276018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16604.0,2800.0,41497.0,325.0,4277.0,39615.0,BASF SE,44600.0,3732.0,15.0,7418.0,3686.0,16104.0,86950.0,115.022,DEU,17436,7474.0,18944.0,30990.0,151010.0,41497.0,59316.0,2476.0,3848.0,11223.0,9421.0,DE000BASF111,10664.0,15101020.0,59316.0,7418.0,2019-12-31,2019.0,1510.0,4.239217941345601,5.966696387690677,6.214174927506912,12.505900600175332,4.174253152606379,1.866417730667309,1.1904962659600096,0.2317513852083835,0.38807624647564887,0.49114393811600837,47.72512938470385,51.293847038527886,0.6821851638872916,515.6926501017197,5.562265566391598,65.62074313844494,-5.359393697646587,0.4551966357040582,-3.4872207957844514,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16280.0,2800.0,33728.0,325.0,4312.0,40512.0,BASF SE,45894.0,3871.0,15.0,6972.0,3101.0,16882.0,80292.0,108.174,DEU,17436,5413.0,16660.0,29868.0,151010.0,33728.0,59149.0,-1456.0,6141.0,10010.0,8870.0,DE000BASF111,11181.0,15101020.0,59149.0,6972.0,2020-12-31,2020.0,1510.0,3.862153141035221,-4.3168880455407965,5.242692184145125,11.787181524624254,-2.461580077431571,1.8346437346437345,1.2197788697788698,0.3772113022113022,0.5005336812144212,0.628379981024668,42.00667563393613,57.158870124047226,0.736673641209585,546.7949784606282,5.290135050532153,68.99634820537963,-0.28154292265155645,-7.6572742955721695,-5.953643650779849,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20081.0,2800.0,40792.0,325.0,4259.0,55548.0,BASF SE,45302.0,3543.0,15.0,11010.0,7467.0,14877.0,87383.0,108.718,DEU,17436,7245.0,17871.0,35051.0,151010.0,40792.0,78598.0,5559.0,4386.0,13868.0,9939.0,DE000BASF111,14282.0,15101020.0,78598.0,11010.0,2021-12-31,2021.0,1510.0,8.545140359108752,13.62767209256717,9.500241736430953,14.00799002519148,7.072699050866434,1.745480802748867,1.0548777451322144,0.21841541755888652,0.36470386350264755,0.4691115905079427,46.68184887220627,51.843035830768,0.8994655711065082,722.9529608712448,5.503290855622462,66.32395226341637,32.88136739420784,8.831514970358189,0.5028934864200307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20440.0,2800.0,39573.0,325.0,4598.0,62897.0,BASF SE,43549.0,3800.0,15.0,10656.0,6856.0,16351.0,84472.0,109.013,DEU,17436,7709.0,17908.0,37422.0,151010.0,39573.0,87327.0,-627.0,4687.0,16028.0,11201.0,DE000BASF111,14645.0,15101020.0,87327.0,10656.0,2022-12-31,2022.0,1510.0,8.116298891940525,-1.584413615343795,7.850951023165802,12.202411625270534,-0.717990999347281,1.8308219178082192,1.0466731898238748,0.22930528375733855,0.41318575796629015,0.5293760897581684,46.84747608675064,51.55436120844777,1.0337981816459891,801.0695972040031,5.962922499146466,61.2115954973834,11.105880556757164,-3.3313115823443873,0.2713442116300868,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15871.0,2800.0,35277.0,325.0,2947.0,48737.0,BASF SE,40750.0,3769.0,15.0,6637.0,2868.0,18400.0,77395.0,109.686,DEU,17436,8111.0,17639.0,31472.0,151010.0,35277.0,68902.0,225.0,3816.0,13876.0,10379.0,DE000BASF111,12360.0,15101020.0,68902.0,6637.0,2023-12-31,2023.0,1510.0,3.7056657406809226,0.6378093375287015,4.162433601346841,9.632521552349713,0.3265507532437375,1.9829878394556109,1.1086888034780418,0.24043853569403315,0.5215863026901381,0.605125152365564,45.58046385425415,52.65198010207378,0.8902642289553588,628.1749721933519,5.574595469255663,65.475603030391,-21.098858314152558,-8.37792404583767,0.6173575628594774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
