gvkey,conm,cluster,cluster_name,static_score,dynamic_score,combined_score,cluster_name_enhanced,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
213037,INDUS HOLDING AG,0,Upper-Mid,62.213333986294984,47.59311429138371,53.44120216934822,Upper-Mid (Challenged),6.840769104325867,7.69974037442853,7.161953876463089,55.52335148916444,5.9882952833468535,1.6556608541009448,0.7756941149147795,2.5902761550184,-0.21267294207758364
202807,JUNGHEINRICH AG,0,Upper-Mid,77.79356877790423,32.08129868302536,50.366206720976905,Upper-Mid (Challenged),5.914235532436634,11.86195307478301,7.81893675754152,35.10312907325157,8.151733234617065,1.4295946527914067,0.885107429210336,2.9258934237216896,-0.028349497693075276
100449,KUKA AG,0,Upper-Mid,52.90789311020949,46.69149608612888,49.17805489576112,Upper-Mid (Challenged),2.191040744353568,-4.1265822784810124,2.3470153252598864,26.586110813417648,5.755010181116707,1.2181768781415567,0.08793248945147679,3.3739240506329113,-0.4631867169898604
100368,GEA GROUP AG,0,Upper-Mid,60.727495627012686,39.77174331652108,48.154044240717724,Upper-Mid (Challenged),9.322556660834046,16.42752611759716,10.371424213625312,39.356570085293065,8.723750393987308,1.0595436337925495,0.0514240542234365,2.4887746214645166,0.3449355390204477
295421,EVONIK INDUSTRIES AG,0,Upper-Mid,71.24584016641491,31.44622640041418,47.36607190681447,Upper-Mid (Challenged),4.222784810126582,2.46119733924612,5.502408128257571,32.62518968133536,5.7597149831760905,1.3569844789356984,0.3263858093126386,2.1895787139689578,-0.4331087574281221
318659,HELLA GMBH & CO. KGAA,0,Upper-Mid,61.78096308121288,37.253153927961506,47.06427758926206,Upper-Mid (Challenged),3.84553759551872,11.03301743828173,3.5860119489701416,27.969871368628624,4.964490045349462,1.4840927773507606,0.3252028633652353,2.3381917429845367,-0.633549608953168
209440,VOSSLOH AG,0,Upper-Mid,73.6324159092394,26.873478627398505,45.57705354013486,Upper-Mid (Challenged),6.439495572846794,9.530367717945188,7.936507936507938,31.704695767195762,6.671626984126985,1.29873417721519,0.2348161410274067,2.0531607216636827,0.6731608866907794
281772,SYMRISE AG,0,Upper-Mid,55.98802946479133,38.11609276982363,45.264867447810715,Upper-Mid (Challenged),8.517548002884906,12.012117010534565,14.185438749484097,45.20224314711195,13.353791417567585,1.6134851163824717,0.4141274697451509,2.091015226641348,-0.0907094473532792
103255,BERTELSMANN SE & CO KGAA,0,Upper-Mid,64.55478242278602,31.446545386331316,44.689840200913196,Upper-Mid (Challenged),5.101514369821857,5.793674253621046,8.852959764061513,27.048662313039816,9.353275753107225,1.3428449289302127,0.4309784215193615,2.435042861365652,-0.24899129881294219
284944,GERRESHEIMER GROUP,0,Upper-Mid,50.504806497938844,39.84816967572057,44.11082440460788,Upper-Mid (Challenged),5.698021928171116,7.2587164800385295,10.66096960415108,39.408557283917744,-6.361501505720067,1.0068980003105013,0.6060532085352768,2.5200183651084114,-0.21083019389821542
297185,KION GROUP AG,0,Upper-Mid,57.81850788428666,34.587851355851576,43.88011396722561,Upper-Mid (Challenged),4.0998862028991665,5.821242769896921,6.702482787398288,36.548090965992074,6.152201126643019,1.0106711190156437,0.8779364720328303,3.0383235854848616,-0.19468305256867802
210334,COMPUGROUP MEDICAL SE & CO,0,Upper-Mid,61.22624139013587,31.63142709178967,43.46935281112815,Upper-Mid (Challenged),4.981314221235958,5.3402149050645615,8.257998787225555,33.8554673103311,8.777602636730197,1.1912488792418996,1.2755381115394944,3.033837824155675,-0.44867869769793467
244394,MVV ENERGIE AG,0,Upper-Mid,52.19904103887879,37.43445556860162,43.340289756712494,Upper-Mid (Challenged),4.731161033700287,8.400305695997723,5.857605422183909,19.73142168527728,1.3499340241851587,1.2004183041835663,0.6717545619160621,3.61511496877632,0.15791899676886145
221244,ADIDAS AG,0,Upper-Mid,50.77637688918599,37.63517198044297,42.891653943940184,Upper-Mid (Challenged),6.405228758169934,13.805697589481372,5.586285521259975,55.715069881349486,10.518093146983068,1.2409048264359428,0.8053323593864135,3.7719138056975896,-0.6670031971329508
