ib,cogs,gsubind,dltt,che,emp,at,ebitda,dlc,isin,gvkey,conm,seq,lct,invt,ebit,fyear,ivch,naics,lt,ggroup,datadate,gind,fincf,xint,oibdp,ceq,sale,dp,xsga,loc,ppent,rect,dvt,capx,sic,xrd,ivst,revt,gsector,oancf,act,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,cashflow_score,structure_score,relative_score,overall_score
149.685,569.503,35203010.0,80.874,26.431,4.517,1442.269,253.817,205.465,DE000A3ENQ51,358679,SCHOTT PHARMA AG & CO KGAA,790.406,435.48,140.445,188.839,2024.0,2.142,327213.0,650.0,3520.0,2024-09-30,352030.0,-78.156,12.779,253.817,790.406,957.091,64.978,125.184,DEU,723.49,411.446,24.098,145.075,3221.0,24.254,3.249,957.091,35.0,225.326,588.601,13.093188579938971,18.937735796540007,19.730516742922042,26.51963083970072,15.639578681650962,26.51963083970072,40.49646271880103,21.67374437609035,1.3516143106457241,1.0291081105906126,0.06069394690915771,0.0681546798934509,10.616674143311682,0.1023195674121907,0.362268252012257,54.802952847215046,45.06787568754511,14.777290867830034,1.0239976045733739,19.853369933070738,0.6636008955333575,211.88642904582687,2.3261643083174945,156.91066993629659,75.59260300222236,6.25055348384611,4.054989497668127,30.360286465284908,15.15791079427139,2.232678752808643,80.251,8.384887121496284,64.38449180298767,119.32175027404297,1.8247191949453827,2.5341372972893907,16.09914153054748,83.90085846945252,6.508888250860778,17.083635052945702,0.8484036615316048,1197.5101050929725,-17.320635789065765,0.9721526029538595,0.020794380238289993,0.556610173744923,0.5613837376784517,1.9277031144388368,0.044542066407044036,15.62302178026429,1.4071708079860712,0.6358118199172683,-0.5066219254178034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5,True,-1.7812162883958493,-0.40081756725392365,-0.7686018846882642,-0.2630322349851403,-0.5080869149657581,0.5808114432136294,0.008627306463417956,0.28407629254646094,0,Upper-Mid,35.096490379486184,41.87206197569892,93.23970500019016,62.92773811432115,71.82375182899852,96.08107406657126,91.48179088443413,55.4836863102877,39.479345132716155
162.104,142.932,50203010.0,41.794,57.125,1.066,2072.493,301.86,162.761,DE000A12DM80,317079,SCOUT24 SE,1432.336,261.963,0.0,254.787,2024.0,1.759,519130.0,640.157,5020.0,2024-12-31,502030.0,-171.725,5.073,301.86,1432.336,588.798,47.073,65.891,DEU,54.2,52.84,95.6,0.884,7370.0,43.059,1.649,588.798,50.0,257.017,119.003,12.293744779837617,11.31745623931815,43.27239562634384,51.267157836813304,27.53134351679184,51.267157836813304,75.7247816738508,17.28388948057498,0.45427407687345156,0.45427407687345156,0.21806514660467316,0.22435992869221988,-6.897972634889481,0.029178907742317444,0.14281216139229902,69.11174127005496,30.88825872994505,50.224127735068,0.4884052209633605,9.8699971483619,0.28410132145199046,552.343339587242,11.143035579106737,32.75588571972052,9.20519431112198,,,5.305928656936357,0.15013637953933268,0.018779342723004695,256.133,43.500996946321145,0.34394612029554467,100.8752408874864,1.4469321444130427,7.313034351339508,58.97448551547154,41.02551448452846,10.702118538907568,2.628435773942339,1.0426540284360408,27.904700553799433,20.108695652173925,2.7933164819655585,-0.07479711518675228,-0.08761913702092726,0.9961506824352137,11.444048391748495,0.30555334563971004,12.401344660753981,2.909322990334067,0.6553504498423376,0.5786809364117763,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-2.8239811298226956,-0.6073433842685619,-2.112579749189297,0.0064108387423639605,-0.558171179232283,1.0948266893882015,0.3489713720029384,-0.37320626785660954,0,Upper-Mid,13.389028517709306,21.21263196148808,48.70307905046775,42.18061363324404,55.62619051185591,87.45349344272543,88.80550787453717,55.25477306828031,22.160127739484132
342.446,1771.527,35202010.0,1198.796,308.001,11.667,5237.176,811.538,25.363,DE0007251803,214700,STADA ARZNEIMITTEL AG,1087.889,2607.51,1098.103,597.696,2023.0,,325412.0,4078.689,3520.0,2023-12-31,352020.0,-275.677,205.643,811.538,1087.889,3734.843,213.842,1058.977,DEU,448.143,782.005,88.2,97.426,2834.0,114.627,116.314,3734.843,35.0,543.299,2245.783,11.412562801021007,31.478027629657074,16.00324297433654,21.728838400971608,9.168953018908695,21.728838400971608,52.5675644197092,26.13809947587884,0.8612749327902864,0.4401440454686654,0.11812073587445492,0.16272804322898088,-6.906909372532072,1.1019469817233194,1.1252609411438117,20.772435373567735,77.87954806177984,2.906473840587815,1.12891571312742,23.374410178309837,0.7131406315159161,320.1202537070369,4.775983529517075,76.42404915012492,11.998978270304802,,1.6132612332358622,20.812857921902943,2.6085701594417756,0.45559805837955125,445.873,11.938199276381898,17.932298789432707,90.89888505193274,4.814072023892145,3.069124994009119,25.755885599481378,74.24411440051863,-1.6423650330361195,-9.002933631538369,-11.499658651293332,-32.92691915993365,31.96169526879682,0.31611864846724946,0.05140329990559522,0.028396379328935132,0.5169261219865164,1.9875906892154203,0.6409153663650177,10.373892341979722,1.8116481283432762,0.23187704907908258,0.16562072164804803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,True,-0.199666180912905,-0.6042378377737478,-1.529862219964152,0.6424972705102306,-0.6582012243804684,0.17420195892789495,0.7647193678275004,-0.6496575825578833,0,Upper-Mid,33.1939212175558,49.96101472730598,52.169332608198815,60.324581651605854,83.91242238821998,94.0614562606257,86.42347769328336,51.04585104968715,41.889092955877096
297.6,1736.329,50102010.0,424.0,181.6,3.196,3342.0,524.471,273.1,DE000A0Z2ZZ5,205934,FREENET AG,1489.2,1149.5,46.7,379.455,2024.0,,517312.0,1857.8,5010.0,2024-12-31,501020.0,-306.6,29.026,524.471,1489.2,2502.3,145.016,115.0,DEU,330.81,426.55,88.2,43.7,4812.0,23.308,0.0,2502.3,50.0,370.7,818.1,11.354129263913823,19.983883964544724,15.16424889102026,20.95955720736922,11.893058386284618,20.95955720736922,30.610678176078014,19.833524984319464,0.7117007394519357,0.6710743801652892,0.1579817311874728,0.1579817311874728,-9.916217833632555,0.284716626376578,0.46810367982809564,44.56014362657092,55.58946738479952,13.072934610349341,0.9828951457754576,20.858767205266307,0.7487432675044884,782.9474342928661,5.866369710467707,62.21905846621108,13.220237381608918,,37.180492505353314,18.197187312986234,1.7463933181473046,0.30134605836597345,327.0,13.067977460736122,11.788508227677369,97.69274354007722,2.244157937147462,0.9314630539903288,29.63709677419355,70.36290322580645,-5.6376800663700095,-2.134762364930165,-13.387533875338754,-4.497663551401865,-21.402877697841728,0.23416359208551413,-0.032451088795577857,0.0942780207374616,0.4941639748726735,2.497609395369671,0.4815695622178052,11.092160383004188,1.64079002328772,0.09669018461985812,0.7530993208542217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.9570141463663708,-0.3661614673278577,-1.114180087716026,0.7076164402894156,-0.8043569100863188,0.06363519247749094,0.10831566644549863,-0.5862575250362047,0,Upper-Mid,35.778121244452215,52.31008200755074,46.74294737784992,83.8471997362463,86.6246347245143,94.34038188295814,94.54772497059759,48.15886617191205,46.15168008159281
3124.0,7884.0,45103010.0,6720.0,11087.0,109.121,74122.0,9422.0,3433.0,DE0007164600,103487,SAP SE,45440.0,19079.0,0.0,8142.0,2024.0,,513210.0,28314.0,4510.0,2024-12-31,451030.0,-3412.0,545.0,9422.0,45440.0,34176.0,1280.0,10276.0,DEU,4337.0,7828.0,2741.0,797.0,7372.0,6603.0,1478.0,34176.0,45.0,5220.0,21401.0,10.984592968349478,6.875000000000001,23.82373595505618,27.569054307116104,9.140917602996254,27.569054307116104,76.9311797752809,15.609662576687116,1.1217044918496777,1.1217044918496777,0.5811101210755281,0.658577493579328,3.132673160465179,0.14788732394366197,0.2234375,61.30433609454683,38.199185127222684,14.939449541284404,-0.09912969645510507,13.697687596125308,0.4610776827392677,313.19361076236476,4.365866121614716,83.60311329588015,12.690191947565543,14.718346253229974,,25.518739375623973,2.3320458801498125,0.62265625,4423.0,12.941830524344569,15.268199233716476,64.1120117907148,1.631205985915493,19.32057584269663,87.74007682458387,12.259923175416134,9.513891114173113,8.468573937221047,1.411683797698915,-20.263205336217773,1.5286624203821653,-0.4645395458999519,-0.018145112819190283,-0.2241374508052263,0.1373582371713566,2.746373490621218,0.12476026092883238,7.042443539030248,1.930148409512513,0.31471603455531205,-0.4500436442306867,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-2.0274418193561,-0.43943576129124845,-1.0529333721996745,-0.24788961378053495,-0.12484914249856083,0.8517844219458804,0.8273605222005433,-0.24504715928344797,0,Upper-Mid,27.248228234697404,36.91737546244167,72.76207598051367,52.564915526003354,66.56667078011593,92.37898759013152,90.10099759986471,52.45979317643242,33.52425855598502
113.787,455.543,35202010.0,889.677,121.896,3.61,2080.019,294.305,89.935,DE000A2GS5D8,326577,DERMAPHARM HOLDING,604.422,326.915,343.381,222.074,2024.0,,325412.0,1471.724,3520.0,2024-12-31,352020.0,-209.169,58.408,294.305,604.422,1194.707,72.231,287.427,DEU,315.028,113.432,48.456,38.237,2834.0,23.098,0.587,1194.707,35.0,201.378,593.498,10.676537089324666,18.82575419160785,18.58815592442331,24.634073459015475,9.524259923144335,24.634073459015475,61.8698978075796,14.863405972428867,1.8154504993652785,0.7650826667482374,0.37286756496336965,0.37466313873636875,12.816373311974557,1.4719467524345573,1.6207417996035882,29.058484561919872,70.75531521587062,3.802116148472812,2.914377941251423,47.0963005626391,0.5743731187070888,330.9437673130194,10.532363001622118,34.65509116461191,26.368641014072907,4.481557338614991,1.326640087832466,11.313742807157052,3.200533687339239,0.5293710456729106,163.141,13.65531465037034,18.987674919802565,90.68058394949429,3.4413356893031684,1.93336106677202,42.58482954994859,57.41517045005141,3.8589362758265855,-3.7328184320348345,3.2313411495567657,-8.286438686537634,-7.953588021472746,0.6342065967192626,-0.4287600068167555,0.35205452462828,0.4545569899003441,4.946341128536405,1.8607090101973809,9.68154617818395,5.595114278957773,0.18083648887113943,0.3398187220747304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11,True,-0.7969292235790981,-0.5081714900305072,-0.7847053289772702,-0.36589684712435677,-0.3943268876299173,0.544889355536457,0.7511090739317638,-0.19772118053102888,0,Upper-Mid,42.43122415999893,47.72743638311315,88.21618205158728,74.28914066910069,75.58792861934704,93.8638308395562,96.26899546157539,53.45033169178015,45.28508030043433
3592.0,26614.0,25102010.0,7160.0,9151.0,39.463,53527.0,8647.0,4175.0,DE000PAG9113,354519,DR ING  H C F PORSCHE AG,23043.0,14343.0,6130.0,5712.0,2024.0,343.0,336110.0,30471.0,2510.0,2024-12-31,251020.0,-1679.0,316.0,8647.0,23043.0,40083.0,2935.0,4958.0,DEU,14330.0,4573.0,2100.0,2174.0,3711.0,2033.0,2767.0,40083.0,25.0,6353.0,20288.0,10.6712500233527,15.588248057978562,14.250430357009206,21.572736571613902,8.961405084449767,21.572736571613902,33.60277424344485,18.912028606429825,1.414487903506937,0.9871017220944015,0.6380115735899045,0.830927978804992,11.106544360789881,0.3107234301089268,0.49190643579395044,43.04930222130887,56.92641097016459,18.075949367088608,0.2525731467561004,21.17622881910064,0.748837035514787,1015.7109190887667,8.765143232013996,41.64221739889729,35.75081705461168,6.742304457527334,4.3415986949429035,25.639396939862124,5.423745727615199,0.7407155025553662,4179.0,10.425866327370706,34.22005351802298,111.22198879551821,2.322918022826889,5.07197565052516,58.463251670378625,41.536748329621375,-1.1028867505551432,6.105417566951443,0.5503605371111275,-16.536848412222895,7.837301587301582,0.11399933371381193,0.022737221280166326,-1.1226496373351766,1.4970888140968681,2.0319024190356036,0.06482625871648164,11.868776505315076,2.0989337188704567,0.014689455986969963,0.6251670892980747,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,-1.0604442572841646,-0.3109373402602926,-0.3354883659372876,-0.00440200401726526,-0.6166976824754934,0.22708895517029112,0.13675225471522448,0.03897651284547146,0,Upper-Mid,55.14531098006573,56.89486351475317,95.83407609852428,87.39902013093713,89.79947835785974,95.42791064072216,95.13478677678535,50.30416618588152,55.6469208617496
152.108,455.587,25504040.0,467.188,101.683,20.221,2368.947,462.931,406.664,DE0005772206,204820,FIELMANN GROUP AG,899.131,846.714,259.32,251.093,2024.0,,456130.0,1455.804,2550.0,2024-12-31,255040.0,-44.269,41.865,462.931,899.131,2264.116,211.838,1035.488,DEU,1001.027,151.336,96.6,79.716,3851.0,84.1,7.394,2264.116,25.0,410.093,545.615,10.599350681969668,16.917223407934994,11.090111990728388,20.446434723309228,6.71820701766164,20.446434723309228,79.87793028272404,18.37733355094967,0.6443911403378236,0.3381247977475275,0.12009131772948127,0.1288239003961196,-12.710246366845693,0.5195994799422998,0.9718850757008711,37.954880375120254,61.453633196521494,5.997683028782992,1.6680001987337205,36.887781786591255,0.9557478491498543,111.96854754957717,14.960855315324839,24.397000860379947,44.21270818279629,,1.7568525374055222,10.680652627517627,3.520844338364289,0.37630642283254184,330.377,14.591876034620135,19.438517604543357,163.32315118302782,2.634707289594064,3.714473993381964,63.50750782338864,36.49249217661136,14.983444044934702,19.249541666792513,23.389065169636304,66.18895752429626,-5.087570991439372,-1.0244609249876622,0.10100085972834867,0.11005620800271869,0.2189692028739411,3.8098689071109475,0.3591593367234257,17.31119353873261,4.742164496181577,0.7953593973621308,0.38282161701463385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.60664577400829,-0.6395846745421713,-1.4486137680629063,0.8584059507650625,0.28036979623758346,0.4905093674433085,1.140180363000141,-0.386655552258665,0,Upper-Mid,29.909762154660623,43.084899530229606,42.63495804374923,97.70486451427591,87.10183629272746,97.12272055236717,97.49479850335896,50.767365520322485,43.41664666324688
912.0,3775.0,30302010.0,0.0,2503.0,22.791,13011.0,1671.0,114.0,DE0005200000,100083,BEIERSDORF AG,8475.0,3696.0,1612.0,1356.0,2024.0,,325620.0,4516.0,3030.0,2024-12-31,303020.0,-1029.0,45.0,1671.0,8475.0,9850.0,315.0,4076.0,DEU,2719.0,2042.0,223.0,437.0,2844.0,354.0,1296.0,9850.0,30.0,1231.0,6441.0,10.42195065713627,10.761061946902654,13.766497461928934,16.96446700507614,9.258883248730964,16.96446700507614,61.6751269035533,16.0,1.7426948051948052,1.306547619047619,0.6772186147186147,1.0278679653679654,21.097532856813466,0.0,0.013451327433628318,65.13719160710168,34.70909230650987,30.133333333333333,-1.4296828246558946,0.8761816924141111,0.7570517254630698,432.18814444298187,4.823702252693438,75.66802030456853,27.604060913705585,3.588342440801457,2.3418114143920596,34.931980631773115,4.436548223350254,1.3873015873015873,794.0,8.060913705583756,35.49959382615759,90.78171091445427,1.535221238938053,3.5939086294416245,24.451754385964914,75.54824561403508,4.265904519953434,3.024784226779631,3.7936059750432793,87.26415094339623,-15.473887814313347,-0.15217338384611181,0.001411245399574809,0.19141476229111393,-0.09660360856517004,0.969901098575644,0.020856717844209276,9.461225117208516,2.0022533568888843,0.2707791238919422,0.011869084333577692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-1.8741555606686657,-0.21799851868825512,0.2540701201980511,-0.562867315210027,-0.13327719904822022,0.8654330574532197,0.6861997721647334,0.4017291583469135,0,Upper-Mid,35.0000761471571,52.30639715430245,74.00733562816663,47.10582783831701,90.97878374347813,94.29967869926068,89.4238606721695,52.92728354916754,42.81871023507675
1780.0,6760.0,45301020.0,4595.0,2201.0,58.065,28639.0,4828.0,573.0,DE0006231004,132740,INFINEON TECHNOLOGIES AG,17219.0,5146.0,3990.0,2963.0,2024.0,10.0,334413.0,11420.0,4530.0,2024-09-30,453010.0,-615.0,157.0,4828.0,17219.0,14955.0,1865.0,1412.0,DEU,6476.0,2770.0,455.0,2432.0,3674.0,2558.0,395.0,14955.0,45.0,2780.0,9793.0,10.346031635182792,10.337417968523143,19.81277164827817,32.283517218321634,11.90237378803076,32.283517218321634,54.79772651287195,13.583020078848445,1.9030314807617568,1.1276719782355227,0.42771084337349397,0.5044694908666926,16.2261252138692,0.26685637958069575,0.300133573378245,60.124306016271525,39.87569398372848,18.872611464968152,0.6145401822700911,18.045322811550683,0.522190020601278,257.55618703177475,5.398916967509026,67.60615178869942,43.3032430625209,3.2182052937378955,1.694235588972431,17.357449631621215,16.262119692410565,1.3040214477211796,348.0,2.3269809428284853,87.4820143884892,93.82382720215998,1.663220860677159,17.10464727515881,25.56179775280899,74.43820224719101,-8.302164449077198,0.70325960828439,-0.8960573476702649,-71.49877149877149,-11.208470244614821,1.045090374696417,0.019441579304853733,0.3902246472647871,0.0763927750024315,4.675615587678315,0.1857166236036557,9.70704284367471,2.8184744444689387,0.5495697063287116,0.034623261573779957,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-1.8917268099982483,-0.30509077681850455,-0.25811170352659285,-0.7600286368155486,-0.2045917548654662,0.7050779146496764,0.2784250716336344,0.08208859311377252,0,Upper-Mid,36.48808011861648,50.17875640767425,81.60208797594156,54.428295521990876,71.14989155449251,94.36691339704507,90.32798911807154,52.70245251187583,40.74629661435441
