gvkey,conm,cluster,cluster_name,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
17436,BASF SE,0,Lower-Mid,3.561524591183237,3.646169836231355,4.388599448360404,31.512411890897944,1.1461844927980387,1.832971418510476,0.574594791988539,2.2589117671844714,-0.5203910451744728
17828,MERCEDES BENZ GROUP AG,0,Lower-Mid,4.749254745103959,11.019703103913631,8.64458700221163,38.52974710496312,9.406981056911686,1.3600486461925,0.7933819163292848,2.86110661268556,0.07122143360776512
19349,SIEMENS AG,0,Lower-Mid,6.534652125673153,16.026841448189764,12.720927169761625,43.226656130646646,12.612932964572632,1.3971489080682258,0.80604322721598,2.883348938826467,0.053867822909594944
100004,ALTANA AG,4,Upper-Mid,6.475870996902852,5.368676591220314,9.114981579998725,39.72850615904001,8.187796283685062,3.276000352751695,0.1399445258826524,1.4842684121989815,-0.4294549207168278
100010,BAYWA AG,2,High Performers,-4.250672662268254,437.7415687760516,-2.177823309743788,10.35044401535288,1.606575487331045,0.9146029254737492,-7.774535809018568,,-0.11533689911326936
100022,BAYERISCHE MOTOREN WERKE AKT,0,Lower-Mid,4.23520535460834,7.896874830742566,7.9638994240764145,44.69658659924146,-3.258182328978789,1.0991914607305364,0.7232844066511401,2.900200400801604,-0.10730136513996362
100042,MAN SE,0,Lower-Mid,-2.283029297954671,-7.278854254422915,-3.8106661745709545,23.186934858830043,1.919173279202805,0.6407944780955064,0.1144060657118786,3.0480202190395955,-0.44793853774317977
100054,HOCHTIEF AG,0,Lower-Mid,2.2840015248876586,72.36664710454106,1.690983557083559,26.35408799724454,4.971786361300936,1.120285964924529,6.67153636082885,23.00331592024251,-0.14084986850625408
100080,BAYER AG,0,Lower-Mid,2.85701398285972,-7.997994233421085,6.795262412564906,63.991760717504185,9.84851735828005,1.1896932854379665,1.1125109690359785,3.474050394885295,-0.4288697186165794
100083,BEIERSDORF AG,4,Upper-Mid,10.42195065713627,10.761061946902654,13.766497461928934,61.6751269035533,8.060913705583756,1.7426948051948052,0.0,1.535221238938053,-0.5141279617984581
100102,BILFINGER SE,0,Lower-Mid,6.805254800057744,13.682834960412022,4.678908188585608,13.326054590570724,3.53151364764268,1.3571381600578682,0.2439080636482435,2.6623875778307324,0.5695337436079179
100103,DEUTSCHE LUFTHANSA AG,0,Lower-Mid,2.68638952648134,12.016981459019236,4.020484112090079,2.770444352555743,-0.0190845764814402,0.8332567284612634,0.9888234274822388,4.076589845780627,-0.5617290508643753
100301,DEUTZ AG,0,Lower-Mid,2.0851898057387275,4.953414317726147,1.9352704416386397,26.69680763080995,2.067596625682307,1.2986244123280517,0.1553249203915556,1.985257695482958,0.21197415125334537
