gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name,proximity_score,trends_score,relative_score,overall_score,cluster_name_enriched
17828,MERCEDES BENZ GROUP AG,11,0.0712214336077651,0.017552498218325815,1.6999699420134697,-0.24603295279874668,0.03395305185716316,4.2223465039431725,0.3217632319941527,0.12006513144456506,2.9364862071335196,90.5,0.0005314302406127889,12414.391787540197,1.14927981301447,-0.048266734018703114,0.29235502880583786,0.28228813787041723,2624.2636363636366,0.6589083787831028,10223.390447788535,0,Upper-Mid,0.7472713520792373,2.793867467896523,53.304932474330144,0.29890854083169494,Upper-Mid (Strongly Growing)
19349,SIEMENS AG,11,0.053867822909594944,0.03957489262524719,0.8562873951571512,-0.2601259080517099,0.08604901865672822,2.8042107404142556,0.4274657300079713,0.5980832047422889,1.7479157657238142,-562.6545454545455,0.0435183113190721,8529.1512187554,0.5440493330430618,0.024189964481627198,0.30192877867166107,0.1392140203350838,538.9454545454546,0.8694510628374966,1827.7729347012573,0,Upper-Mid,16.451031578424647,55.099269148129615,49.41646431987905,6.580412631369859,Upper-Mid (Strongly Growing)
100010,BAYWA AG,11,-0.11533689911326939,0.03532613484965294,1.9405293236001875,19.327966136148117,0.240182522094857,124.71407087885252,-0.03931910422043276,0.015968115640003326,0.9839584971450079,993.285990909091,0.6815896952618818,3804.6332794286823,3.369252419736979,-0.15649838428529866,0.024611136032805365,3.154598029706818,9.983099999999997,0.0067979889256451365,382.8910324843854,0,Upper-Mid,26.033259102750804,85.18817877589413,47.40149600045983,10.413303641100322,Upper-Mid (Strongly Growing)
100022,BAYERISCHE MOTOREN WERKE AKT,11,-0.10730136513996358,0.06792746527834241,1.3019147361570051,-0.3146579923066314,0.05804011733372972,4.130233704730176,-0.32164706862213477,0.21494507685424238,2.193895041339535,6683.054545454545,0.810457656858978,23475.229185724984,5.881175402100247,-0.0543750060409246,0.6511705363045724,0.2130845429629302,1102.4545454545455,0.29544514992115367,6413.901114308845,0,Upper-Mid,3.067961698268016,24.61604016691858,54.84641179426728,1.2271846793072063,Upper-Mid (Strongly Growing)
100042,MAN SE,7,-0.4479385377431797,0.347393494414941,1.5199789832710475,-0.16028040694243867,0.003480138817942163,5.433906335897462,-0.6133146416011801,0.26986976990822675,2.3612186724961832,-495.7857142857143,0.7008141040379622,1184.4659693942504,-4.499330360890596,-0.01768489174889099,0.255924466004098,0.06991598790538837,88.10714285714285,0.1154336387291758,518.6506433003996,0,Upper-Mid,35.92577688771157,95.25609418608776,46.809883896544676,14.37031075508463,Upper-Mid (Strongly Growing)
100054,HOCHTIEF AG,11,-0.14084986850625408,0.030115899190355712,2.5666020009856867,6.083255581648264,0.5480483281186025,25.985234156541445,-0.06720832207467914,0.015951066538431043,1.6827832852108888,892.2464909090907,0.5967033578690626,3652.6293771794976,4.185843296378322,0.5610995548342448,0.6963027607723041,2.1263799353333384,57.22258181818182,0.19735381212053,407.32839778632365,0,Upper-Mid,26.882154699937573,91.14106264514197,49.51868216960112,10.752861879975029,Upper-Mid (Strongly Growing)
100080,BAYER AG,11,-0.4288697186165794,0.476740795898359,1.9641932955671328,-2.7608516899841353,0.22424349667620563,18.436698304190028,-0.24551522162971406,0.06171449807406264,3.125250421271386,535.8454545454546,0.1672992559745073,4142.786442013664,0.9887089806627225,0.05305825952896785,0.4464733623542867,0.2511049206481051,-170.84545454545454,0.1538049135320641,1377.5847411351012,0,Upper-Mid,32.73300151944665,65.77918545129873,47.68515405664163,13.093200607778662,Upper-Mid (Strongly Growing)
100103,DEUTSCHE LUFTHANSA AG,11,-0.5617290508643753,0.08446491297315478,6.112075571426645,-6.387833899167408,0.018611724777764963,148.06769098685936,-1.207206223448933,0.03648419256982127,19.98614785759215,46.86363636363636,0.0004661649346416676,6863.824700606882,2.5721015688386695,0.14158429666347322,0.035236317412633236,2.385172706027584,13.236363636363645,0.0007369246689316394,1541.9033156170149,0,Upper-Mid,18.028232178737408,85.58537225223053,47.14031848290169,7.211292871494964,Upper-Mid (Strongly Growing)
100312,RHEINMETALL AG,11,0.5783965084088859,0.7175370644572374,2.1592528069765526,1.1620389357177765,0.32815794115655794,6.414742398592563,1.0327341372410506,0.8918064260790117,3.4582249060277586,317.83636363636367,0.6255426776159074,1270.7938691429226,7.598484724871546,-0.009712289647486825,0.043351069805412853,0.14751008597108753,60.39090909090909,0.37170725005807737,313.2355541708096,0,Upper-Mid,26.33324879384949,91.55489195421616,51.34085717633702,10.533299517539795,Upper-Mid (Strongly Growing)
100368,GEA GROUP AG,11,0.3449355390204477,0.2593886434230235,2.1417188718681035,0.8172597569698119,0.1320900259650116,7.110908680532153,0.2639485037882495,0.1260541894012099,2.350934679794573,87.73794545454541,0.7485932492329053,320.67455977361215,1.846141977168525,0.0018460692198529823,0.005350550787981418,0.07980842419687104,26.384145454545454,0.24668232586212144,167.98635828188526,0,Upper-Mid,35.44155307209541,87.20955052915534,47.68851827667905,14.176621228838165,Upper-Mid (Strongly Growing)
