company_name,static_score,dynamic_score,combined_score,score_change_static_to_dynamic,score_change_static_to_combined,total_score_change,abs_total_change,pattern
BRENNTAG SE,46.33468499356913,48.137822986059895,74.34364795409927,1.8031379924907682,28.00896296053014,28.00896296053014,28.00896296053014,Improving Trend
KSB SE & CO KGAA,49.08529014257777,43.89838343935512,60.889926750438384,-5.186906703222647,11.804636607860616,11.804636607860616,11.804636607860616,Mixed
KWS SAAT SE & CO KGAA,43.79671557551651,49.130351298800484,53.70115176604131,5.333635723283976,9.904436190524805,9.904436190524805,9.904436190524805,Mixed
GEA GROUP AG,62.9064347330167,44.74308542103154,55.81868920944565,-18.163349311985165,-7.087745523571051,-7.087745523571051,7.087745523571051,Mixed
SAF HOLLAND SE,50.32988889347152,39.127413773215046,61.42404699373159,-11.202475120256473,11.094158100260067,11.094158100260067,11.094158100260067,Mixed
FIELMANN GROUP AG,40.676830983277014,20.749569030819508,30.496107171346114,-19.927261952457506,-10.1807238119309,-10.1807238119309,10.1807238119309,Challenged
HEIDELBERG MATERIALS AG,37.40578192677323,24.219236310488224,62.518539082663004,-13.186545616285006,25.112757155889774,25.112757155889774,25.112757155889774,Improving Trend
TRATON SE,60.35054625325675,18.921925210183392,73.61288189762905,-41.42862104307336,13.2623356443723,13.2623356443723,13.2623356443723,Mixed
BASF SE,48.933061283546444,27.985420157177295,66.53290025163115,-20.94764112636915,17.599838968084704,17.599838968084704,17.599838968084704,Mixed
VOSSLOH AG,64.44684491847367,25.446835630077047,67.81668336097778,-39.000009288396626,3.369838442504104,3.369838442504104,3.369838442504104,Mixed
INNOGY SE,32.79524207937347,16.222333339001928,34.91258162354621,-16.572908740371545,2.1173395441727365,2.1173395441727365,2.1173395441727365,Challenged
SOFTWARE GMBH,28.707170334759642,31.91154063376323,35.28228593309238,3.204370299003589,6.57511559833274,6.57511559833274,6.57511559833274,Challenged
PROSIEBENSAT.1 MEDIA SE,35.53979275693798,29.361382241222135,43.037608251166795,-6.178410515715843,7.497815494228817,7.497815494228817,7.497815494228817,Mixed
GRAMMER AG,49.033870916847285,39.81359702874926,53.2133387784992,-9.220273888098028,4.179467861651915,4.179467861651915,4.179467861651915,Mixed
KNORR-BREMSE AKTIE,52.70594932822254,26.70687416666844,57.03533692148489,-25.999075161554096,4.329387593262354,4.329387593262354,4.329387593262354,Mixed
ENCAVIS AG,3.2541607587478025,32.62909314134529,26.930057807391677,29.374932382597486,23.675897048643876,23.675897048643876,23.675897048643876,Improving Trend
INDUS HOLDING AG,54.28177227871595,53.83289352169579,77.89072622742414,-0.4488787570201609,23.60895394870819,23.60895394870819,23.60895394870819,Mixed
DMG MORI AG,61.18390644343417,33.17119243898101,72.33693084286678,-28.01271400445316,11.15302439943261,11.15302439943261,11.15302439943261,Mixed
