ib,cogs,gsubind,dltt,che,emp,at,ebitda,dlc,isin,gvkey,conm,seq,lct,invt,ebit,fyear,ivch,naics,lt,ggroup,datadate,gind,fincf,xint,oibdp,ceq,sale,dp,xsga,loc,ppent,rect,dvt,capx,sic,xrd,ivst,revt,gsector,oancf,act,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,cluster,cluster_name,proximity_score,growth_score,trends_score,volatility_score,quality_score,relative_score,overall_score
1298.0,44695.0,15101020.0,20455.0,3683.0,109.717,80415.0,6675.0,3540.0,DE000BASF111,17436,BASF SE,35599.0,17039.0,13681.0,2864.0,2024.0,,325.0,43532.0,1510.0,2024-12-31,151010.0,-1547.0,1083.0,6675.0,35599.0,65260.0,3811.0,10347.0,DEU,17773.0,12244.0,2000.0,6198.0,2800.0,2061.0,769.0,65260.0,15.0,6946.0,31232.0,3.561524591183237,3.646169836231355,4.388599448360404,10.228317499233832,1.988967208090714,10.228317499233832,31.512411890897944,5.109358832554323,1.832971418510476,1.0300487117788604,0.2161511825811373,0.2612829391396208,17.649692221600446,0.574594791988539,0.6740357875221215,44.26910402288131,54.13417894671392,2.644506001846722,3.042996254681648,29.83896039296151,0.8115401355468507,594.8029931551173,5.329957530218882,68.48084584737971,27.2341403616304,4.598041287958853,3.2669395512023973,19.806006342100357,9.497395035243642,1.626344791393335,748.0,1.1461844927980387,89.23121220846531,242.52793296089385,2.2589117671844714,3.1581366840330984,154.08320493066256,-54.08320493066256,-5.285768192505302,3.9020608566444848,0.0282624947577581,-72.45949926362297,14.884151992585725,-0.5584299133540365,0.0055697257137825,-0.0066211145461601,-0.2316564715302633,2.549269232760668,0.0635727266514843,8.637691972890629,1.7210048065993824,0.5278355347349147,0.3474910408465332,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.6362876562743351,-0.4496337085595827,-0.6127203078879465,-0.021760794915851034,0.04139671502427725,-0.18123272561008943,-0.16361686030707903,-0.3895875297787371,0.47361259051262117,0.7323208913680365,0.29025969387030554,0.14448456801970416,0.12216548593034748,0,Stable,50.03817995548558,77.4278838930071,97.44545958076878,78.34242778896015,58.45903933916238,49.361504365092344,31.6294545661453
10207.0,89497.0,25102010.0,73487.0,21741.0,163.132,265010.0,17353.0,39311.0,DE0007100000,17828,MERCEDES BENZ GROUP AG,92625.0,74826.0,26234.0,12586.0,2024.0,272.0,336110.0,171380.0,2510.0,2024-12-31,251020.0,-10752.0,249.0,17353.0,92625.0,145594.0,4767.0,11167.0,DEU,71757.0,49973.0,4140.0,4039.0,3711.0,7585.0,7230.0,145594.0,25.0,17735.0,101767.0,4.749254745103959,11.019703103913631,8.64458700221163,11.918760388477548,7.010591095786914,11.918760388477548,38.52974710496312,7.576815642458101,1.3600486461925,1.00944858738941,0.2905540854783097,0.3871782535482319,10.166031470510546,0.7933819163292848,1.217792172739541,34.9515112637259,64.66925776385797,50.54618473895582,5.247334754797441,42.56367684238331,0.5493905890343761,892.4919696932545,2.913453264762972,125.28088382763026,49.2856848496504,5.404179503359193,3.4114889075245864,27.06086562771216,2.774152781021196,0.8472834067547724,13696.0,9.406981056911686,22.7741753594587,140.91053551565233,2.86110661268556,5.209692707117052,40.56039972567845,59.43960027432155,-4.975916667754444,0.7558303107724873,-1.760851760851767,27.70163170163171,7.850467289719631,0.3217632319941527,-0.0830119467670089,-0.1390770153346783,1.7978061353709127,3.079812716571244,0.4783350473683612,6.692200294328515,3.73365028935714,0.120065131444565,-0.4650282774815283,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.7287811002114833,-0.4345269373353359,-0.30872629581482447,-0.04480415712162757,-0.2641842462289805,-0.18735377488654023,-0.2472666746618917,0.10985222433890111,-0.68805105078721,-0.6062864098008649,-0.7113122063079955,-0.1788410679607382,-0.44297701025695857,0,Stable,45.80521850635119,83.03806558596172,93.12437118896072,88.44622857024454,49.67962769018777,48.98886327412052,30.777797240434733
8216.0,43108.0,20105010.0,41321.0,10216.0,327.0,147812.0,12658.0,6598.0,DE0007236101,19349,SIEMENS AG,51264.0,43913.0,10923.0,9659.0,2024.0,,999977.0,91581.0,2010.0,2024-09-30,201050.0,-8880.0,1785.0,12658.0,51264.0,75930.0,2999.0,13984.0,DEU,12078.0,34677.0,4160.0,2088.0,9997.0,6435.0,1060.0,75930.0,20.0,11665.0,61353.0,6.534652125673153,16.026841448189764,12.720927169761625,16.67061767417358,10.820492558935864,16.67061767417358,43.226656130646646,10.432575471188638,1.3971489080682258,1.14840707763077,0.232641814496846,0.2567804522578735,11.798771412334586,0.80604322721598,0.934749531835206,34.68189321570644,61.95775715097557,5.411204481792717,2.9785906146310634,32.4188834465402,0.5136930695748654,232.2018348623853,2.1896357816420107,166.69438956934016,15.906756222836824,4.353784403669724,3.946534834752357,30.371688360890865,2.749901224812328,0.6962320773591197,9577.0,12.612932964572632,17.899699957136733,120.76819546536908,2.883348938826467,8.474911102331093,50.63291139240506,49.36708860759494,-2.3646954442001267,1.8922291079294329,2.187500000000009,-4.430695539367324,-5.86113615870153,0.4274657300079713,0.0305137151956357,0.0217197223074527,0.7932198642492456,1.833229520947242,0.1736675054671443,7.891781452114849,0.9997692922485408,0.5980832047422889,-0.397258245788941,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.7815202698526271,-0.3603549563255801,-0.6789728534437565,0.2467530634925355,-0.29004909083439434,-0.268022573258947,0.28796211716521136,-0.1966257907716761,-0.5934054116444778,0.4657310892384949,-0.21132676338910786,0.8391184380376041,-0.7747306812702915,0,Stable,43.20734819150811,87.81955594740694,92.7273124099498,69.26693886803953,49.970337489248315,48.76365375531794,30.455872668714285
161.329,1909.906,15101050.0,420.534,684.943,8.382,4460.234,468.383,28.917,DE0007600801,100004,ALTANA AG,3005.005,646.347,626.463,288.839,2024.0,3.088,325.0,1430.794,1510.0,2024-12-31,151010.0,-95.191,53.735,468.383,3005.005,3168.838,179.544,575.095,DEU,1219.89,559.556,88.2,179.539,2800.0,213.23,126.731,3168.838,15.0,438.997,2117.433,6.475870996902852,5.368676591220314,9.114981579998725,14.780907070667542,5.091109106871351,14.780907070667542,39.72850615904001,8.431928522781378,3.276000352751695,2.3067640137573164,1.0597140545248915,1.2557867523172537,32.982260571978955,0.1399445258826524,0.1495674716015447,67.37325889179805,32.07889989628347,5.375248906671629,-0.502776573872237,10.076847986002528,0.7104645182293127,378.0527320448581,5.66312933826105,64.45199786167674,38.496445700285086,2.154080726755608,3.048713172206499,27.90210110052522,5.665767704123719,0.9999721516731274,259.458,8.187796283685062,40.89754599689746,151.9867469420681,1.4842684121989815,6.72896500231315,54.67088992059704,45.32911007940296,15.58711150586447,7.722761277389667,14.570803717878622,-1.9262608011974656,21.0802462891402,-0.6327483285192008,-0.0059883295837248,0.1963717792348544,-0.6761885055462092,2.4440278110633824,0.063661057004838,9.84246566435752,2.210320931129537,0.7372969057825468,-0.763409682844701,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.23939757674210288,0.09944855467221443,-1.0536023013946303,0.3927962935109007,0.40081644759543267,-0.6336487106302813,0.5236330031397688,-0.3141057244920965,-1.3183470184400934,0.504057357349488,-0.10123519211597316,0.7930779004107646,-1.6048590331057961,0,Stable,25.088268170446508,53.73987932877259,97.80768413854028,84.91487339051154,30.19919113746742,49.55462273024015,18.09628916749449
7290.0,78741.0,25102010.0,66770.0,19287.0,159.104,267732.0,17900.0,44491.0,DE0005190003,100022,BAYERISCHE MOTOREN WERKE AKT,92315.0,87689.0,24387.0,11339.0,2024.0,,336111.0,172729.0,2510.0,2024-12-31,251020.0,5766.0,562.0,17900.0,92315.0,142380.0,6561.0,9632.0,DEU,88419.0,45130.0,2677.0,12205.0,3711.0,7642.0,0.0,142380.0,25.0,7566.0,96387.0,4.23520535460834,7.896874830742566,7.9638994240764145,12.571990448096642,5.120101137800253,12.571990448096642,44.69658659924146,7.127636169343433,1.0991914607305364,0.8210836022762262,0.2199477699597441,0.2199477699597441,3.2487711592189203,0.7232844066511401,1.205232085793208,34.48037589828635,64.5156350380231,20.176156583629894,5.138212290502794,41.55685536282551,0.5318004571735915,894.8863636363635,3.154885885220474,115.6935665121506,62.100716392751785,16.369280294320532,3.228810431787428,24.06025428413488,8.57213091726366,1.8602347203170249,-4639.0,-3.258182328978789,161.31377213851442,66.72546079901225,2.900200400801604,5.367326871751651,36.72153635116598,63.27846364883402,-8.436121364905013,6.712902068635662,2.680864795095217,-169.64419756793274,12.167999264773457,-0.3216470686221347,-0.1079604426758696,0.0324983239486987,1.0003772041760857,2.300976531313524,0.3906040870311205,2.825960288646856,2.9111938621377837,0.2149450768542423,0.5827736771714417,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.5868533899876306,-0.5502762946364032,-0.3726236003499729,-0.2970198217251944,-0.00904331694593223,-0.03650982627391262,-0.5968008911643836,-0.47733402531155966,0.8468312321424302,0.14807568544523436,0.31609973651673356,-0.6030972415398348,0.5534891484403087,0,Stable,42.3067272402232,68.64060221286309,95.95633075029157,93.46920543723665,48.39906013668915,49.70269096997727,27.218781228018745
-432.0,8325.0,20106010.0,679.0,789.0,36.569,18090.0,648.0,2418.0,DE0005937007,100042,MAN SE,5935.0,7099.0,2219.0,-413.0,2020.0,5.0,336120.0,12155.0,2010.0,2020-12-31,201060.0,-524.0,82.0,648.0,5935.0,10838.0,1061.0,1805.0,DEU,6280.0,1541.0,16.0,362.0,3711.0,566.0,148.0,10838.0,20.0,570.0,4549.0,-2.283029297954671,-7.278854254422915,-3.8106661745709545,5.978962908285661,-3.985975272190441,5.978962908285661,23.186934858830043,-6.2443302086483214,0.6407944780955064,0.3282152415833216,0.1111424144245668,0.1319904211860825,-14.096185737976782,0.1144060657118786,0.5218197135636057,32.808181315644006,67.191818684356,-5.036585365853658,3.561728395061728,17.119955776672192,0.5991155334438917,296.3712434028822,7.033095392602206,51.89749031186566,57.94427016054623,,3.751689950428121,12.880044223327806,3.3400996493818043,0.3411875589066918,208.0,1.919173279202805,63.50877192982456,,3.0480202190395955,5.222365750138402,,,-14.412066650872625,-4.011461318051579,0.6495472435527061,170.12987012987014,-17.35159817351598,-0.6133146416011801,0.0257370724738015,0.0528575838968084,0.657805222079259,2.5504076581144326,0.1011788679758263,3.150912106135987,3.2180062657300605,0.2698697699082267,-0.3905236664983529,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,-0.9928047355546533,-0.6008912677771837,-0.08190515958586171,-0.13865104850434204,-0.7467665370594914,-0.04553622404330992,-0.0284731300535838,0.18997395593079672,-0.5955991848011299,-0.17572283965917213,-0.7277728100375012,0.37102720459049393,-0.1793795700464177,0,Stable,44.09729780521558,55.73241994255591,97.68021062664117,94.01696834380475,60.128616519007295,48.0927541322602,25.998782113469616
-2552.0,16782.0,35202010.0,35498.0,8087.0,91.864,110850.0,7216.0,5246.0,DE000BAY0017,100080,BAYER AG,31908.0,28952.0,13467.0,3167.0,2024.0,216.0,325.0,78805.0,3520.0,2024-12-31,352020.0,-7178.0,2007.0,7216.0,31908.0,46606.0,4049.0,16764.0,DEU,13456.0,12188.0,108.067,2778.0,2800.0,6387.0,1896.0,46606.0,35.0,7368.0,34444.0,2.85701398285972,-7.997994233421085,6.795262412564906,15.482985023387547,-5.475689825344377,15.482985023387547,63.991760717504185,4.698394801649704,1.1896932854379665,0.7245440729483282,0.2793243990052501,0.3448121027908262,4.954442940911141,1.1125109690359785,1.2769211483013665,28.78484438430311,71.0915651781687,1.5779770802192328,4.5256374722838135,36.75597654488047,0.4204420387911592,507.3369328572672,3.823925172300624,95.45165858473158,28.871819079088528,8.486161689730517,1.2461572733348183,18.290482634190347,5.96060593056688,0.6860953321807853,4590.0,9.84851735828005,37.70358306188925,232.6491948215977,3.474050394885295,13.70424408874394,,,-2.164284064907529,-4.652543028926792,-5.2274298212130255,93.99830938292476,0.9814612868048078,-0.245515221629714,0.0626117834328853,0.0147683118715722,-0.5070196153752454,3.2777902945769237,0.3169684483219406,6.646820027063599,2.5113358628213223,0.0617144980740626,0.3274444893955998,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.6734345024347586,-0.7914005252328203,-0.2673580961178808,-0.1323432146005555,-0.4607044188664181,0.04403822251476703,-0.4976196921138589,-0.05467347723217657,0.5024273135204922,-0.3118219452323936,-0.06457383443319627,-0.6941362855962226,0.42087020726862023,0,Stable,47.71439453437814,74.5000937973387,95.81933571386175,89.2945978661303,53.955362204408466,48.84559586596559,30.26077188335206
912.0,3775.0,30302010.0,0.0,2503.0,22.791,13011.0,1671.0,114.0,DE0005200000,100083,BEIERSDORF AG,8475.0,3696.0,1612.0,1356.0,2024.0,,325620.0,4516.0,3030.0,2024-12-31,303020.0,-1029.0,45.0,1671.0,8475.0,9850.0,315.0,4076.0,DEU,2719.0,2042.0,223.0,437.0,2844.0,354.0,1296.0,9850.0,30.0,1231.0,6441.0,10.42195065713627,10.761061946902654,13.766497461928934,16.96446700507614,9.258883248730964,16.96446700507614,61.6751269035533,16.0,1.7426948051948052,1.306547619047619,0.6772186147186147,1.0278679653679654,21.097532856813466,0.0,0.0134513274336283,65.13719160710168,34.70909230650987,30.133333333333333,-1.4296828246558946,0.8761816924141111,0.7570517254630698,432.18814444298187,4.823702252693438,75.66802030456853,27.604060913705585,3.588342440801457,2.34181141439206,34.931980631773115,4.436548223350254,1.3873015873015873,794.0,8.060913705583756,35.49959382615759,90.78171091445428,1.535221238938053,3.5939086294416245,24.451754385964914,75.54824561403508,4.265904519953434,3.024784226779631,3.7936059750432793,87.26415094339623,-15.473887814313349,-0.1521733838461118,0.0014112453995748,0.1914147622911139,-0.09660360856517,0.969901098575644,0.0208567178442092,9.461225117208516,2.0022533568888843,0.2707791238919422,0.0118690843335776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.4954676685689508,-0.5203908876202565,-0.5128312539536241,-0.025149610397905007,-0.40079202438964384,-0.17288548044552984,-0.04996081821078876,-0.3564962796160713,-0.07697622452911902,-0.11184545201820706,0.13982104102141787,-0.18576393042275655,-0.23361915344141812,0,Stable,64.15694994295703,75.8063558052219,95.4797754559826,81.76768742513482,89.57948973663456,48.612546926727795,37.0337333479661
178.0,4366.2,20201070.0,317.3,533.5,31.478,3463.5,356.5,59.3,DE0005909006,100102,BILFINGER SE,1300.9,1520.7,115.1,235.7,2024.0,6.6,237.0,2152.2,2020.0,2024-12-31,202010.0,-427.7,45.3,356.5,1300.9,5037.5,120.8,315.2,DEU,470.8,1364.8,90.047,63.2,1600.0,3.2,68.5,5037.5,20.0,241.1,2063.8,6.805254800057744,13.682834960412022,4.678908188585608,7.076923076923077,3.5334987593052114,7.076923076923077,13.326054590570724,14.565566679026077,1.3571381600578682,1.281449332544223,0.3508252778325771,0.3958703228776221,15.680669842644727,0.2439080636482435,0.2894918902298409,37.56027140176123,62.13945430922476,5.2030905077262695,-0.4401122019635343,10.873393965641691,1.4544535874115778,160.0324035834551,3.691016998827667,98.88873449131512,9.34590570719603,9.275455717179154,37.93397046046916,54.80871950339253,1.254590570719603,0.5231788079470199,177.89999999999998,3.53151364764268,26.21318954790544,102.29104794229951,2.6623875778307324,0.0635235732009925,50.588202247191006,49.411797752808994,12.303816657749223,3.1601834753082647,9.870855148342072,106.3805104408352,7.849829351535842,0.4126368727273162,0.0091061602096166,-0.0263555888033327,0.7366047146325976,1.9064345649928285,0.0847178708553942,6.961166450122708,4.226694402859491,0.5153294296066727,-0.7245276623620271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.3367862432844218,-0.0396757791794935,-0.5651469646618477,0.040568657587686824,0.07871283634944208,-0.5823793370883066,0.33216205866736176,-0.1448187140390516,-1.279983838306367,0.0776441515394409,-0.36219694739338004,0.37376151255697615,-1.231926846821563,0,Stable,33.13213313020853,65.39258194766093,92.80926456268367,81.42225001704442,38.19073886579749,49.727501930068584,23.06174054423255
42.0,1329.5,20106010.0,131.7,62.0,12.3985,1683.3,118.5,155.9,DE0006305006,100301,DEUTZ AG,847.9,574.3,431.6,35.1,2024.0,0.8,3336.0,835.4,2010.0,2024-12-31,201060.0,41.3,20.9,118.5,847.9,1813.7,83.4,254.7,DEU,380.8,245.4,23.6,64.2,3510.0,100.4,0.0,1813.7,20.0,101.7,745.8,2.0851898057387275,4.953414317726147,1.9352704416386397,6.533605337156089,2.315708220764184,6.533605337156089,26.69680763080995,3.5830951408738265,1.2986244123280517,0.5471008183876023,0.1079575134946892,0.1079575134946892,10.188320560803184,0.1553249203915556,0.3391909423281047,50.371294481078834,49.628705518921166,1.6794258373205744,1.9037974683544303,17.08548684132359,1.0774668805322878,146.28382465620842,7.39079054604727,49.38578596239731,20.9957545349286,10.575510204081631,3.080398517145505,18.26174775738133,3.539725423168109,0.7697841726618705,37.5,2.067596625682307,63.12684365781711,289.7435897435897,1.985257695482958,5.535645365826763,56.19047619047619,43.80952380952381,-12.092865451725466,5.854609483083872,146.2462760675273,-49.18699186991871,-1.2307692307692242,0.1662702930658463,0.0238718231750555,-0.1503443419477527,-0.0996995849330072,2.922952849647946,0.106272391884557,6.041703796114775,2.1762461491344536,0.0355941306440361,-0.0394732867052111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.34470081983390305,-0.13104298172360831,-0.12689739158525146,-0.36055131644165755,-0.04881572119261757,3.0320832867776657,-0.49473103420448294,-0.16127897750337492,-0.9863512571299753,0.12807387795482975,0.5730179628448399,-0.5493580040720517,0.10639516826826859,0,Stable,15.871851496287245,37.119515151263464,93.95526321004341,84.55856940457697,58.548464191602804,50.57910092666635,11.916667871204417
