ib,cogs,gsubind,dltt,che,emp,at,ebitda,dlc,isin,gvkey,conm,seq,lct,invt,ebit,fyear,ivch,naics,lt,ggroup,datadate,gind,fincf,xint,oibdp,ceq,sale,dp,xsga,loc,ppent,rect,dvt,capx,sic,xrd,ivst,revt,gsector,oancf,act,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,cluster,cluster_name,proximity_score,growth_score,trends_score,volatility_score,quality_score,relative_score,overall_score
1387.0,30568.0,20302010.0,11413.0,8488.0,66.111,47052.0,3605.0,2819.0,DE0008232125,100103,DEUTSCHE LUFTHANSA AG,11542.0,19581.0,1606.0,1264.0,2024.0,,481111.0,35458.0,2030.0,2024-12-31,203020.0,-1450.0,631.0,3605.0,11542.0,31439.0,2341.0,324.0,DEU,19025.0,4796.0,359.0,3898.0,4512.0,60.0,6698.0,31439.0,20.0,3892.0,16316.0,2.68638952648134,12.016981459019236,4.020484112090079,11.466649702598684,4.411717929959604,11.466649702598684,2.770444352555743,5.50642561533435,0.8332567284612634,0.7512384454317961,0.4334814360860017,0.7755477248352995,-6.939131174020233,0.9888234274822388,1.2330618610292845,24.530306894499702,75.3591770806767,2.0031695721077654,1.5933425797503469,30.247385870951288,0.6681756354671428,475.54869840117374,6.555254378648874,55.68052418970069,60.51401125990012,,19.03362391033624,28.232593726090283,12.398613187442349,1.6651003844510892,-6.0,-0.0190845764814402,100.15416238437822,307.9113924050633,4.076589845780627,0.1908457648144025,25.88320115356885,74.11679884643115,5.055804317316048,3.819421460250205,5.205283259070659,-100.67039106145252,-3.753086419753082,-1.207206223448933,0.1734831766012957,0.1430750796937864,-0.2426599500674155,20.96164871387957,3.129229347576145,8.27169939641248,5.6059201629071325,0.0364841925698212,0.0519767052265873,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,11,True,1,Declining (Volatile),9.222127532489393,56.30118923746089,50.857797277919516,46.043767778007194,54.43467378694839,47.83704853609132,12.13402939861489
2385.5,14028.7,20303010.0,5086.7,7512.7,14.608,33617.1,4596.3,1521.6,DE000HLAG475,100431,HAPAG-LLOYD AG,20653.8,7162.0,630.6,2524.6,2024.0,233.6,483111.0,12893.9,2030.0,2024-12-31,203030.0,-3083.0,335.7,4596.3,20653.8,19111.8,2071.7,19.5,DEU,16425.6,2599.0,1441.2,2166.4,4412.0,115.2,2032.1,19111.8,20.0,4364.9,11025.8,7.509868489548474,11.54993270003583,13.209640117623668,24.04954007471824,12.48181751588024,24.04954007471824,26.59665756234368,9.807890289621414,1.539486177045518,1.451438145769338,1.0489667690589222,1.3327003630270873,11.493555363193137,0.2462839767984584,0.3199556498077835,61.43837511266588,38.35518233280087,7.5204051236222815,-0.1967669647325023,19.657555232307367,0.568514238289442,1308.3105147864185,7.353520584840323,49.63608869912829,85.94480896618842,4.946374035923185,22.246590548683795,30.079037156685143,11.335405351667555,1.045711251629097,2198.4999999999995,11.503364413608343,49.63229398153452,172.894715994613,1.6276472126194694,0.6027689699557341,60.41500733598827,39.58499266401173,6.59416046180874,15.87148943210488,-10.35286897821418,-32.5902986447538,27.09139974187493,3.2416051113864066,-0.0763418719109386,0.3640675021644868,3.3951929134376515,17.218849594851257,0.3209009152162586,12.984165796573768,15.308691714569363,0.3898563721220257,0.3241769334194058,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,11,True,1,Declining (Volatile),1.8647875992820406,52.15991714455696,45.52143838635644,22.42964060205737,72.392810359652,51.025796384176175,8.569902611396358
507.1,20445.6,25301020.0,3601.0,2901.6,52.139,17416.7,1727.6,941.2,DE000TUAG505,100676,TUI AG,956.4,10029.3,66.4,872.9,2024.0,,561510.0,15642.4,2530.0,2024-09-30,253010.0,-531.4,492.7,1727.6,956.4,23167.3,854.7,995.0,DEU,6027.8,790.4,88.2,712.5,4700.0,78.5,53.4,23167.3,25.0,1910.8,5268.8,5.011856436638398,53.02174822250105,3.7678106641688935,7.457062324914858,2.1888610239432307,7.457062324914858,11.748024154735342,19.153464694782112,0.5253407515978185,0.5187201499606154,0.2893123149172923,0.2946367144267297,-27.332962042177904,3.7651610204935175,4.74926808866583,5.491281356399318,89.81265107626588,1.7716663283945606,0.9496411206297756,26.079567311832896,1.3301773585122325,444.337252344694,29.31085526315789,12.45272431401156,26.01856927652338,,307.9156626506024,21.1980455539798,3.0754554911448464,0.8336258336258335,1198.3,5.172376582510694,37.28804689135441,218.90250887845116,18.21068590547888,0.3388396576208708,17.393019128377045,82.60698087162295,12.103997406355392,7.827319779104047,-5.11037909258012,23.396148697353517,6.949864905433789,-1.203153195840356,-1.0373654036831224,-0.02992578510301,-0.1176912549925136,15.887563374646732,12.43675751067793,10.971079481187596,8.721879362357937,0.0630841057705388,0.2253039761118564,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,11,True,1,Declining (Volatile),10.085137660688366,64.36073572437863,59.1894866516394,54.40700798513534,55.132306799972916,49.33554657475103,13.68816542293214
-215.678,264.388,50201030.0,1686.604,57.811,1.393,2145.912,104.97,41.977,DE000TCAG172,104364,TELE COLUMBUS AG,70.747,241.261,24.373,-77.675,2024.0,,516210.0,2066.292,5020.0,2024-12-31,502010.0,62.429,160.295,104.97,70.747,454.165,182.645,24.393,DEU,861.527,59.704,88.2,146.314,4841.0,84.1,0.0,454.165,50.0,182.96,150.013,-3.619673127323022,-304.8581565296055,-17.10281505620204,23.112745367872908,-47.48890821617694,23.112745367872908,41.78591481069656,-4.420004882348489,0.6217871931228006,0.5207638200952496,0.2396201623967404,0.2396201623967404,-4.252178094907899,23.839936675760104,24.433276322670928,3.296826710508167,96.2896894187646,-0.4845753142643251,15.916642850338194,80.55227800580826,0.2116419499028851,326.0337401292175,7.60694425834115,47.98247333017736,189.69471447601643,,10.847577237106632,5.476226424941936,32.2160448295223,0.8010840701908072,36.646000000000015,8.068873647242745,79.9704853519895,,30.33219783171017,18.517499146785852,,,-5.23797700247669,6.968117109469341,-88.76476993184659,1550.7207207207225,13.93130514004499,-3.429749501525803,1.586904963150663,0.9498068934485586,0.2675789831591298,13.429030033806509,7.719910816431554,8.525978698101323,2.3736240840877216,0.7175103964694044,-0.5226286991132053,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,11,True,1,Declining (Volatile),1.7951663334260146,22.433451688715518,43.47749363067826,31.99126074557616,39.058638340855616,52.284860214730806,4.0830842866777335
-189.734,47.819,35201010.0,252.818,679.345,0.524,2026.311,-230.737,5.267,DE0006632003,231016,MORPHOSYS AG,49.049,264.31,62.068,-241.272,2023.0,,325414.0,1977.262,3520.0,2023-12-31,352010.0,42.999,109.858,-230.737,49.048,238.278,10.535,147.167,DEU,14.99,42.655,88.2,0.349,2836.0,283.614,520.845,238.278,35.0,-295.837,814.022,-11.906958013848811,-386.8254194784808,-101.2565154987032,-96.83520929334642,-79.62715819337078,-96.83520929334642,79.93142463844754,-79.92659018706914,3.0798002345730398,2.8449699216828725,2.570258408686769,4.540842192879573,27.12870827824554,5.154396623784379,5.261779037289243,2.420605721431705,97.5793942785683,-2.1962169345882865,,12.736692442571751,0.1175920182045105,454.7290076335877,5.586168092837885,65.33996004666818,6.290971050621544,0.4334597025351456,0.7704292066765484,35.63125305049423,0.1464675714921226,0.0331276696725201,-296.186,-124.30270524345512,,,41.31197374054517,119.02651524689648,,,-14.370730269848742,-15.46230764994584,-16.693163751987285,-19.653751522500464,-81.93581780538302,-9.350024856455684,0.4286895903698116,-0.3526939580860116,-14.312630135462468,59.69286138078496,1.6865268725124851,-14.599782560525012,6.565925530537057,0.2249014084921499,0.1686616481941946,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,10,True,1,Declining (Volatile),3.264778897120974,16.046725548329434,53.682719397206405,53.23313042314314,74.00393860135408,47.10614049362814,3.712920391097805
318.867,1989.932,50202010.0,96.723,1748.388,4.434,4067.28,496.411,24.575,DE0005470306,234919,CTS EVENTIM AG & CO KGAA,1026.957,2497.395,15.555,418.33,2024.0,,561599.0,2884.745,5020.0,2024-12-31,502020.0,-193.853,12.323,496.411,1026.957,2808.579,78.081,309.873,DEU,217.881,353.584,159.346,142.276,7990.0,15.39,229.785,2808.579,50.0,506.419,2406.091,10.285252060344996,31.04969341462203,14.894720782288836,17.67480993057343,11.353321377109207,17.67480993057343,29.148085206077525,37.22857041150505,0.963440304797599,0.9572118147109288,0.7000846882451515,0.7920945625341606,-2.244841761570388,0.0941840797618595,0.118114000878323,25.249232902578623,70.92565547491198,33.94709080581027,-3.277707383599477,2.982287917232155,0.6905300348144214,633.4188092016238,7.9431733336350065,45.951408167617856,7.757695261553973,,127.92876888460304,51.680041698629054,5.06576457347292,1.822159039971312,364.143,12.965382138084774,28.094522519889654,121.05729926134867,3.960516360470789,0.5479639347869509,49.97255909203523,50.02744090796477,19.08064778728644,27.287902785901608,25.43140028288544,-25.79035857304437,2.04555887078266,-1.5039697320762582,-0.0345877774323092,0.3551110241865341,0.3248755201716945,21.20389538993195,0.2043468968732351,12.451048366475876,8.660978644354024,0.0553400530688317,-0.0379195654339278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,11,True,1,Declining (Volatile),9.012414844395353,52.58411369956384,52.68535076396669,47.930732747967866,55.60471611077752,48.132484980610776,11.492582992692716
450.6,3053.9,20305010.0,11108.5,3298.1,19.211,20252.8,1243.5,1367.8,DE0005773303,245839,FRAPORT AG,4828.6,2476.6,24.8,711.2,2024.0,,488119.0,15074.7,2030.0,2024-12-31,203050.0,489.9,470.8,1243.5,4828.6,4489.3,532.3,37.0,DEU,9850.3,499.9,88.2,1250.1,4581.0,84.1,651.9,4489.3,20.0,1179.1,3977.0,3.511613209037763,9.33189744439382,15.842113469805982,27.69919586572517,10.037199563406322,27.69919586572517,31.973804379301896,4.462543373637613,1.605830574174271,1.5958168456755228,1.331704756521037,1.594928531050634,7.408358350450307,2.3005633102762704,2.5838338234685,23.841641649549693,74.4326710380787,1.5106202209005948,7.380940892641736,61.60284010112181,0.2216631774371938,233.68382697412943,8.980396079215843,40.64408705143341,219.4172810905932,2.9920687816582245,123.14112903225806,18.75296255332596,27.846212104336978,2.348487694908886,-71.0,-1.5815383244603836,106.0215418539564,165.79021372328458,4.194342045313341,1.8733432829171583,19.573901464713718,80.42609853528629,10.819550728215257,7.209291246049676,6.390873345516979,-10.915934755332424,32.580337257397375,-1.4119148056778543,0.2063918382652417,2.5186092961726434,-2.8340724992644297,19.16843490064541,0.7840965888141145,5.821911044398799,2.761984825328693,0.0596810370928777,0.6484236809527287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,11,True,1,Declining (Volatile),4.5204803115602905,53.58624666067136,50.89833790570607,32.46047382168403,40.04066633195368,49.99032328885125,9.846129123724818
1059.9,2454.5,25503030.0,138.6,431.751,0.387,5689.9,1065.2,541.3,DE000A12UKK6,318452,ROCKET INTERNET SE,4898.4,1276.941,18.9,1059.3,2021.0,,523999.0,767.0,2550.0,2021-12-31,255030.0,-80.6045,3.0,1065.2,4898.4,3809.562,5.9,575.095,DEU,42.6,670.155,49.706,151.34750000000005,6799.0,84.1,33.2,1136.5,25.0,320.288,1855.197,18.61719889628992,21.637677609015192,93.2072151341839,93.72635283765948,93.26000879894414,93.72635283765948,-115.9700835899692,21.03037522334723,1.4528447281432737,1.438043731072931,0.3381135072019772,0.3641131422673404,10.162849962213745,0.0282949534541891,0.1388004246284501,86.08938645670399,13.480026011001952,353.1,0.2329600075103267,11.949243396193255,0.1997398899804917,2936.692506459948,1.6958763271183532,215.2279586449626,3.748350197976243,1.965392490523229,129.8677248677249,19.365999402449955,13.316981962164542,25.6521186440678,168.9405,14.864980202375714,47.253565541013096,30.235816104974987,1.161583374162992,7.399912010558732,4.689687706387395,95.3103122936126,118.81016557566424,41.132552832622274,-96.87865467596886,0.0,0.0,-122.01437830990707,-0.0214888810275491,-13.383265110513692,-14.938968264442677,777.5365159611879,0.0909184477108768,5.629062022179652,1.7867720189191223,0.147751427252132,,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,8,True,1,Declining (Volatile),0.0031747897161924716,2.4834683474091968,0.3207774644931574,0.31003078066924783,66.43653738877015,51.72654114837683,0.3737901679978565
-39.208,2454.5,20304040.0,1655.982,431.751,0.703,2441.071,10.221,304.6,DE000A0DPRE6,319665,ALLANE SE,194.517,1276.941,36.547,-2.485,2024.0,,532112.0,2252.627,2030.0,2024-12-31,203040.0,-80.6045,47.387,10.221,194.517,3809.562,12.706,575.095,DEU,38.958,670.155,88.2,151.34750000000005,6159.0,84.1,10.4,749.098,20.0,320.288,1855.197,-0.1017995789553028,-20.156592997013117,-0.3317322967088418,1.3644409676704516,-5.234028124491054,1.3644409676704516,-227.66073330859248,-0.1342881028306418,1.4528447281432737,1.4242239852898448,0.3381135072019772,0.346257971198356,23.68861864321029,8.513302179243974,10.079232149375118,7.968510543118164,92.28027369953598,-0.0524405427648933,149.57743860678994,80.31646764883119,0.3068726800654303,1065.5732574679944,1.11779812133014,326.5348125345416,5.200654653997208,1.295443540577184,67.16009521985389,45.14026834942531,20.2039653022702,11.911498504643475,168.9405,22.552523167863217,47.253565541013096,,12.549396710827333,11.22683547413022,,,20.63158233759541,45.88285845590983,-3.698630136986303,0.0,0.0,-0.8366671539152435,-0.589690735495042,-0.2004345604523297,-0.2237335592599598,3.041086649386782,5.672077992094691,13.120798207016511,4.747294082571526,0.8326079153159311,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,11,True,1,Declining (Volatile),0.1497535464686109,24.241158924110806,55.4669472170627,40.53276128614365,44.1460657513846,51.4612111571889,3.696075257204065
-882.4,8569.7,25301040.0,5399.6,3808.7,42.711,12420.4,131.3,267.8,DE000A2E4K43,324859,DELIVERY HERO SE,2592.3,3732.7,174.6,-264.5,2024.0,,454110.0,9707.9,2530.0,2024-12-31,253010.0,1579.6,316.9,131.3,2592.3,12294.7,395.8,3751.2,DEU,710.6,659.6,88.2,139.1,5961.0,415.2,0.0,12294.7,25.0,638.3,5196.3,-2.129561044732859,-34.03927014620221,-2.151333501427444,1.0679398439978205,-7.177076301170422,1.0679398439978205,30.29760791235248,-3.30960097098312,1.39210223162858,1.3453264393066682,1.020360596886972,1.020360596886972,11.783839489871504,2.0829379315665624,2.186243876094588,20.871308492480114,78.16092879456377,-0.8346481539917956,14.15613099771516,45.62977037776562,0.9898795529934624,287.8579288707828,18.63963007883566,19.58193367873962,5.779726223494676,8.400314293522818,49.08190148911799,35.975491932626966,1.1313818149283836,0.3514401212733704,499.19999999999993,4.060286139556068,21.79226069246436,,4.79126644292713,3.377064914149999,,,23.665496534867604,18.42712484982552,-4.261185331300998,-398.56459330143537,-5.822613405551791,8.972026520287347,0.3008027572527716,-0.0801579304416634,6.9184227417801,32.619992422082234,1.266528482981589,5.139125954075554,5.329311162187991,0.832158532973581,0.6939970776631674,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,11,True,1,Declining (Volatile),2.871505631647052,55.93669230134232,35.07262511114207,45.661568930989446,32.44209637861387,52.1078427021683,9.539106097860168
