gsubind,xsga,ebit,rect,gvkey,emp,act,dltt,dvt,sic,ceq,fyear,isin,che,naics,xrd,seq,cogs,revt,lct,ib,ggroup,lt,conm,ppent,capx,ivst,gsector,fincf,dlc,dp,invt,loc,xint,oibdp,at,datadate,gind,ebitda,sale,oancf,ivch,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebit_outlier,ebitda_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,PC1,PC2,PC3,PC4,PC5,PC6,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,relative_score,overall_score
25503030.0,575.095,1059.3,670.155,318452,0.387,1855.197,138.6,49.706,6799.0,4898.4,2021.0,DE000A12UKK6,431.751,523999.0,84.1,4898.4,2454.5,1136.5,1276.941,1059.9,2550.0,767.0,ROCKET INTERNET SE,42.6,151.34750000000003,33.2,25.0,-80.6045,541.3,5.9,18.9,DEU,3.0,1065.2,5689.9,2021-12-31,255030.0,1065.2,3809.562,320.288,,18.617198896289917,21.637677609015192,93.2072151341839,93.72635283765949,93.26000879894414,93.72635283765949,-115.9700835899692,21.03037522334723,1.4528447281432735,1.438043731072931,0.3381135072019772,0.36411314226734043,10.162849962213745,0.028294953454189125,0.1388004246284501,86.08938645670399,13.480026011001952,353.09999999999997,0.2329600075103267,11.949243396193255,0.19973988998049177,2936.692506459948,1.6958763271183532,215.2279586449626,3.748350197976243,1.965392490523229,129.8677248677249,19.365999402449955,13.316981962164542,25.652118644067798,168.9405,14.864980202375714,47.253565541013096,30.235816104974987,1.161583374162992,7.399912010558732,4.689687706387395,95.31031229361261,118.81016557566424,41.132552832622274,-96.87865467596886,0.0,0.0,-122.01437830990707,-0.02148888102754913,-13.383265110513692,-14.938968264442677,777.5365159611879,0.09091844771087687,5.629062022179652,1.7867720189191225,0.14775142725213203,,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,8,True,9.249098961610152,2.18390394344209,2.1404147888323375,2.7271510831106758,0.31491510737579853,0.4024553899825799,0,Upper-Mid,0.6427838571939982,0.9230764687811391,86.25106131714786,35.74610915719489,20.957120500049246,75.11348299999824,7.159907827360703
15101010.0,697.0,436.0,551.0,103200,6.781,1285.0,52.0,152.615,2990.0,1897.0,2024.0,DE000A3E5D64,153.0,324191.0,79.0,1897.0,2222.0,3525.0,580.0,302.0,1510.0,710.0,FUCHS SE,813.0,83.0,0.0,15.0,-228.0,60.0,97.0,567.0,DEU,9.0,533.0,2610.0,2024-12-31,151010.0,533.0,3525.0,390.0,2.0,16.704980842911876,15.919873484449129,12.368794326241135,15.120567375886527,8.567375886524822,15.120567375886527,36.9645390070922,22.370446382760388,2.2155172413793105,1.2379310344827585,0.2637931034482759,0.2637931034482759,27.011494252873565,0.027411702688455455,0.05904059040590406,72.68199233716474,27.203065134099617,48.44444444444444,-0.07692307692307693,4.291187739463601,1.3505747126436782,519.8348326205574,6.397459165154265,57.05390070921986,23.06382978723404,5.0,3.9188712522045854,26.97318007662835,2.354609929078014,0.8556701030927835,307.0,8.709219858156029,21.28205128205128,89.44954128440367,1.3758566157090142,2.2411347517730498,50.534768211920536,49.465231788079464,-0.45184975995481436,7.71770532397853,8.115433673469386,-33.26086956521739,0.0,-0.500585552284974,0.0055430427954161,-0.10227467469361243,-0.23684786043372466,1.8049902090443215,0.028183022880020083,14.942528735632186,5.175547287786805,0.8460569672791028,-0.22120291987798313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1.904183137083017,1.0071898001327924,-0.3391990060857497,0.06141970139547905,0.3169765811069268,2.1262268416982377,0,Upper-Mid,25.10212585254784,33.65880641935941,83.51272971000029,52.06986521539686,59.6759392856653,57.63645873655376,30.9309890392805
35203010.0,125.184,188.839,411.446,358679,4.517,588.601,80.874,24.098,3221.0,790.406,2024.0,DE000A3ENQ51,26.431,327213.0,24.254,790.406,569.503,957.091,435.48,149.685,3520.0,650.0,SCHOTT PHARMA AG & CO KGAA,723.49,145.075,3.249,35.0,-78.156,205.465,64.978,140.445,DEU,12.779,253.817,1442.269,2024-09-30,352030.0,253.817,957.091,225.326,2.142,13.093188579938971,18.937735796540007,19.730516742922042,26.51963083970072,15.639578681650962,26.51963083970072,40.49646271880103,21.67374437609035,1.3516143106457241,1.0291081105906126,0.06069394690915771,0.0681546798934509,10.616674143311682,0.1023195674121907,0.362268252012257,54.802952847215046,45.06787568754511,14.777290867830034,1.0239976045733739,19.853369933070738,0.6636008955333575,211.88642904582687,2.3261643083174945,156.91066993629659,75.59260300222236,6.25055348384611,4.054989497668127,30.360286465284908,15.15791079427139,2.232678752808643,80.251,8.384887121496284,64.38449180298767,119.32175027404297,1.8247191949453827,2.5341372972893907,16.09914153054748,83.90085846945252,6.508888250860778,17.083635052945702,0.8484036615316048,1197.5101050929725,-17.320635789065765,0.9721526029538595,0.020794380238289993,0.556610173744923,0.5613837376784517,1.9277031144388368,0.044542066407044036,15.62302178026429,1.4071708079860712,0.6358118199172683,-0.5066219254178034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5,True,2.0620433332453616,0.5215615672624356,0.6024928464691481,-0.4715342316959121,0.2813187882085066,0.6257939322261212,0,Upper-Mid,38.926593685778855,40.968799372668045,85.58204755398461,85.83538631499773,80.63954500392954,52.540597999145184,44.44386773093436
50203010.0,65.891,254.787,52.84,317079,1.066,119.003,41.794,95.6,7370.0,1432.336,2024.0,DE000A12DM80,57.125,519130.0,43.059,1432.336,142.932,588.798,261.963,162.104,5020.0,640.157,SCOUT24 SE,54.2,0.884,1.649,50.0,-171.725,162.761,47.073,0.0,DEU,5.073,301.86,2072.493,2024-12-31,502030.0,301.86,588.798,257.017,1.759,12.293744779837617,11.31745623931815,43.27239562634384,51.267157836813304,27.53134351679184,51.267157836813304,75.7247816738508,17.28388948057498,0.45427407687345156,0.45427407687345156,0.21806514660467316,0.22435992869221988,-6.897972634889481,0.029178907742317444,0.14281216139229902,69.11174127005496,30.88825872994505,50.224127735068,0.4884052209633605,9.8699971483619,0.28410132145199046,552.343339587242,11.143035579106737,32.75588571972052,9.20519431112198,,,5.305928656936357,0.15013637953933268,0.018779342723004695,256.133,43.500996946321145,0.34394612029554467,100.8752408874864,1.4469321444130427,7.313034351339508,58.97448551547154,41.02551448452846,10.702118538907568,2.628435773942339,1.0426540284360408,27.904700553799433,20.108695652173925,2.7933164819655585,-0.07479711518675228,-0.08761913702092726,0.9961506824352137,11.444048391748495,0.30555334563971004,12.401344660753981,2.909322990334067,0.6553504498423376,0.5786809364117763,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,3.6876899596088872,0.50535021393996,1.4966941275335366,-0.18465956411376538,1.0510010964271328,0.4047699751377164,0,Upper-Mid,15.256640939395933,19.998882857524375,57.33083711025222,57.548499632644045,56.315493800177826,52.72390707401853,24.30460698055433
50102010.0,115.0,379.455,426.55,205934,3.196,818.1,424.0,88.2,4812.0,1489.2,2024.0,DE000A0Z2ZZ5,181.6,517312.0,23.308,1489.2,1736.329,2502.3,1149.5,297.6,5010.0,1857.8,FREENET AG,330.81,43.7,0.0,50.0,-306.6,273.1,145.016,46.7,DEU,29.026,524.471,3342.0,2024-12-31,501020.0,524.471,2502.3,370.7,,11.354129263913823,19.983883964544724,15.16424889102026,20.95955720736922,11.893058386284618,20.95955720736922,30.610678176078014,19.833524984319464,0.7117007394519357,0.6710743801652892,0.1579817311874728,0.1579817311874728,-9.916217833632555,0.284716626376578,0.46810367982809564,44.56014362657092,55.58946738479952,13.072934610349341,0.9828951457754576,20.858767205266307,0.7487432675044884,782.9474342928661,5.866369710467707,62.21905846621108,13.220237381608918,,37.180492505353314,18.197187312986234,1.7463933181473046,0.30134605836597345,327.0,13.067977460736122,11.788508227677369,97.69274354007722,2.244157937147462,0.9314630539903288,29.63709677419355,70.36290322580645,-5.6376800663700095,-2.134762364930165,-13.387533875338754,-4.497663551401865,-21.402877697841728,0.23416359208551413,-0.032451088795577857,0.0942780207374616,0.4941639748726735,2.497609395369671,0.4815695622178052,11.092160383004188,1.64079002328772,0.09669018461985812,0.7530993208542217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1.5743233289196938,-0.2958480217610913,0.4393562128116698,0.10506833078508222,0.31328086902188296,0.27548302651368056,0,Upper-Mid,44.64576769973618,53.49442865314587,64.95601602799051,86.96012336378944,79.39258645874492,51.54240893542021,49.16209311571433
45103010.0,10276.0,8142.0,7828.0,103487,109.121,21401.0,6720.0,2741.0,7372.0,45440.0,2024.0,DE0007164600,11087.0,513210.0,6603.0,45440.0,7884.0,34176.0,19079.0,3124.0,4510.0,28314.0,SAP SE,4337.0,797.0,1478.0,45.0,-3412.0,3433.0,1280.0,0.0,DEU,545.0,9422.0,74122.0,2024-12-31,451030.0,9422.0,34176.0,5220.0,,10.984592968349478,6.875000000000001,23.82373595505618,27.569054307116104,9.140917602996254,27.569054307116104,76.9311797752809,15.609662576687116,1.1217044918496777,1.1217044918496777,0.5811101210755281,0.658577493579328,3.132673160465179,0.14788732394366197,0.2234375,61.30433609454683,38.199185127222684,14.939449541284404,-0.09912969645510507,13.697687596125308,0.4610776827392677,313.19361076236476,4.365866121614716,83.60311329588015,12.690191947565543,14.718346253229974,,25.518739375623973,2.3320458801498125,0.62265625,4423.0,12.941830524344569,15.268199233716476,64.1120117907148,1.631205985915493,19.32057584269663,87.74007682458387,12.259923175416134,9.513891114173113,8.468573937221047,1.411683797698915,-20.263205336217773,1.5286624203821653,-0.4645395458999519,-0.018145112819190283,-0.2241374508052263,0.1373582371713566,2.746373490621218,0.12476026092883238,7.042443539030248,1.930148409512513,0.31471603455531205,-0.4500436442306867,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1.8086370430792447,0.7155007928524387,0.8461715718833488,-0.41265811192187235,0.7605892516901582,0.39227502324068514,0,Upper-Mid,39.79774580290076,48.28550049213581,79.28497744322172,71.7214553350857,67.49793956892283,50.62891640711978,42.87303488843446
25102010.0,4958.0,5712.0,4573.0,354519,39.463,20288.0,7160.0,2100.0,3711.0,23043.0,2024.0,DE000PAG9113,9151.0,336110.0,2033.0,23043.0,26614.0,40083.0,14343.0,3592.0,2510.0,30471.0,DR ING  H C F PORSCHE AG,14330.0,2174.0,2767.0,25.0,-1679.0,4175.0,2935.0,6130.0,DEU,316.0,8647.0,53527.0,2024-12-31,251020.0,8647.0,40083.0,6353.0,343.0,10.6712500233527,15.588248057978562,14.250430357009206,21.572736571613902,8.961405084449767,21.572736571613902,33.60277424344485,18.912028606429825,1.414487903506937,0.9871017220944015,0.6380115735899045,0.830927978804992,11.106544360789881,0.3107234301089268,0.49190643579395044,43.04930222130887,56.92641097016459,18.075949367088608,0.2525731467561004,21.17622881910064,0.748837035514787,1015.7109190887667,8.765143232013996,41.64221739889729,35.75081705461168,6.742304457527334,4.3415986949429035,25.639396939862124,5.423745727615199,0.7407155025553662,4179.0,10.425866327370706,34.22005351802298,111.22198879551821,2.322918022826889,5.07197565052516,58.463251670378625,41.536748329621375,-1.1028867505551432,6.105417566951443,0.5503605371111275,-16.536848412222895,7.837301587301582,0.11399933371381193,0.022737221280166326,-1.1226496373351766,1.4970888140968681,2.0319024190356036,0.06482625871648164,11.868776505315076,2.0989337188704567,0.014689455986969963,0.6251670892980747,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,1.266928277517039,0.11454938987642521,0.2602242232143064,0.3923408707821443,0.15691159213649059,0.1224019262981106,0,Upper-Mid,51.562151144376486,60.023897073308085,86.79239490580969,83.3614369718201,70.21579415481139,52.623228507788696,51.49815269281593
25504040.0,1035.488,251.093,151.336,204820,20.221,545.615,467.188,96.6,3851.0,899.131,2024.0,DE0005772206,101.683,456130.0,84.1,899.131,455.587,2264.116,846.714,152.108,2550.0,1455.804,FIELMANN GROUP AG,1001.027,79.716,7.394,25.0,-44.269,406.664,211.838,259.32,DEU,41.865,462.931,2368.947,2024-12-31,255040.0,462.931,2264.116,410.093,,10.599350681969668,16.917223407934994,11.090111990728388,20.446434723309228,6.71820701766164,20.446434723309228,79.87793028272404,18.37733355094967,0.6443911403378236,0.3381247977475275,0.12009131772948127,0.1288239003961196,-12.710246366845693,0.5195994799422998,0.9718850757008711,37.954880375120254,61.453633196521494,5.997683028782992,1.6680001987337205,36.887781786591255,0.9557478491498543,111.96854754957717,14.960855315324839,24.397000860379947,44.21270818279629,,1.7568525374055222,10.680652627517627,3.520844338364289,0.37630642283254184,330.377,14.591876034620135,19.438517604543357,163.32315118302782,2.634707289594064,3.714473993381964,63.50750782338864,36.49249217661136,14.983444044934702,19.249541666792513,23.389065169636304,66.18895752429626,-5.087570991439372,-1.0244609249876622,0.10100085972834867,0.11005620800271869,0.2189692028739411,3.8098689071109475,0.3591593367234257,17.31119353873261,4.742164496181577,0.7953593973621308,0.38282161701463385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0.9562150045657976,-0.7285650401405497,0.3121907317766675,-0.5512246528720272,0.07005994882927913,0.5923123175060905,0,Upper-Mid,45.14666579636076,63.101265195113484,59.29316735251866,72.16058102471068,81.71296699476687,48.771570895048754,50.1519225092531
30302010.0,4076.0,1356.0,2042.0,100083,22.791,6441.0,0.0,223.0,2844.0,8475.0,2024.0,DE0005200000,2503.0,325620.0,354.0,8475.0,3775.0,9850.0,3696.0,912.0,3030.0,4516.0,BEIERSDORF AG,2719.0,437.0,1296.0,30.0,-1029.0,114.0,315.0,1612.0,DEU,45.0,1671.0,13011.0,2024-12-31,303020.0,1671.0,9850.0,1231.0,,10.42195065713627,10.761061946902654,13.766497461928934,16.96446700507614,9.258883248730964,16.96446700507614,61.6751269035533,16.0,1.7426948051948052,1.306547619047619,0.6772186147186147,1.0278679653679654,21.097532856813466,0.0,0.013451327433628318,65.13719160710168,34.70909230650987,30.133333333333333,-1.4296828246558946,0.8761816924141111,0.7570517254630698,432.18814444298187,4.823702252693438,75.66802030456853,27.604060913705585,3.588342440801457,2.3418114143920596,34.931980631773115,4.436548223350254,1.3873015873015873,794.0,8.060913705583756,35.49959382615759,90.78171091445427,1.535221238938053,3.5939086294416245,24.451754385964914,75.54824561403508,4.265904519953434,3.024784226779631,3.7936059750432793,87.26415094339623,-15.473887814313347,-0.15217338384611181,0.001411245399574809,0.19141476229111393,-0.09660360856517004,0.969901098575644,0.020856717844209276,9.461225117208516,2.0022533568888843,0.2707791238919422,0.011869084333577692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1.3755465521242272,0.9695116953435213,0.1647885737410612,-0.20482024784281344,0.700983656386479,0.8256019698231111,0,Upper-Mid,51.64853364711155,61.86573433257573,95.0263614309754,64.28376375712833,91.39599426055365,52.32594555001392,53.170335840155644
45301020.0,1412.0,2963.0,2770.0,132740,58.065,9793.0,4595.0,455.0,3674.0,17219.0,2024.0,DE0006231004,2201.0,334413.0,2558.0,17219.0,6760.0,14955.0,5146.0,1780.0,4530.0,11420.0,INFINEON TECHNOLOGIES AG,6476.0,2432.0,395.0,45.0,-615.0,573.0,1865.0,3990.0,DEU,157.0,4828.0,28639.0,2024-09-30,453010.0,4828.0,14955.0,2780.0,10.0,10.346031635182792,10.337417968523143,19.81277164827817,32.283517218321634,11.90237378803076,32.283517218321634,54.79772651287195,13.583020078848445,1.9030314807617568,1.1276719782355227,0.42771084337349397,0.5044694908666926,16.2261252138692,0.26685637958069575,0.300133573378245,60.124306016271525,39.87569398372848,18.872611464968152,0.6145401822700911,18.045322811550683,0.522190020601278,257.55618703177475,5.398916967509026,67.60615178869942,43.3032430625209,3.2182052937378955,1.694235588972431,17.357449631621215,16.262119692410565,1.3040214477211796,348.0,2.3269809428284853,87.4820143884892,93.82382720215998,1.663220860677159,17.10464727515881,25.56179775280899,74.43820224719101,-8.302164449077198,0.70325960828439,-0.8960573476702649,-71.49877149877149,-11.208470244614821,1.045090374696417,0.019441579304853733,0.3902246472647871,0.0763927750024315,4.675615587678315,0.1857166236036557,9.70704284367471,2.8184744444689387,0.5495697063287116,0.034623261573779957,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1.6366463737947428,1.0071635326585844,0.5990075500648809,-0.42483417664624934,0.5391979916895414,0.4478145725523628,0,Upper-Mid,46.41953131698223,53.922030832173796,93.78852335974238,74.22028089223149,71.29088611235159,52.207490005225544,47.46787969930354
