rect,sale,dp,gsubind,ivch,lt,gvkey,datadate,ivst,revt,xrd,act,invt,dvt,sic,isin,ggroup,emp,loc,ebit,fyear,oibdp,dltt,oancf,fincf,ceq,ppent,che,ebitda,cogs,xint,gsector,conm,xsga,naics,seq,ib,dlc,gind,lct,capx,at,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebit_outlier,ebitda_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,cashflow_score,structure_score,relative_score,overall_score
551.0,3525.0,97.0,15101010.0,2.0,710.0,103200,2024-12-31,0.0,3525.0,79.0,1285.0,567.0,152.615,2990.0,DE000A3E5D64,1510.0,6.781,DEU,436.0,2024.0,533.0,52.0,390.0,-228.0,1897.0,813.0,153.0,533.0,2222.0,9.0,15.0,FUCHS SE,697.0,324191.0,1897.0,302.0,60.0,151010.0,580.0,83.0,2610.0,16.704980842911876,15.919873484449129,12.368794326241135,15.120567375886527,8.567375886524822,15.120567375886527,36.9645390070922,22.370446382760388,2.2155172413793105,1.2379310344827585,0.2637931034482759,0.2637931034482759,27.011494252873565,0.027411702688455455,0.05904059040590406,72.68199233716474,27.203065134099617,48.44444444444444,-0.07692307692307693,4.291187739463601,1.3505747126436782,519.8348326205574,6.397459165154265,57.05390070921986,23.06382978723404,5.0,3.9188712522045854,26.97318007662835,2.354609929078014,0.8556701030927835,307.0,8.709219858156029,21.28205128205128,89.44954128440367,1.3758566157090142,2.2411347517730498,50.534768211920536,49.465231788079464,-0.45184975995481436,7.71770532397853,8.115433673469386,-33.26086956521739,0.0,-0.500585552284974,0.0055430427954161,-0.10227467469361243,-0.23684786043372466,1.8049902090443215,0.028183022880020083,14.942528735632186,5.175547287786805,0.8460569672791028,-0.22120291987798313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid,26.71221222840034,34.69895332796163,88.53978180005481,62.34040607396483,54.58639773739571,88.10746154965227,96.1514401907979,52.727108379023974,32.0466758249583
2042.0,9850.0,315.0,30302010.0,,4516.0,100083,2024-12-31,1296.0,9850.0,354.0,6441.0,1612.0,223.0,2844.0,DE0005200000,3030.0,22.791,DEU,1356.0,2024.0,1671.0,0.0,1231.0,-1029.0,8475.0,2719.0,2503.0,1671.0,3775.0,45.0,30.0,BEIERSDORF AG,4076.0,325620.0,8475.0,912.0,114.0,303020.0,3696.0,437.0,13011.0,10.42195065713627,10.761061946902654,13.766497461928934,16.96446700507614,9.258883248730964,16.96446700507614,61.6751269035533,16.0,1.7426948051948052,1.306547619047619,0.6772186147186147,1.0278679653679654,21.097532856813466,0.0,0.013451327433628318,65.13719160710168,34.70909230650987,30.133333333333333,-1.4296828246558946,0.8761816924141111,0.7570517254630698,432.18814444298187,4.823702252693438,75.66802030456853,27.604060913705585,3.588342440801457,2.3418114143920596,34.931980631773115,4.436548223350254,1.3873015873015873,794.0,8.060913705583756,35.49959382615759,90.78171091445427,1.535221238938053,3.5939086294416245,24.451754385964914,75.54824561403508,4.265904519953434,3.024784226779631,3.7936059750432793,87.26415094339623,-15.473887814313347,-0.15217338384611181,0.001411245399574809,0.19141476229111393,-0.09660360856517004,0.969901098575644,0.020856717844209276,9.461225117208516,2.0022533568888843,0.2707791238919422,0.011869084333577692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid,46.36208258967073,54.50851536310542,68.85045154721226,76.89575657210459,94.92930805017468,90.0807481391401,97.36329902549761,50.039127378637986,51.375507973226036
2770.0,14955.0,1865.0,45301020.0,10.0,11420.0,132740,2024-09-30,395.0,14955.0,2558.0,9793.0,3990.0,455.0,3674.0,DE0006231004,4530.0,58.065,DEU,2963.0,2024.0,4828.0,4595.0,2780.0,-615.0,17219.0,6476.0,2201.0,4828.0,6760.0,157.0,45.0,INFINEON TECHNOLOGIES AG,1412.0,334413.0,17219.0,1780.0,573.0,453010.0,5146.0,2432.0,28639.0,10.346031635182792,10.337417968523143,19.81277164827817,32.283517218321634,11.90237378803076,32.283517218321634,54.79772651287195,13.583020078848445,1.9030314807617568,1.1276719782355227,0.42771084337349397,0.5044694908666926,16.2261252138692,0.26685637958069575,0.300133573378245,60.124306016271525,39.87569398372848,18.872611464968152,0.6145401822700911,18.045322811550683,0.522190020601278,257.55618703177475,5.398916967509026,67.60615178869942,43.3032430625209,3.2182052937378955,1.694235588972431,17.357449631621215,16.262119692410565,1.3040214477211796,348.0,2.3269809428284853,87.4820143884892,93.82382720215998,1.663220860677159,17.10464727515881,25.56179775280899,74.43820224719101,-8.302164449077198,0.70325960828439,-0.8960573476702649,-71.49877149877149,-11.208470244614821,1.045090374696417,0.019441579304853733,0.3902246472647871,0.0763927750024315,4.675615587678315,0.1857166236036557,9.70704284367471,2.8184744444689387,0.5495697063287116,0.034623261573779957,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid,44.559386298820485,54.68066717360859,63.54003843815772,88.87699354984422,78.4018717813262,90.49726679817441,98.34769991776656,49.71527885172813,49.40786807643326
603.264,1676.628,102.887,30202010.0,,1074.69,102926,2025-06-30,33.022,1676.628,348.951,1550.007,420.328,41.25,100.0,DE0007074007,3020.0,4.791,DEU,253.274,2025.0,356.161,426.798,226.537,-236.849,1601.531,623.634,407.009,356.161,516.311,11.651,30.0,KWS SAAT SE & CO KGAA,464.725,111.0,1601.531,139.98,56.737,302020.0,521.392,108.116,2676.221,9.463867146995709,8.740386542627023,15.106153541513084,21.242696650658345,8.34890029273041,21.242696650658345,69.20539320588705,12.486830292324372,2.972824669346672,2.166659634209961,0.7806199558105993,0.8439542609015864,38.4353534330685,0.26649374879412263,0.3019204748456321,59.843002502409185,40.15699749759082,21.738391554373017,0.2148635027417376,18.06782773171573,0.6264908615544083,349.95366311834687,2.779260821133036,131.32988355198648,37.195728569485894,1.6299859519839783,1.228352619858777,37.74998402598291,6.44841908879012,1.0508227472858573,118.421,7.063045589122931,47.725537108728375,89.44344859717145,1.6710391494139045,20.81266685275446,29.468495499357054,70.53150450064294,-0.08878994206604762,-9.467631769365848,3.7462104807275853,-6141.887755102017,-20.537997942084374,0.34305048544131467,0.02442768772756635,0.0026673672731636717,0.2807733865456231,2.4249338116019827,0.18664624453625198,8.464809146927701,1.934299544562904,0.2601714579267073,0.05452210288460373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12,True,1,Mid,43.79671557551651,48.7899922656276,69.66647402873278,89.58148858687544,87.28701426671267,93.09240798301722,98.4081491911327,54.62805687602335,49.327885682026576
709.185,2235.785,70.849,20106020.0,4.81,1094.563,101937,2024-12-31,1.774,2235.785,85.737,1642.446,714.117,,3540.0,DE0005878003,2010.0,7.498,DEU,237.066,2024.0,307.915,39.285,171.974,-176.324,1419.503,456.516,137.938,307.915,1073.407,12.437,20.0,DMG MORI AG,662.307,3335.0,1419.503,170.43,35.149,201060.0,964.615,37.147,2544.259,9.317683459113244,12.006314886266532,10.603255679772431,13.772120306737904,7.622825987293054,13.772120306737904,51.98970384003828,16.25088772323326,1.7026958942168635,0.9623829196104144,0.14299798365150862,0.14483705934491997,26.641587982984433,0.02767517927049115,0.052436662691096814,55.79239377752029,43.0208952783502,19.06134919996784,-0.20623873471574944,2.92556693324068,0.8787568404002893,298.18418244865296,3.152611800870013,115.77702015175878,20.41860017846081,3.298440171665209,1.5031248380867561,33.29547031178822,1.661474605116324,0.5243122697568067,134.827,6.0304099007731065,21.600358193680442,72.54266744282182,1.7923590157963738,3.8347604979906387,0.0,100.0,-10.989016676433872,-8.07479290932811,-0.22621423819028097,12.482376006340456,-47.39353943324883,0.16743301524572757,0.00034554890007888414,-0.2301677019405922,0.49366690707914274,1.8554738142197378,0.015856381169796863,6.759296125119336,2.103300434638087,0.08957054621112989,0.34221558686317843,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid,61.18390644343417,71.02554705565815,73.33999887263506,95.90697057618634,85.62784204073,95.31194889379879,99.35094324484069,50.06629970786516,61.11354535223343
784.8,2967.4,90.9,20106020.0,1.3,1532.5,101390,2024-12-31,0.0,2967.4,69.0,1938.0,764.8,46.635,3560.0,DE0006292030,2010.0,,DEU,243.2,2024.0,334.1,37.5,268.6,-88.8,1092.5,667.8,369.3,334.1,1359.5,20.5,20.0,KSB SE & CO KGAA,1026.1,3339.0,1092.5,118.1,20.8,201060.0,983.0,135.0,2867.9,8.480072526936084,10.810068649885583,8.195726898968795,11.259014625598168,3.9799150771719347,11.259014625598168,54.18548224034508,21.522123893805308,1.9715157680569684,1.1934893184130213,0.37568667344862666,0.37568667344862666,33.299626904703786,0.034324942791762014,0.05336384439359267,38.0940758045957,53.4363122842498,11.863414634146341,-0.9308590242442382,2.0328463335541684,1.0346943756755815,,3.7810907237512748,96.53299184471253,22.504549437217765,3.1072251308900523,1.7775889121338913,40.24198891174727,4.549437217766394,1.4851485148514851,133.60000000000002,4.5022578688414105,50.26061057334326,110.44407894736842,2.6250800915331807,2.3252679113028236,39.48772226926334,60.51227773073666,5.1916253655244216,7.419266998998819,,-23.149048279194417,26.806999746386005,0.4410495948978004,-0.02547266617184261,0.07613679636297159,0.2430585178199154,1.8354355116224006,0.09722052204035422,9.365737996443391,3.0125366934278937,0.635168979838396,-0.3195692048150439,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid,49.08529014257777,73.02516738091113,77.4429449530444,60.47450300486552,74.68731120782905,97.56961540411353,94.27689863745131,50.74070843444322,51.48969651487425
232.805,1115.787,73.053,45203010.0,,772.813,218000,2024-12-31,0.676,1115.787,99.441,588.719,267.009,21.75,3827.0,DE000A2NB601,4520.0,4.071,DEU,147.082,2024.0,220.135,463.899,167.12,-62.385,960.337,419.917,85.573,220.135,669.586,22.468,45.0,JENOPTIK AG,165.76,333310.0,960.337,91.0,17.217,452030.0,260.817,83.235,1740.009,8.452944783618936,9.475840251911569,13.181906582528743,19.729123927774744,8.15567845834375,19.729123927774744,39.989800920785065,10.32708062427856,2.257210994682095,1.233470210914166,0.3280959446661835,0.3306878002584187,18.84484505539914,0.4830585513210467,0.500986632817438,55.19149613593952,44.414310500692814,6.546288054121417,1.7968201331001432,27.650201809300984,0.6412535797228636,274.0817980840089,4.792796546465927,76.15595539291996,37.634154188926736,3.402806326280413,2.50772820391822,18.297491564698802,7.459757104178485,1.1393782596197282,83.885,7.518011950309512,49.80552896122546,113.62369290599803,1.8118733319657578,8.912184852485286,23.9010989010989,76.0989010989011,4.665737377679058,4.3851745023132604,-11.806759098786824,-5.059136438232148,5.848466351289483,0.4407378857090055,0.03502205472110263,0.383648736051978,0.007218571883573462,1.6762282502380685,0.18782838723287446,9.604548022452757,2.5902597818907727,0.7604788523854166,0.32283116788596705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid,64.42670912599525,77.20140209646084,72.44215182674284,96.56334727533529,88.7575089330522,92.0119529223306,99.5034328170174,50.00528499633319,64.18092513718162
693.228,4002.172,222.954,20304040.0,0.003,4421.998,103533,2024-12-31,0.0,4002.172,10.105,5240.0,175.534,127.078,7510.0,DE0007231326,2030.0,7.864,DEU,514.314,2024.0,737.268,2757.739,1079.847,-832.872,2128.658,1124.128,163.577,737.268,886.577,154.362,20.0,SIXT SE,983.991,5321.0,2128.658,243.913,327.736,203040.0,1595.496,89.925,6550.656,7.851335805146843,11.458533968350013,12.85087197651675,18.421697018518945,6.094515677986853,18.421697018518945,77.84760375116312,10.525423947337885,3.2842451500975245,3.1742266981553073,0.10252423070944709,0.10252423070944709,55.63571037770873,1.2955293898785056,1.4494930608862486,32.495340924634114,67.50465907536588,3.3318692424301317,3.9631423037484335,47.10177118139008,0.6109574369345605,508.92319430315365,5.773240550006636,63.222725060292255,28.08794824410345,1.0981390060211211,5.050742306333816,13.07968240127401,2.246904930622672,0.40333432008396347,989.922,24.734619101827708,8.327568627777824,209.9587022713751,3.077364236058587,0.25248789907080454,52.09972408194725,47.90027591805275,10.54169455178815,1.5664001758860957,-9.97137950772753,-754.143566090226,46.78756814991347,0.591288928605766,-0.07683017051151256,-0.1037442110480408,2.9388099158284624,5.450365938236021,0.3931101754976629,16.48456276745413,8.727931700986776,0.12946156599137126,0.31510746201486417,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,11,True,1,Mid,20.45275852623267,42.639009453838,40.07945640765402,50.861353328479154,85.41082101025607,50.55279687137424,90.984575198543,60.0391899554328,34.606663785647
1382.958,4064.254,281.453,50102010.0,,2036.103,326410,2024-12-31,4.161,4064.254,,1844.042,119.568,8.8,4813.0,DE0005545503,5010.0,3.281,DEU,590.688,2024.0,872.141,392.741,311.418,-129.677,6093.97,801.586,8.3,872.141,2561.735,20.477,50.0,1&1 AG,545.326,517.0,6093.97,212.764,20.218,501020.0,730.556,290.956,8130.073,7.265469818044684,3.491385746894061,14.53373731070942,21.458821225248226,5.235007457703185,21.458821225248226,36.96912151651939,9.106124814254866,2.5241624187605054,2.360495293995258,0.011361209818275396,0.01705687175247346,13.695891783505509,0.06444747840898461,0.06776518427232166,74.95590752998159,25.044092470018413,28.84641304878644,0.4639834613898441,5.079400886068305,0.4999037524017312,1238.7241694605302,2.938812313895288,124.19983347497475,19.722832283612195,3.6500270322213306,21.4249213836478,17.112490871853183,7.158902962265647,1.0337640742859378,20.46199999999999,0.503462628073934,93.42940998914642,52.72123354461239,1.3341176605726643,,4.1360380515500745,95.86396194844993,-0.7920275363029972,5.035550274110623,-1.1746987951807175,-129.17100292251763,-1.6133122778778985,0.17617649291895807,0.1694473200119703,0.9389856741287159,-1.3252129635961196,2.677655973876076,0.8203732220725649,3.830445310884662,2.8639220354942614,0.032467408723126624,-0.014924651183731628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,True,1,Mid,43.51084234895639,76.24737794124994,62.37560398299124,58.51804415158301,75.49979178696623,84.52724237193355,95.83654431383714,48.26852176279908,49.83058571103577
545.587,4997.427,114.048,20106015.0,,2716.064,210332,2024-09-30,609.855,4997.427,300.07,3509.758,1376.085,,3310.0,,2010.0,11.905,DEU,359.398,2024.0,473.446,717.038,424.686,-142.791,2260.313,755.414,1323.153,473.446,3776.884,59.251,20.0,CLAAS KG,542.325,3312.0,2260.313,252.767,105.235,201060.0,1623.759,142.634,4983.088,7.212355069788052,11.182831758256489,7.19166082866243,9.473795215017649,5.057942817373821,9.473795215017649,24.42342829620122,12.071065856864038,2.161501799220204,1.314033055397999,0.8148703101876572,1.190452524050675,37.84799706527358,0.3172295164430767,0.36378722769811084,45.35968459718151,54.50563987631766,6.065686655077552,-1.057945362301086,16.50127390886936,1.0028775329675093,419.77547249055016,9.159725213394013,39.84835696449393,15.116058723819279,2.649750609623865,2.7446589418531557,37.50164556596231,2.854148744944148,1.2506488496071828,282.052,5.643944373774746,33.58575512260823,118.16593303245982,2.2046008672250257,6.004489910507948,0.0,100.0,-18.6687387521983,-3.312746018924606,,85.19379386872052,4.145096636170464,0.23266940049949655,-0.024025591652146554,-0.011950839729509433,0.4422914798358045,1.5606331645909395,0.09934033432402803,8.52254666182897,4.332754157635812,0.24449476424472993,-0.07960969337146147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,1,Mid,48.71202297178638,61.07513067863134,72.06237060921796,74.29446022939801,75.69472011443142,98.14010870530083,97.44447649183702,48.37854208850914,50.483489364545335
