dltt,xint,seq,invt,dlc,emp,gsector,naics,ebitda,fincf,ivst,che,at,lt,revt,ivch,oancf,loc,oibdp,ggroup,gind,sale,sic,rect,gsubind,ebit,xsga,act,fyear,ib,isin,dp,xrd,datadate,capx,lct,dvt,cogs,gvkey,conm,ppent,ceq,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,cluster,cluster_name,proximity_score,profitability_score,liquidity_score,leverage_score,efficiency_score,cashflow_score,structure_score,relative_score,overall_score
2589.29,73.101,-525.588,33.858,155.399,3.021,50.0,515210.0,1429.175,-774.186,0.0,1.933,4153.164,4678.726,2631.54,,1267.322,DEU,1429.175,5020.0,502010.0,2631.54,4841.0,177.121,50201030.0,858.442,734.662,229.793,2020.0,534.523,DE000KD88880,570.733,20.234,2021-03-31,417.469,1763.21,88.2,512.873,104357,KABEL DEUTSCHLAND HOLDING AG,3231.179,-525.588,20.669590702413874,-101.7000007610524,32.62127879492617,54.30945377991594,20.312174620184383,54.30945377991594,80.51053755595584,41.597187966091994,0.13032650676890445,0.11112402946897987,0.001096295960208937,0.001096295960208937,-36.921657801136675,-4.926463313469866,-5.222130261725915,-12.655122696816209,112.65449666808244,11.743231966730962,1.919118372487624,66.08669920089841,0.6336229438567801,871.082423038729,14.857300941164514,24.567046292285127,122.78661924196479,,15.147764191623844,4.3112672651501365,15.864056788040463,0.7314611210495977,849.8529999999998,32.29489196440107,32.94103629543242,147.63047474377998,,0.7689033797700207,16.50069314136155,83.49930685863845,3.383981481917986,-1.4404597396735608,-5.059710873664358,35.373472404521245,-2.201622519426427,1.0855360562517546,-0.5214025199937786,-1.3064711510114162,1.6733753246814624,3.7063329177757907,1.418678577261145,30.514614881569806,3.6471205110281133,0.5146961303863442,0.3530826581344067,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,8,True,-1.2322042917810951,-1.6568013892404527,-4.401501712146823,2.2844831924813795,0.04096258793200357,-0.4085385909149561,1.1682185114807486,-1.361739085173779,2,Upper-Mid,8.944547145284638,21.12345184805479,38.49516802005027,24.31564227360726,52.64331361893612,86.46667734068532,77.20351879780777,49.069788118899986,18.13057049792596
1070.865,24.012,158.616,0.054,14.368,4.182,45.0,518210.0,433.317,-279.366,0.993,31.173,1643.586,1484.826,1560.301,,386.803,DEU,433.317,4510.0,451020.0,1560.301,7370.0,202.642,45102030.0,321.934,425.527,269.639,2024.0,169.666,DE000A3E00M1,111.383,84.1,2024-12-31,76.872,360.112,88.2,689.849,355804,IONOS GROUP SE,309.976,158.616,19.58729266372432,106.96651031421797,20.632813796825104,27.771372318546234,10.873927530649535,27.771372318546234,55.78744101298403,26.18454453545846,0.748764273337184,0.7486143199893367,0.08656473541564845,0.08932221086773003,-5.5046100417015,6.751305038583749,6.841888586271246,9.650605444436739,90.34063322515524,13.407213060136598,2.4325378418109604,66.02836724089886,0.9493272636783229,373.09923481587754,7.699790764007461,47.4038855323428,19.866423209367937,,12774.981481481482,14.225906037165077,4.926741699197783,0.6901591804853524,309.931,19.863539150458788,19.873682468853655,120.14978225350536,10.36204418217582,5.389985650204672,51.98448716890833,48.01551283109167,9.592171009472272,2.9644827143362695,-4.170485792850586,33.133588491260646,-5.908273051077739,-0.3682413121916899,-29.924378341048133,-0.552064089903569,2.1330384601756167,2.0671587018981805,163.58876286179517,23.534089484821603,5.675463328849005,0.14808946354942037,-0.6071737893549983,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,7,True,0.5611262929044539,-1.104517356555049,-2.5087317871017634,0.31945637688910283,-2.0460716956675498,1.6243706945641505,1.0989808037943505,-0.2247780823042965,2,Upper-Mid,20.67158185906527,30.29690925371562,91.21860856314439,39.838739393043824,78.88407953077117,82.71318318860337,71.62208261671402,53.51410495109836,30.14450046328929
329.143,14.724,100.485,0.237,115.49,12.398499999999999,45.0,511210.0,252.54,-254.393,0.0,55.265,1070.341,969.856,671.422,7.45,249.178,DEU,252.54,4510.0,451030.0,671.422,7372.0,36.257,45103010.0,206.371,284.278,134.323,2024.0,123.081,DE000A2YN900,46.169,79.95,2024-12-31,3.201,547.954,88.2,34.665,333885,TEAMVIEWER SE,41.457,100.485,19.280864696391152,122.48693834900732,30.73640720738969,37.612708549913464,18.331392179583034,37.612708549913464,94.83707712883998,48.034811511354015,0.24513554057457382,0.24470302251648865,0.10085700624504977,0.10085700624504977,-38.64478703515982,3.275543613474648,4.424869383490073,9.388129577396363,90.61187042260364,14.015960336864984,1.541807238457274,41.541247135258764,0.6272972818942749,54.15348630882769,18.518410238023005,19.710115247936468,6.174507239858093,,146.26582278481013,8.550732897272924,0.4767493469085017,0.0693322359158743,245.977,36.63523089800454,1.2846238431964299,120.74274001676591,10.651749017266258,11.907563350620027,71.66012625831769,28.33987374168231,7.13799029502673,-3.70587288006744,748.6310746064339,8.585693600791068,-4.075516931375489,2.123393221414488,1.4774174578854269,-0.08060112468838011,-5.029500080864851,15.042714857597067,4.9609845578420115,23.280244333347973,5.376025306526689,0.14944096730055284,0.2325696354778396,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,9,True,-0.033066598315123354,-1.3761488330151195,-4.161475754797603,1.1474394245157358,-1.1502746893716764,1.3633557021130875,1.7012544871509392,-1.634306666611005,2,Upper-Mid,14.117552418544776,21.934173908799526,36.90154193277939,60.13279774658006,69.44518453635017,87.27736674510213,70.0097685061193,50.72601434634272,26.463913204288346
41.794,5.073,1432.336,0.0,162.761,1.066,50.0,519130.0,301.86,-171.725,1.649,57.125,2072.493,640.157,588.798,1.759,257.017,DEU,301.86,5020.0,502030.0,588.798,7370.0,52.84,50203010.0,254.787,65.891,119.003,2024.0,162.104,DE000A12DM80,47.073,43.059,2024-12-31,0.884,261.963,95.6,142.932,317079,SCOUT24 SE,54.2,1432.336,12.293744779837617,11.31745623931815,43.27239562634384,51.267157836813304,27.53134351679184,51.267157836813304,75.7247816738508,17.28388948057498,0.45427407687345156,0.45427407687345156,0.21806514660467316,0.22435992869221988,-6.897972634889481,0.029178907742317444,0.14281216139229902,69.11174127005496,30.88825872994505,50.224127735068,0.4884052209633605,9.8699971483619,0.28410132145199046,552.343339587242,11.143035579106737,32.75588571972052,9.20519431112198,,,5.305928656936357,0.15013637953933268,0.018779342723004695,256.133,43.500996946321145,0.34394612029554467,100.8752408874864,1.4469321444130427,7.313034351339508,58.97448551547154,41.02551448452846,10.702118538907568,2.628435773942339,1.0426540284360408,27.904700553799433,20.108695652173925,2.7933164819655585,-0.07479711518675228,-0.08761913702092726,0.9961506824352137,11.444048391748495,0.30555334563971004,12.401344660753981,2.909322990334067,0.6553504498423376,0.5786809364117763,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-2.8239811298226956,-0.6073433842685619,-2.112579749189297,0.0064108387423639605,-0.558171179232283,1.0948266893882015,0.3489713720029384,-0.37320626785660954,2,Upper-Mid,14.16054180129002,28.285388881501138,85.944467098691,27.83661952328481,52.357687554872435,88.64165549130124,69.28822405412241,51.57130143975366,21.958609582375583
1198.796,205.643,1087.889,1098.103,25.363,11.667,35.0,325412.0,811.538,-275.677,116.314,308.001,5237.176,4078.689,3734.843,,543.299,DEU,811.538,3520.0,352020.0,3734.843,2834.0,782.005,35202010.0,597.696,1058.977,2245.783,2023.0,342.446,DE0007251803,213.842,114.627,2023-12-31,97.426,2607.51,88.2,1771.527,214700,STADA ARZNEIMITTEL AG,448.143,1087.889,11.412562801021007,31.478027629657074,16.00324297433654,21.728838400971608,9.168953018908695,21.728838400971608,52.5675644197092,26.13809947587884,0.8612749327902864,0.4401440454686654,0.11812073587445492,0.16272804322898088,-6.906909372532072,1.1019469817233194,1.1252609411438117,20.772435373567735,77.87954806177984,2.906473840587815,1.12891571312742,23.374410178309837,0.7131406315159161,320.1202537070369,4.775983529517075,76.42404915012492,11.998978270304802,,1.6132612332358622,20.812857921902943,2.6085701594417756,0.45559805837955125,445.873,11.938199276381898,17.932298789432707,90.89888505193274,4.814072023892145,3.069124994009119,25.755885599481378,74.24411440051863,-1.6423650330361195,-9.002933631538369,-11.499658651293332,-32.92691915993365,31.96169526879682,0.31611864846724946,0.05140329990559522,0.028396379328935132,0.5169261219865164,1.9875906892154203,0.6409153663650177,10.373892341979722,1.8116481283432762,0.23187704907908258,0.16562072164804803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,True,-0.199666180912905,-0.6042378377737478,-1.529862219964152,0.6424972705102306,-0.6582012243804684,0.17420195892789495,0.7647193678275004,-0.6496575825578833,2,Upper-Mid,59.29326518443306,70.40427583010181,96.02869090946776,90.10910956169243,75.56485724699117,80.21555704254162,90.27921813951221,49.17436338056329,58.1438007830115
424.0,29.026,1489.2,46.7,273.1,3.196,50.0,517312.0,524.471,-306.6,0.0,181.6,3342.0,1857.8,2502.3,,370.7,DEU,524.471,5010.0,501020.0,2502.3,4812.0,426.55,50102010.0,379.455,115.0,818.1,2024.0,297.6,DE000A0Z2ZZ5,145.016,23.308,2024-12-31,43.7,1149.5,88.2,1736.329,205934,FREENET AG,330.81,1489.2,11.354129263913823,19.983883964544724,15.16424889102026,20.95955720736922,11.893058386284618,20.95955720736922,30.610678176078014,19.833524984319464,0.7117007394519357,0.6710743801652892,0.1579817311874728,0.1579817311874728,-9.916217833632555,0.284716626376578,0.46810367982809564,44.56014362657092,55.58946738479952,13.072934610349341,0.9828951457754576,20.858767205266307,0.7487432675044884,782.9474342928661,5.866369710467707,62.21905846621108,13.220237381608918,,37.180492505353314,18.197187312986234,1.7463933181473046,0.30134605836597345,327.0,13.067977460736122,11.788508227677369,97.69274354007722,2.244157937147462,0.9314630539903288,29.63709677419355,70.36290322580645,-5.6376800663700095,-2.134762364930165,-13.387533875338754,-4.497663551401865,-21.402877697841728,0.23416359208551413,-0.032451088795577857,0.0942780207374616,0.4941639748726735,2.497609395369671,0.4815695622178052,11.092160383004188,1.64079002328772,0.09669018461985812,0.7530993208542217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.9570141463663708,-0.3661614673278577,-1.114180087716026,0.7076164402894156,-0.8043569100863188,0.06363519247749094,0.10831566644549863,-0.5862575250362047,2,Upper-Mid,43.08253298894413,68.75689815715572,92.80099498597374,55.11327382457293,76.87325347851898,80.61008341857044,73.76844193972187,48.388390337964346,48.02670823124394
6720.0,545.0,45440.0,0.0,3433.0,109.121,45.0,513210.0,9422.0,-3412.0,1478.0,11087.0,74122.0,28314.0,34176.0,,5220.0,DEU,9422.0,4510.0,451030.0,34176.0,7372.0,7828.0,45103010.0,8142.0,10276.0,21401.0,2024.0,3124.0,DE0007164600,1280.0,6603.0,2024-12-31,797.0,19079.0,2741.0,7884.0,103487,SAP SE,4337.0,45440.0,10.984592968349478,6.875000000000001,23.82373595505618,27.569054307116104,9.140917602996254,27.569054307116104,76.9311797752809,15.609662576687116,1.1217044918496777,1.1217044918496777,0.5811101210755281,0.658577493579328,3.132673160465179,0.14788732394366197,0.2234375,61.30433609454683,38.199185127222684,14.939449541284404,-0.09912969645510507,13.697687596125308,0.4610776827392677,313.19361076236476,4.365866121614716,83.60311329588015,12.690191947565543,14.718346253229974,,25.518739375623973,2.3320458801498125,0.62265625,4423.0,12.941830524344569,15.268199233716476,64.1120117907148,1.631205985915493,19.32057584269663,87.74007682458387,12.259923175416134,9.513891114173113,8.468573937221047,1.411683797698915,-20.263205336217773,1.5286624203821653,-0.4645395458999519,-0.018145112819190283,-0.2241374508052263,0.1373582371713566,2.746373490621218,0.12476026092883238,7.042443539030248,1.930148409512513,0.31471603455531205,-0.4500436442306867,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-2.0274418193561,-0.43943576129124845,-1.0529333721996745,-0.24788961378053495,-0.12484914249856083,0.8517844219458804,0.8273605222005433,-0.24504715928344797,2,Upper-Mid,23.050934746315537,49.550581105995555,68.75306162560753,34.664319337667564,62.32486955380854,79.99170406381127,70.29899674713063,51.85344051905895,31.94565248656336
889.677,58.408,604.422,343.381,89.935,3.61,35.0,325412.0,294.305,-209.169,0.587,121.896,2080.019,1471.724,1194.707,,201.378,DEU,294.305,3520.0,352020.0,1194.707,2834.0,113.432,35202010.0,222.074,287.427,593.498,2024.0,113.787,DE000A2GS5D8,72.231,23.098,2024-12-31,38.237,326.915,48.456,455.543,326577,DERMAPHARM HOLDING,315.028,604.422,10.676537089324666,18.82575419160785,18.58815592442331,24.634073459015475,9.524259923144335,24.634073459015475,61.8698978075796,14.863405972428867,1.8154504993652785,0.7650826667482374,0.37286756496336965,0.37466313873636875,12.816373311974557,1.4719467524345573,1.6207417996035882,29.058484561919872,70.75531521587062,3.802116148472812,2.914377941251423,47.0963005626391,0.5743731187070888,330.9437673130194,10.532363001622118,34.65509116461191,26.368641014072907,4.481557338614991,1.326640087832466,11.313742807157052,3.200533687339239,0.5293710456729106,163.141,13.65531465037034,18.987674919802565,90.68058394949429,3.4413356893031684,1.93336106677202,42.58482954994859,57.41517045005141,3.8589362758265855,-3.7328184320348345,3.2313411495567657,-8.286438686537634,-7.953588021472746,0.6342065967192626,-0.4287600068167555,0.35205452462828,0.4545569899003441,4.946341128536405,1.8607090101973809,9.68154617818395,5.595114278957773,0.18083648887113943,0.3398187220747304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11,True,-0.7969292235790981,-0.5081714900305072,-0.7847053289772702,-0.36589684712435677,-0.3943268876299173,0.544889355536457,0.7511090739317638,-0.19772118053102888,2,Upper-Mid,36.756402898781374,65.92745486929839,46.71479272468979,87.13139532360192,68.83408433179952,80.65112664512392,81.0462803484988,52.949568190240846,46.92630431550235
467.188,41.865,899.131,259.32,406.664,20.221,25.0,456130.0,462.931,-44.269,7.394,101.683,2368.947,1455.804,2264.116,,410.093,DEU,462.931,2550.0,255040.0,2264.116,3851.0,151.336,25504040.0,251.093,1035.488,545.615,2024.0,152.108,DE0005772206,211.838,84.1,2024-12-31,79.716,846.714,96.6,455.587,204820,FIELMANN GROUP AG,1001.027,899.131,10.599350681969668,16.917223407934994,11.090111990728388,20.446434723309228,6.71820701766164,20.446434723309228,79.87793028272404,18.37733355094967,0.6443911403378236,0.3381247977475275,0.12009131772948127,0.1288239003961196,-12.710246366845693,0.5195994799422998,0.9718850757008711,37.954880375120254,61.453633196521494,5.997683028782992,1.6680001987337205,36.887781786591255,0.9557478491498543,111.96854754957717,14.960855315324839,24.397000860379947,44.21270818279629,,1.7568525374055222,10.680652627517627,3.520844338364289,0.37630642283254184,330.377,14.591876034620135,19.438517604543357,163.32315118302782,2.634707289594064,3.714473993381964,63.50750782338864,36.49249217661136,14.983444044934702,19.249541666792513,23.389065169636304,66.18895752429626,-5.087570991439372,-1.0244609249876622,0.10100085972834867,0.11005620800271869,0.2189692028739411,3.8098689071109475,0.3591593367234257,17.31119353873261,4.742164496181577,0.7953593973621308,0.38282161701463385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,-0.60664577400829,-0.6395846745421713,-1.4486137680629063,0.8584059507650625,0.28036979623758346,0.4905093674433085,1.140180363000141,-0.386655552258665,2,Upper-Mid,42.046306155459675,54.106001793222624,84.95193468600422,66.51030677040744,77.55203840977303,81.6677237355529,76.0678206171169,50.47183333162291,45.92355925933509
96.723,12.323,1026.957,15.555,24.575,4.434,50.0,561599.0,496.411,-193.853,229.785,1748.388,4067.28,2884.745,2808.579,,506.419,DEU,496.411,5020.0,502020.0,2808.579,7990.0,353.584,50202010.0,418.33,309.873,2406.091,2024.0,318.867,DE0005470306,78.081,15.39,2024-12-31,142.276,2497.395,159.346,1989.932,234919,CTS EVENTIM AG & CO KGAA,217.881,1026.957,10.285252060344996,31.04969341462203,14.894720782288836,17.67480993057343,11.353321377109207,17.67480993057343,29.148085206077525,37.22857041150505,0.963440304797599,0.9572118147109289,0.7000846882451515,0.7920945625341606,-2.244841761570388,0.09418407976185954,0.11811400087832304,25.249232902578626,70.92565547491198,33.94709080581027,-3.277707383599477,2.982287917232155,0.6905300348144214,633.4188092016238,7.9431733336350065,45.951408167617856,7.757695261553973,,127.92876888460303,51.680041698629054,5.06576457347292,1.822159039971312,364.143,12.965382138084774,28.094522519889658,121.05729926134869,3.960516360470789,0.5479639347869509,49.97255909203523,50.02744090796477,19.08064778728644,27.287902785901608,25.43140028288544,-25.79035857304437,2.04555887078266,-1.5039697320762582,-0.034587777432309216,0.3551110241865341,0.3248755201716945,21.20389538993195,0.2043468968732351,12.451048366475876,8.660978644354024,0.055340053068831774,-0.03791956543392789,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,11,True,-0.36783591935564014,-0.4030745883905269,-0.9933976835088976,0.6359592321740385,-0.8348619864279307,-0.18340362493495677,0.22536167679403668,-0.5931057742538398,2,Upper-Mid,55.6542346938497,73.39619183397504,82.38256761645448,82.1470114984259,73.13628317866988,80.8929921361274,84.42166983340779,48.37137562753092,56.12607587097796
