,feature,importance,algorithm
7,financial_leverage,0.15165060608394154,dbscan
2,ebit_margin,0.11335991793211082,dbscan
8,roa,0.1012055712301974,dbscan
5,debt_to_equity,0.09579754546509668,dbscan
0,roa,0.08617032085981655,dbscan
1,roe,0.08243526674100118,dbscan
4,current_ratio,0.07878443238694402,dbscan
3,gross_margin,0.07246404249014998,dbscan
9,roe,0.06788989875899004,dbscan
10,ebit_margin,0.06739818992754121,dbscan
11,debt_to_equity,0.055663122663302415,dbscan
6,fcf_margin,0.02718108546090798,dbscan
