,feature,importance,algorithm
4,current_ratio,0.19994536477034713,hierarchical
7,financial_leverage,0.121065669929006,hierarchical
6,fcf_margin,0.10163796266160796,hierarchical
2,ebit_margin,0.0971890510626197,hierarchical
10,ebit_margin,0.0821272462849602,hierarchical
0,roa,0.07396877417025817,hierarchical
11,debt_to_equity,0.0681454090025606,hierarchical
5,debt_to_equity,0.0620918810131674,hierarchical
8,roa,0.06082281700011948,hierarchical
3,gross_margin,0.05342466093030203,hierarchical
1,roe,0.04371361982901591,hierarchical
9,roe,0.035867543346035584,hierarchical
