,feature,importance,algorithm
7,financial_leverage,0.0930806042486402,kmeans
4,current_ratio,0.09157431719016607,kmeans
11,revt,0.08456806908033859,kmeans
5,debt_to_equity,0.08210962050658403,kmeans
2,ebit_margin,0.07967183579999146,kmeans
12,debt_to_equity,0.0790166225528061,kmeans
3,gross_margin,0.07805426953471042,kmeans
6,fcf_margin,0.07740627671315464,kmeans
10,ebit_margin,0.07480659140745224,kmeans
9,roe,0.07272171177814103,kmeans
1,roe,0.0644725471126766,kmeans
0,roa,0.0643010639434461,kmeans
8,roa,0.05821647013189272,kmeans
