gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
17436,0,Mid,0,Lower-Mid,1,Growing,BASF SE,Consistent,✓
17828,0,Mid,0,Lower-Mid,4,Growing,MERCEDES BENZ GROUP AG,Declining,⚠
19349,3,Upper-Mid,0,Lower-Mid,1,Growing,SIEMENS AG,Consistent,✓
100004,3,Upper-Mid,1,Mid,0,Growing,ALTANA AG,Improving,⭐
100010,0,Mid,0,Lower-Mid,2,Growing,BAYWA AG,Declining,⚠
100022,0,Mid,0,Lower-Mid,4,Growing,BAYERISCHE MOTOREN WERKE AKT,Declining,⚠
100042,0,Mid,0,Lower-Mid,2,Growing,MAN SE,Declining,⚠
100054,1,Strong Performers,2,Upper-Mid,2,Growing,HOCHTIEF AG,Consistent,✓
100080,3,Upper-Mid,0,Lower-Mid,1,Growing,BAYER AG,Consistent,✓
100083,3,Upper-Mid,1,Mid,0,Growing,BEIERSDORF AG,Improving,⭐
100102,0,Mid,1,Mid,1,Growing,BILFINGER SE,Consistent,✓
100103,0,Mid,0,Lower-Mid,1,Growing,DEUTSCHE LUFTHANSA AG,Consistent,✓
100301,0,Mid,0,Lower-Mid,2,Growing,DEUTZ AG,Declining,⚠
100312,3,Upper-Mid,2,Upper-Mid,0,Growing,RHEINMETALL AG,Improving,⭐
100368,3,Upper-Mid,2,Upper-Mid,2,Growing,GEA GROUP AG,Consistent,✓
100373,3,Upper-Mid,1,Mid,2,Growing,HEIDELBERG MATERIALS AG,Consistent,✓
100431,2,Top Tier,1,Mid,1,Growing,HAPAG-LLOYD AG,Consistent,✓
100449,0,Mid,0,Lower-Mid,2,Growing,KUKA AG,Declining,⚠
100590,0,Mid,2,Upper-Mid,1,Growing,E.ON SE,Improving,⭐
100609,0,Mid,0,Lower-Mid,1,Growing,CONTINENTAL AG,Consistent,✓
100676,1,Strong Performers,2,Upper-Mid,1,Growing,TUI AG,Consistent,✓
100736,0,Mid,0,Lower-Mid,1,Growing,K&S AG,Consistent,✓
100737,0,Mid,0,Lower-Mid,0,Growing,VOLKSWAGEN AG,Consistent,✓
100746,1,Strong Performers,2,Upper-Mid,1,Growing,CECONOMY AG,Consistent,✓
100764,0,Mid,0,Lower-Mid,2,Growing,SUEDZUCKER AG,Declining,⚠
100953,3,Upper-Mid,4,High Performers,1,Growing,RWE AKTIENGESELLSCHAFT,Improving,⭐
101059,0,Mid,0,Lower-Mid,1,Growing,AXEL SPRINGER SE,Consistent,✓
101120,0,Mid,1,Mid,1,Growing,AUDI AG,Consistent,✓
101148,0,Mid,2,Upper-Mid,1,Growing,LECHWERKE AG,Improving,⭐
101161,0,Mid,0,Lower-Mid,1,Growing,GELSENWASSER AG,Consistent,✓
101286,1,Strong Performers,2,Upper-Mid,1,Growing,LEONI AG,Consistent,✓
101390,3,Upper-Mid,1,Mid,0,Growing,KSB SE & CO KGAA,Improving,⭐
101768,0,Mid,1,Mid,0,Growing,MCKESSON EUROPE AG,Consistent,✓
101937,3,Upper-Mid,1,Mid,1,Growing,DMG MORI AG,Consistent,✓
101942,3,Upper-Mid,1,Mid,0,Growing,HENKEL AG & CO KGAA,Improving,⭐
102175,3,Upper-Mid,1,Mid,2,Growing,PUMA SE,Consistent,✓
102187,-1,,0,Lower-Mid,2,Growing,PORSCHE AUTOMOBIL HOLDING SE,Unknown,?
102218,3,Upper-Mid,1,Mid,2,Growing,DRAEGERWERK AG,Consistent,✓
102250,3,Upper-Mid,1,Mid,0,Growing,HUGO BOSS AG,Improving,⭐
102259,0,Mid,0,Lower-Mid,1,Growing,SALZGITTER AG,Consistent,✓
102365,0,Mid,0,Lower-Mid,1,Growing,KOENIG & BAUER AG,Consistent,✓
102529,3,Upper-Mid,1,Mid,0,Growing,PAUL HARTMANN AG,Improving,⭐
102926,3,Upper-Mid,1,Mid,2,Growing,KWS SAAT SE & CO KGAA,Consistent,✓
103176,0,Mid,0,Lower-Mid,1,Growing,THYSSENKRUPP AG,Consistent,✓
103200,3,Upper-Mid,1,Mid,0,Growing,FUCHS SE,Improving,⭐
103255,0,Mid,0,Lower-Mid,2,Growing,BERTELSMANN SE & CO KGAA,Declining,⚠
103269,3,Upper-Mid,1,Mid,2,Growing,KRONES AG,Consistent,✓
103487,3,Upper-Mid,2,Upper-Mid,2,Growing,SAP SE,Consistent,✓
103533,3,Upper-Mid,1,Mid,2,Growing,SIXT SE,Consistent,✓
104357,3,Upper-Mid,2,Upper-Mid,2,Growing,KABEL DEUTSCHLAND HOLDING AG,Consistent,✓
104364,5,Challenged,3,Low Performers,0,Growing,TELE COLUMBUS AG,Improving,⭐
132740,3,Upper-Mid,1,Mid,2,Growing,INFINEON TECHNOLOGIES AG,Consistent,✓
200759,2,Top Tier,1,Mid,1,Growing,BIOTEST AG,Consistent,✓
202305,0,Mid,0,Lower-Mid,1,Growing,FRESENIUS SE & CO KGAA,Consistent,✓
202807,0,Mid,0,Lower-Mid,2,Growing,JUNGHEINRICH AG,Declining,⚠
203162,0,Mid,1,Mid,2,Growing,HORNBACH HOLDING AG & CO,Consistent,✓
203586,3,Upper-Mid,4,High Performers,2,Growing,VTG AG,Improving,⭐
204820,3,Upper-Mid,2,Upper-Mid,0,Growing,FIELMANN GROUP AG,Improving,⭐
205865,3,Upper-Mid,2,Upper-Mid,0,Growing,PROSIEBENSAT.1 MEDIA SE,Improving,⭐
205934,3,Upper-Mid,2,Upper-Mid,2,Growing,FREENET AG,Consistent,✓
206703,3,Upper-Mid,1,Mid,1,Growing,SGL CARBON SE,Consistent,✓
207096,0,Mid,0,Lower-Mid,1,Growing,RHOEN-KLINIKUM AG,Consistent,✓
208821,3,Upper-Mid,0,Lower-Mid,2,Growing,SARTORIUS AG,Declining,⚠
209440,0,Mid,0,Lower-Mid,1,Growing,VOSSLOH AG,Consistent,✓
210326,1,Strong Performers,3,Low Performers,2,Growing,BLG-BREMER LAGERHAUS-GESELLS,Improving,⭐
210332,3,Upper-Mid,1,Mid,2,Growing,CLAAS KG,Consistent,✓
210334,0,Mid,0,Lower-Mid,2,Growing,COMPUGROUP MEDICAL SE & CO,Declining,⚠
210340,3,Upper-Mid,1,Mid,1,Growing,DILLINGER HUTTENWERKE,Consistent,✓
210359,3,Upper-Mid,2,Upper-Mid,1,Growing,EWE-ENERGIEVERSORGUNG WESER,Improving,⭐
212782,0,Mid,0,Lower-Mid,0,Growing,FRESENIUS MEDICAL CARE AG,Consistent,✓
213034,0,Mid,0,Lower-Mid,0,Growing,GRAMMER AG,Consistent,✓
213037,3,Upper-Mid,1,Mid,2,Growing,INDUS HOLDING AG,Consistent,✓
214700,3,Upper-Mid,2,Upper-Mid,2,Growing,STADA ARZNEIMITTEL AG,Consistent,✓
214759,0,Mid,0,Lower-Mid,1,Growing,HEIDELBERGER DRUCKMASCHINEN,Consistent,✓
216524,3,Upper-Mid,2,Upper-Mid,2,Growing,ENBW ENERGIE BADEN,Consistent,✓
218000,3,Upper-Mid,1,Mid,2,Growing,JENOPTIK AG,Consistent,✓
220295,0,Mid,0,Lower-Mid,0,Growing,ELRINGKLINGER AG,Consistent,✓
220301,3,Upper-Mid,1,Mid,2,Growing,MERCK KGAA,Consistent,✓
220303,0,Mid,1,Mid,2,Growing,AURUBIS AG,Consistent,✓
220307,0,Mid,0,Lower-Mid,1,Growing,PFALZWERKE AG,Consistent,✓
221244,3,Upper-Mid,1,Mid,2,Growing,ADIDAS AG,Consistent,✓
221614,0,Mid,0,Lower-Mid,1,Growing,DEUTSCHE BAHN AG,Consistent,✓
221616,3,Upper-Mid,2,Upper-Mid,4,Growing,DEUTSCHE TELEKOM,Declining,⚠
222247,3,Upper-Mid,1,Mid,0,Growing,SOFTWARE GMBH,Improving,⭐
222340,0,Mid,0,Lower-Mid,0,Growing,DUERR AG,Consistent,✓
223089,0,Mid,1,Mid,2,Growing,HORNBACH-BAUMARKT AG,Consistent,✓
225236,0,Mid,0,Lower-Mid,0,Growing,UNITED INTERNET AG,Consistent,✓
231016,3,Upper-Mid,3,Low Performers,2,Growing,MORPHOSYS AG,Improving,⭐
232623,0,Mid,0,Lower-Mid,2,Growing,EVOTEC SE,Declining,⚠
233025,0,Mid,0,Lower-Mid,0,Growing,CANCOM SE,Consistent,✓
234919,3,Upper-Mid,2,Upper-Mid,2,Growing,CTS EVENTIM AG & CO KGAA,Consistent,✓
238136,0,Mid,1,Mid,2,Growing,BECHTLE AG,Consistent,✓
238442,3,Upper-Mid,1,Mid,2,Growing,CARL ZEISS MEDITEC AG,Consistent,✓
241456,0,Mid,0,Lower-Mid,2,Growing,DEUTSCHE POST AG,Declining,⚠
241840,1,Strong Performers,0,Lower-Mid,0,Growing,SCHULER AG,Consistent,✓
242158,3,Upper-Mid,1,Mid,2,Growing,WIRECARD AG,Consistent,✓
244394,0,Mid,0,Lower-Mid,2,Growing,MVV ENERGIE AG,Declining,⚠
244398,0,Mid,0,Lower-Mid,0,Growing,TAKKT AG,Consistent,✓
245628,0,Mid,0,Lower-Mid,0,Growing,NORDEX SE,Consistent,✓
245839,0,Mid,4,High Performers,1,Growing,FRAPORT AG,Improving,⭐
248166,0,Mid,0,Lower-Mid,2,Growing,MAINOVA AG,Declining,⚠
269104,0,Mid,0,Lower-Mid,2,Growing,BAUER AG,Declining,⚠
269835,0,Mid,1,Mid,2,Growing,BRENNTAG SE,Consistent,✓
270249,0,Mid,2,Upper-Mid,1,Growing,DIEBOLD NIXDORF AG,Improving,⭐
271763,0,Mid,0,Lower-Mid,1,Growing,LANXESS AG,Consistent,✓
273099,0,Mid,0,Lower-Mid,1,Growing,MTU AERO ENGINES AG,Consistent,✓
276585,0,Mid,0,Lower-Mid,1,Growing,WACKER CHEMIE AG,Consistent,✓
278310,0,Mid,1,Mid,1,Growing,KLOCKNER & CO SE,Consistent,✓
281772,3,Upper-Mid,1,Mid,2,Growing,SYMRISE AG,Consistent,✓
284636,0,Mid,1,Mid,2,Growing,WACKER NEUSON SE,Consistent,✓
284944,0,Mid,0,Lower-Mid,2,Growing,GERRESHEIMER GROUP,Declining,⚠
285715,3,Upper-Mid,1,Mid,2,Growing,SAF HOLLAND SE,Consistent,✓
287162,0,Mid,0,Lower-Mid,2,Growing,HAMBURGER HAFEN UND LOGISTIK,Declining,⚠
289333,0,Mid,0,Lower-Mid,2,Growing,SMA SOLAR TECHNOLOGY AG,Declining,⚠
295079,3,Upper-Mid,2,Upper-Mid,2,Growing,STROEER SE & CO KGAA,Consistent,✓
295421,0,Mid,0,Lower-Mid,0,Growing,EVONIK INDUSTRIES AG,Consistent,✓
297185,0,Mid,0,Lower-Mid,2,Growing,KION GROUP AG,Declining,⚠
297222,3,Upper-Mid,1,Mid,0,Growing,NORMA GROUP SE,Improving,⭐
313972,0,Mid,2,Upper-Mid,0,Growing,TELEFONICA DEUTSCHLAND,Improving,⭐
