che,rect,invt,sic,emp,conm,lct,ib,datadate,dp,naics,dlc,ebit,ebitda,act,fyear,dltt,xsga,oancf,revt,at,loc,isin,sale,ppent,gvkey,oibdp,ceq,lt,seq,cogs,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
153.0,551.0,567.0,2990.0,6.781,FUCHS SE,580.0,302.0,2024-12-31,97.0,324191.0,60.0,436.0,533.0,1285.0,2024.0,52.0,697.0,390.0,3525.0,2610.0,DEU,DE000A3E5D64,3525.0,813.0,103200,533.0,1897.0,710.0,1897.0,2222.0,16.704980842911876,15.919873484449129,12.368794326241135,15.120567375886527,8.567375886524822,2.2155172413793105,1.2379310344827585,0.2637931034482759,0.027411702688455455,0.05904059040590406,72.68199233716474,27.203065134099617,1.3505747126436782,519.8348326205574,6.397459165154265,57.05390070921986,-0.45184975995481436,7.71770532397853,8.115433673469386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2503.0,2042.0,1612.0,2844.0,22.791,BEIERSDORF AG,3696.0,912.0,2024-12-31,315.0,325620.0,114.0,1356.0,1671.0,6441.0,2024.0,0.0,4076.0,1231.0,9850.0,13011.0,DEU,DE0005200000,9850.0,2719.0,100083,1671.0,8475.0,4516.0,8475.0,3775.0,10.42195065713627,10.761061946902654,13.766497461928934,16.96446700507614,9.258883248730964,1.7426948051948052,1.306547619047619,0.6772186147186147,0.0,0.013451327433628318,65.13719160710168,34.70909230650987,0.7570517254630698,432.18814444298187,4.823702252693438,75.66802030456853,4.265904519953434,3.024784226779631,3.7936059750432793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
407.009,603.264,420.328,100.0,4.791,KWS SAAT SE & CO KGAA,521.392,139.98,2025-06-30,102.887,111.0,56.737,253.274,356.161,1550.007,2025.0,426.798,464.725,226.537,1676.628,2676.221,DEU,DE0007074007,1676.628,623.634,102926,356.161,1601.531,1074.69,1601.531,516.311,9.463867146995709,8.740386542627023,15.106153541513084,21.242696650658345,8.34890029273041,2.972824669346672,2.166659634209961,0.7806199558105993,0.26649374879412263,0.3019204748456321,59.843002502409185,40.15699749759082,0.6264908615544083,349.95366311834687,2.779260821133036,131.32988355198648,-0.08878994206604762,-9.467631769365848,3.7462104807275853,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,True,4,Lower-Mid
85.573,232.805,267.009,3827.0,4.071,JENOPTIK AG,260.817,91.0,2024-12-31,73.053,333310.0,17.217,147.082,220.135,588.719,2024.0,463.899,165.76,167.12,1115.787,1740.009,DEU,DE000A2NB601,1115.787,419.917,218000,220.135,960.337,772.813,960.337,669.586,8.452944783618936,9.475840251911569,13.181906582528743,19.729123927774744,8.15567845834375,2.257210994682095,1.233470210914166,0.3280959446661835,0.4830585513210467,0.500986632817438,55.19149613593952,44.414310500692814,0.6412535797228636,274.0817980840089,4.792796546465927,76.15595539291996,4.665737377679058,4.3851745023132604,-11.806759098786824,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
163.577,693.228,175.534,7510.0,7.864,SIXT SE,1595.496,243.913,2024-12-31,222.954,5321.0,327.736,514.314,737.268,5240.0,2024.0,2757.739,983.991,1079.847,4002.172,6550.656,DEU,DE0007231326,4002.172,1124.128,103533,737.268,2128.658,4421.998,2128.658,886.577,7.851335805146843,11.458533968350013,12.85087197651675,18.421697018518945,6.094515677986853,3.2842451500975245,3.1742266981553073,0.10252423070944709,1.2955293898785056,1.4494930608862486,32.495340924634114,67.50465907536588,0.6109574369345605,508.92319430315365,5.773240550006636,63.222725060292255,10.54169455178815,1.5664001758860957,-9.97137950772753,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
8.3,1382.958,119.568,4813.0,3.281,1&1 AG,730.556,212.764,2024-12-31,281.453,517.0,20.218,590.688,872.141,1844.042,2024.0,392.741,545.326,311.418,4064.254,8130.073,DEU,DE0005545503,4064.254,801.586,326410,872.141,6093.97,2036.103,6093.97,2561.735,7.265469818044684,3.491385746894061,14.53373731070942,21.458821225248226,5.235007457703185,2.5241624187605054,2.360495293995258,0.011361209818275396,0.06444747840898461,0.06776518427232166,74.95590752998159,25.044092470018413,0.4999037524017312,1238.7241694605302,2.938812313895288,124.19983347497475,-0.7920275363029972,5.035550274110623,-1.1746987951807175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,True,4,Lower-Mid
1323.153,545.587,1376.085,3310.0,11.905,CLAAS KG,1623.759,252.767,2024-09-30,114.048,3312.0,105.235,359.398,473.446,3509.758,2024.0,717.038,542.325,424.686,4997.427,4983.088,DEU,,4997.427,755.414,210332,473.446,2260.313,2716.064,2260.313,3776.884,7.212355069788052,11.182831758256489,7.19166082866243,9.473795215017649,5.057942817373821,2.161501799220204,1.314033055397999,0.8148703101876572,0.3172295164430767,0.36378722769811084,45.35968459718151,54.50563987631766,1.0028775329675093,419.77547249055016,9.159725213394013,39.84835696449393,-18.6687387521983,-3.312746018924606,-1.741498844503142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
684.943,559.556,626.463,2800.0,8.382,ALTANA AG,646.347,161.329,2024-12-31,179.544,325.0,28.917,288.839,468.383,2117.433,2024.0,420.534,575.095,438.997,3168.838,4460.234,DEU,DE0007600801,3168.838,1219.89,100004,468.383,3005.005,1430.794,3005.005,1909.906,6.475870996902852,5.368676591220314,9.114981579998723,14.780907070667542,5.091109106871351,3.276000352751695,2.3067640137573164,1.0597140545248915,0.13994452588265244,0.14956747160154477,67.37325889179805,32.07889989628347,0.7104645182293127,378.0527320448581,5.66312933826105,64.45199786167674,15.58711150586447,7.722761277389667,14.570803717878622,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
427.034,345.856,629.266,3444.0,,DILLINGER HUTTENWERKE,592.104,175.0,2024-12-31,56.322,332322.0,30.518,200.78,257.102,1436.768,2024.0,76.047,306.257,80.317,2287.461,3283.682,DEU,,2287.461,546.86,210340,257.102,1918.972,1364.71,1918.972,1597.617,6.1144775894864365,9.119466047446236,8.777417407335033,11.239623320353877,7.650403657155248,2.426546687744045,1.363784064961561,0.721214516368746,0.0396290305434368,0.0555323371054919,58.43964184107963,41.56035815892039,0.6966146539159395,,6.613911570133234,55.186707008338075,-12.515756993504457,3.2837927820787094,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
364.209,717.167,3545.794,3330.0,6.979,AURUBIS AG,2207.551,416.096,2024-09-30,201.565,331410.0,147.816,477.547,679.112,4740.018,2024.0,235.406,633.348,537.473,17183.261,7846.232,DEU,DE0006766504,17183.261,1926.662,220303,679.112,4554.9,3290.333,4554.9,15509.246,6.086322708785568,9.135129201519245,2.779140699777534,3.9521718258251446,2.4215194077538604,2.1471839155697876,0.5409723263471603,0.16498327784952646,0.05168192495993326,0.0841340095282004,58.0520688146871,41.93519895919468,2.1900016466502645,2462.137985384725,23.95991589127776,15.233776347807325,0.4361597415107221,8.080314274926636,-3.4716459197787097,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11,True,4,Lower-Mid
