gvkey,combined_cluster,combined_name,static_cluster,static_name,dynamic_cluster,dynamic_name,company_name,pattern,flag
17436,0,Upper-Mid,4,Mid,1,Growing,BASF SE,Improving,⭐
17828,0,Upper-Mid,0,Upper-Mid,0,Growing,MERCEDES BENZ GROUP AG,Consistent,✓
19349,0,Upper-Mid,0,Upper-Mid,0,Growing,SIEMENS AG,Consistent,✓
100004,0,Upper-Mid,4,Mid,1,Growing,ALTANA AG,Improving,⭐
100010,3,Mid,2,Lower-Mid,0,Growing,BAYWA AG,Improving,⭐
100022,0,Upper-Mid,0,Upper-Mid,0,Growing,BAYERISCHE MOTOREN WERKE AKT,Consistent,✓
100042,3,Mid,2,Lower-Mid,0,Growing,MAN SE,Improving,⭐
100054,0,Upper-Mid,1,High Performers,0,Growing,HOCHTIEF AG,Consistent,✓
100080,0,Upper-Mid,2,Lower-Mid,0,Growing,BAYER AG,Improving,⭐
100083,0,Upper-Mid,0,Upper-Mid,1,Growing,BEIERSDORF AG,Consistent,✓
100102,0,Upper-Mid,0,Upper-Mid,1,Growing,BILFINGER SE,Consistent,✓
100103,0,Upper-Mid,2,Lower-Mid,0,Growing,DEUTSCHE LUFTHANSA AG,Improving,⭐
100301,0,Upper-Mid,2,Lower-Mid,0,Growing,DEUTZ AG,Improving,⭐
100312,0,Upper-Mid,0,Upper-Mid,0,Growing,RHEINMETALL AG,Consistent,✓
100368,0,Upper-Mid,0,Upper-Mid,0,Growing,GEA GROUP AG,Consistent,✓
100373,0,Upper-Mid,0,Upper-Mid,0,Growing,HEIDELBERG MATERIALS AG,Consistent,✓
100431,1,Top Tier,0,Upper-Mid,0,Growing,HAPAG-LLOYD AG,Consistent,✓
100449,0,Upper-Mid,2,Lower-Mid,0,Growing,KUKA AG,Improving,⭐
100590,0,Upper-Mid,0,Upper-Mid,0,Growing,E.ON SE,Consistent,✓
100609,0,Upper-Mid,0,Upper-Mid,1,Growing,CONTINENTAL AG,Consistent,✓
100676,0,Upper-Mid,1,High Performers,0,Growing,TUI AG,Consistent,✓
100736,3,Mid,4,Mid,0,Growing,K&S AG,Improving,⭐
100737,0,Upper-Mid,0,Upper-Mid,0,Growing,VOLKSWAGEN AG,Consistent,✓
100746,3,Mid,1,High Performers,0,Growing,CECONOMY AG,Improving,⭐
100764,0,Upper-Mid,2,Lower-Mid,0,Growing,SUEDZUCKER AG,Improving,⭐
100953,0,Upper-Mid,0,Upper-Mid,0,Growing,RWE AKTIENGESELLSCHAFT,Consistent,✓
101059,0,Upper-Mid,0,Upper-Mid,0,Growing,AXEL SPRINGER SE,Consistent,✓
101120,0,Upper-Mid,0,Upper-Mid,0,Growing,AUDI AG,Consistent,✓
101148,3,Mid,2,Lower-Mid,0,Growing,LECHWERKE AG,Improving,⭐
101161,0,Upper-Mid,2,Lower-Mid,0,Growing,GELSENWASSER AG,Improving,⭐
101286,3,Mid,1,High Performers,0,Growing,LEONI AG,Improving,⭐
101390,0,Upper-Mid,0,Upper-Mid,0,Growing,KSB SE & CO KGAA,Consistent,✓
101768,3,Mid,2,Lower-Mid,0,Growing,MCKESSON EUROPE AG,Improving,⭐
101937,0,Upper-Mid,0,Upper-Mid,0,Growing,DMG MORI AG,Consistent,✓
101942,0,Upper-Mid,0,Upper-Mid,1,Growing,HENKEL AG & CO KGAA,Consistent,✓
102175,0,Upper-Mid,0,Upper-Mid,1,Growing,PUMA SE,Consistent,✓
102187,0,Upper-Mid,2,Lower-Mid,0,Growing,PORSCHE AUTOMOBIL HOLDING SE,Improving,⭐
102218,0,Upper-Mid,4,Mid,0,Growing,DRAEGERWERK AG,Improving,⭐
102250,0,Upper-Mid,0,Upper-Mid,0,Growing,HUGO BOSS AG,Consistent,✓
102259,0,Upper-Mid,2,Lower-Mid,0,Growing,SALZGITTER AG,Improving,⭐
102365,3,Mid,2,Lower-Mid,0,Growing,KOENIG & BAUER AG,Improving,⭐
102529,0,Upper-Mid,4,Mid,0,Growing,PAUL HARTMANN AG,Improving,⭐
102926,0,Upper-Mid,4,Mid,0,Growing,KWS SAAT SE & CO KGAA,Improving,⭐
103176,3,Mid,2,Lower-Mid,0,Growing,THYSSENKRUPP AG,Improving,⭐
103200,0,Upper-Mid,4,Mid,1,Growing,FUCHS SE,Improving,⭐
