fyear,fincf,gsector,che,dp,cogs,ebitda,oancf,ceq,rect,gind,naics,sale,loc,dltt,lct,dvt,gsubind,ib,ivch,ggroup,ebit,datadate,at,conm,lt,emp,xrd,gvkey,capx,dlc,isin,act,revt,xsga,ppent,xint,sic,seq,oibdp,invt,ivst,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebitda_outlier,ebit_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,cluster,cluster_name
2020.0,-774.186,50.0,1.933,570.733,512.873,1429.175,1267.322,-525.588,177.121,502010.0,515210.0,2631.54,DEU,2589.29,1763.21,,50201030.0,534.523,,5020.0,858.442,2021-03-31,4153.164,KABEL DEUTSCHLAND HOLDING AG,4678.726,3.021,20.234,104357,417.469,155.399,DE000KD88880,229.793,2631.54,734.662,3231.179,73.101,4841.0,-525.588,1429.175,33.858,0.0,20.669590702413874,-101.7000007610524,32.62127879492617,54.30945377991594,20.312174620184383,54.30945377991594,80.51053755595584,41.597187966091994,0.13032650676890445,0.11112402946897987,0.001096295960208937,0.001096295960208937,-36.921657801136675,-4.926463313469866,-5.222130261725915,-12.655122696816209,112.65449666808244,11.743231966730962,1.919118372487624,66.08669920089841,0.6336229438567801,871.082423038729,14.857300941164514,24.567046292285127,122.78661924196479,,15.147764191623844,4.3112672651501365,15.864056788040463,0.7314611210495977,849.8529999999998,32.29489196440107,32.94103629543242,147.63047474377998,,0.7689033797700207,0.0,100.0,3.383981481917986,-1.4404597396735608,-5.059710873664358,35.373472404521245,-2.201622519426427,1.0855360562517546,-0.5214025199937786,-1.3064711510114162,1.6733753246814624,3.7063329177757907,1.418678577261145,30.514614881569806,3.6471205110281133,0.5146961303863442,0.3530826581344067,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,8,True,0,High Performers
2024.0,-279.366,45.0,31.173,111.383,689.849,433.317,386.803,158.616,202.642,451020.0,518210.0,1560.301,DEU,1070.865,360.112,,45102030.0,169.666,,4510.0,321.934,2024-12-31,1643.586,IONOS GROUP SE,1484.826,4.182,,355804,76.872,14.368,DE000A3E00M1,269.639,1560.301,425.527,309.976,24.012,7370.0,158.616,433.317,0.054,0.993,19.58729266372432,106.96651031421797,20.632813796825104,27.771372318546234,10.873927530649535,27.771372318546234,55.78744101298403,26.18454453545846,0.748764273337184,0.7486143199893367,0.08656473541564845,0.08932221086773003,-5.5046100417015,6.751305038583749,6.841888586271246,9.650605444436739,90.34063322515524,13.407213060136598,2.4325378418109604,66.02836724089886,0.9493272636783229,373.09923481587754,7.699790764007461,47.4038855323428,19.866423209367937,,12774.981481481482,14.225906037165077,4.926741699197783,0.6901591804853524,309.931,19.863539150458788,19.873682468853655,120.14978225350536,10.36204418217582,,0.0,100.0,9.592171009472272,2.9644827143362695,-4.170485792850586,33.133588491260646,-5.908273051077739,-0.3682413121916899,-29.924378341048133,-0.552064089903569,2.1330384601756167,2.0671587018981805,163.58876286179517,23.534089484821603,5.675463328849005,0.14808946354942037,-0.6071737893549983,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,7,True,0,High Performers
2024.0,-254.393,45.0,55.265,46.169,34.665,252.54,249.178,100.485,36.257,451030.0,511210.0,671.422,DEU,329.143,547.954,,45103010.0,123.081,7.45,4510.0,206.371,2024-12-31,1070.341,TEAMVIEWER SE,969.856,,79.95,333885,3.201,115.49,DE000A2YN900,134.323,671.422,284.278,41.457,14.724,7372.0,100.485,252.54,0.237,0.0,19.280864696391152,122.48693834900732,30.73640720738969,37.612708549913464,18.331392179583034,37.612708549913464,94.83707712883998,48.034811511354015,0.24513554057457382,0.24470302251648865,0.10085700624504977,0.10085700624504977,-38.64478703515982,3.275543613474648,4.424869383490073,9.388129577396363,90.61187042260364,14.015960336864984,1.541807238457274,41.541247135258764,0.6272972818942749,,18.518410238023005,19.710115247936468,6.174507239858093,,146.26582278481013,8.550732897272924,0.4767493469085017,0.0693322359158743,245.977,36.63523089800454,1.2846238431964299,120.74274001676591,10.651749017266258,11.907563350620027,0.0,100.0,7.13799029502673,-3.70587288006744,,8.585693600791068,-4.075516931375489,2.123393221414488,1.4774174578854269,-0.08060112468838011,-5.029500080864851,15.042714857597067,4.9609845578420115,23.280244333347973,5.376025306526689,0.14944096730055284,0.2325696354778396,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,9,True,0,High Performers
2024.0,-171.725,50.0,57.125,47.073,142.932,301.86,257.017,1432.336,52.84,502030.0,519130.0,588.798,DEU,41.794,261.963,95.6,50203010.0,162.104,1.759,5020.0,254.787,2024-12-31,2072.493,SCOUT24 SE,640.157,1.066,43.059,317079,0.884,162.761,DE000A12DM80,119.003,588.798,65.891,54.2,5.073,7370.0,1432.336,301.86,0.0,1.649,12.293744779837617,11.31745623931815,43.27239562634384,51.267157836813304,27.53134351679184,51.267157836813304,75.7247816738508,17.28388948057498,0.45427407687345156,0.45427407687345156,0.21806514660467316,0.22435992869221988,-6.897972634889481,0.029178907742317444,0.14281216139229902,69.11174127005496,30.88825872994505,50.224127735068,0.4884052209633605,9.8699971483619,0.28410132145199046,552.343339587242,11.143035579106737,32.75588571972052,9.20519431112198,,,5.305928656936357,0.15013637953933268,0.018779342723004695,256.133,43.500996946321145,0.34394612029554467,100.8752408874864,1.4469321444130427,7.313034351339508,58.97448551547154,41.02551448452846,10.702118538907568,2.628435773942339,1.0426540284360408,27.904700553799433,20.108695652173925,2.7933164819655585,-0.07479711518675228,-0.08761913702092726,0.9961506824352137,11.444048391748495,0.30555334563971004,12.401344660753981,2.909322990334067,0.6553504498423376,0.5786809364117763,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
2023.0,-275.677,35.0,308.001,213.842,1771.527,811.538,543.299,1087.889,782.005,352020.0,325412.0,3734.843,DEU,1198.796,2607.51,,35202010.0,342.446,,3520.0,597.696,2023-12-31,5237.176,STADA ARZNEIMITTEL AG,4078.689,11.667,114.627,214700,97.426,25.363,DE0007251803,2245.783,3734.843,1058.977,448.143,205.643,2834.0,1087.889,811.538,1098.103,116.314,11.412562801021007,31.478027629657074,16.00324297433654,21.728838400971608,9.168953018908695,21.728838400971608,52.5675644197092,26.13809947587884,0.8612749327902864,0.4401440454686654,0.11812073587445492,0.16272804322898088,-6.906909372532072,1.1019469817233194,1.1252609411438117,20.772435373567735,77.87954806177984,2.906473840587815,1.12891571312742,23.374410178309837,0.7131406315159161,320.1202537070369,4.775983529517075,76.42404915012492,11.998978270304802,,1.6132612332358622,20.812857921902943,2.6085701594417756,0.45559805837955125,445.873,11.938199276381898,17.932298789432707,90.89888505193274,4.814072023892145,3.069124994009119,0.0,100.0,-1.6423650330361195,-9.002933631538369,-11.499658651293332,-32.92691915993365,31.96169526879682,0.31611864846724946,0.05140329990559522,0.028396379328935132,0.5169261219865164,1.9875906892154203,0.6409153663650177,10.373892341979722,1.8116481283432762,0.23187704907908258,0.16562072164804803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,True,0,High Performers
2024.0,-3412.0,45.0,11087.0,1280.0,7884.0,9422.0,5220.0,45440.0,7828.0,451030.0,513210.0,34176.0,DEU,6720.0,19079.0,2741.0,45103010.0,3124.0,,4510.0,8142.0,2024-12-31,74122.0,SAP SE,28314.0,109.121,6603.0,103487,797.0,3433.0,DE0007164600,21401.0,34176.0,10276.0,4337.0,545.0,7372.0,45440.0,9422.0,0.0,1478.0,10.984592968349478,6.875000000000001,23.82373595505618,27.569054307116104,9.140917602996254,27.569054307116104,76.9311797752809,15.609662576687116,1.1217044918496777,1.1217044918496777,0.5811101210755281,0.658577493579328,3.132673160465179,0.14788732394366197,0.2234375,61.30433609454683,38.199185127222684,14.939449541284404,-0.09912969645510507,13.697687596125308,0.4610776827392677,313.19361076236476,4.365866121614716,83.60311329588015,12.690191947565543,14.718346253229974,,25.518739375623973,2.3320458801498125,0.62265625,4423.0,12.941830524344569,15.268199233716476,64.1120117907148,1.631205985915493,19.32057584269663,87.74007682458387,12.259923175416134,9.513891114173113,8.468573937221047,1.411683797698915,-20.263205336217773,1.5286624203821653,-0.4645395458999519,-0.018145112819190283,-0.2241374508052263,0.1373582371713566,2.746373490621218,0.12476026092883238,7.042443539030248,1.930148409512513,0.31471603455531205,-0.4500436442306867,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
2024.0,-209.169,35.0,121.896,72.231,455.543,294.305,201.378,604.422,113.432,352020.0,325412.0,1194.707,DEU,889.677,326.915,48.456,35202010.0,113.787,,3520.0,222.074,2024-12-31,2080.019,DERMAPHARM HOLDING,1471.724,3.61,23.098,326577,38.237,89.935,DE000A2GS5D8,593.498,1194.707,287.427,315.028,58.408,2834.0,604.422,294.305,343.381,0.587,10.676537089324666,18.82575419160785,18.58815592442331,24.634073459015475,9.524259923144335,24.634073459015475,61.8698978075796,14.863405972428867,1.8154504993652785,0.7650826667482374,0.37286756496336965,0.37466313873636875,12.816373311974557,1.4719467524345573,1.6207417996035882,29.058484561919872,70.75531521587062,3.802116148472812,2.914377941251423,47.0963005626391,0.5743731187070888,330.9437673130194,10.532363001622118,34.65509116461191,26.368641014072907,4.481557338614991,1.326640087832466,11.313742807157052,3.200533687339239,0.5293710456729106,163.141,13.65531465037034,18.987674919802565,90.68058394949429,3.4413356893031684,1.93336106677202,42.58482954994859,57.41517045005141,3.8589362758265855,-3.7328184320348345,3.2313411495567657,-8.286438686537634,-7.953588021472746,0.6342065967192626,-0.4287600068167555,0.35205452462828,0.4545569899003441,4.946341128536405,1.8607090101973809,9.68154617818395,5.595114278957773,0.18083648887113943,0.3398187220747304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11,True,0,High Performers
2024.0,-44.269,25.0,101.683,211.838,455.587,462.931,410.093,899.131,151.336,255040.0,456130.0,2264.116,DEU,467.188,846.714,96.6,25504040.0,152.108,,2550.0,251.093,2024-12-31,2368.947,FIELMANN GROUP AG,1455.804,20.221,,204820,79.716,406.664,DE0005772206,545.615,2264.116,1035.488,1001.027,41.865,3851.0,899.131,462.931,259.32,7.394,10.599350681969668,16.917223407934994,11.090111990728388,20.446434723309228,6.71820701766164,20.446434723309228,79.87793028272404,18.37733355094967,0.6443911403378236,0.3381247977475275,0.12009131772948127,0.1288239003961196,-12.710246366845693,0.5195994799422998,0.9718850757008711,37.954880375120254,61.453633196521494,5.997683028782992,1.6680001987337205,36.887781786591255,0.9557478491498543,111.96854754957717,14.960855315324839,24.397000860379947,44.21270818279629,,1.7568525374055222,10.680652627517627,3.520844338364289,0.37630642283254184,330.377,14.591876034620135,19.438517604543357,163.32315118302782,2.634707289594064,,63.50750782338864,36.49249217661136,14.983444044934702,19.249541666792513,23.389065169636304,66.18895752429626,-5.087570991439372,-1.0244609249876622,0.10100085972834867,0.11005620800271869,0.2189692028739411,3.8098689071109475,0.3591593367234257,17.31119353873261,4.742164496181577,0.7953593973621308,0.38282161701463385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
2024.0,-252.922,50.0,75.491,288.58,860.222,566.727,454.493,465.5,259.608,502010.0,5418.0,2046.841,DEU,1436.188,856.623,,50201010.0,130.797,,5020.0,278.147,2024-12-31,2886.43,STROEER SE & CO KGAA,2409.816,11.858,48.07,295079,95.536,363.131,DE0007493991,425.443,2046.841,629.284,1147.243,74.509,7310.0,465.5,566.727,40.586,0.0,9.636367415804298,28.098174006444683,13.589086792769933,27.68788586900497,6.390188588170748,27.68788586900497,57.973188928695485,14.626321457568222,0.49665138573211315,0.4492723169935899,0.08812628192331982,0.08812628192331982,-14.938176224609641,3.085258861439313,3.86534693877551,16.127188256773938,83.48776862768194,3.7330658041310443,3.0417255574553534,62.337177759377504,0.7091254594776246,172.61266655422497,7.884352562324735,46.294226078136994,56.049443996871275,,21.195042625535898,11.609462207640581,4.6674851637230255,0.33105551320257814,358.957,17.53712183799328,21.02034574789931,163.40028833674282,6.200708915145005,2.348497025416239,0.0,100.0,6.922056280787525,5.303192261696732,3.0771905424200385,32.91454681448241,-27.107923549383894,0.48529252216321134,0.3778397427159388,-0.11288322520050043,0.45127996823427174,2.2858091070332587,1.342797646479037,15.745852142612154,1.1303645716434663,0.4958153482817816,0.34752059293587245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11,True,0,High Performers
2024.0,-689.3,25.0,98.9,316.4,2443.7,702.7,683.6,762.6,114.0,255040.0,4561.0,4451.0,DEU,2108.1,1424.4,,25504040.0,84.0,9.7,2550.0,386.3,2024-09-30,4481.3,DOUGLAS AG,3718.7,19.02,,360887,151.3,296.1,DE000BEAU1Y4,1245.1,4451.0,937.1,1280.1,280.3,5990.0,762.6,702.7,793.5,0.0,8.620266440541807,11.014948859166012,8.67894855088744,15.787463491350259,1.887216355875084,15.787463491350259,45.097730847000676,13.456648204270735,0.8741224375175511,0.31704577365908443,0.06943274361134513,0.06943274361134513,-4.0010711177560125,2.764358772619984,3.152635719905586,17.017383348581884,82.98261665141811,1.3781662504459506,3.2806318485840325,53.64961060406578,0.9932385691651976,234.0168243953733,39.04385964912281,9.348461019995506,28.759829251853514,,3.0796471329552615,4.750853546961819,3.3992361267130984,0.47819216182048047,532.3,11.959110312289372,22.13282621416033,176.960911208905,5.876344086021505,,0.0,100.0,8.722733823493488,-0.3358242149274826,4.224889035015611,12.015993265993252,38.17351598173517,2.7505162680335276,-0.386332071580355,-0.015487685059056356,0.2748948067127794,5.235584664334608,4.392062608346757,15.254502041818222,2.993392295349665,0.6899824917532128,0.9939962230801268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,5,True,0,High Performers
