xsga,cogs,seq,act,ggroup,ib,rect,ebitda,oibdp,ppent,datadate,gsector,ceq,isin,conm,dlc,gind,dltt,ebit,sic,che,emp,revt,loc,invt,gsubind,oancf,at,gvkey,fyear,lt,sale,dp,lct,naics,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
1035.488,455.587,899.131,545.615,2550.0,152.108,151.336,462.931,462.931,1001.027,2024-12-31,25.0,899.131,DE0005772206,FIELMANN GROUP AG,406.664,255040.0,467.188,251.093,3851.0,101.683,20.221,2264.116,DEU,259.32,25504040.0,410.093,2368.947,204820,2024.0,1455.804,2264.116,211.838,846.714,456130.0,10.599350681969668,16.917223407934994,11.090111990728388,20.446434723309228,6.71820701766164,0.6443911403378236,0.3381247977475275,0.12009131772948127,0.5195994799422998,0.9718850757008711,37.954880375120254,61.453633196521494,0.9557478491498543,111.96854754957717,14.960855315324839,24.397000860379947,14.983444044934702,19.249541666792513,23.389065169636304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
216.411,1376.112,523.463,857.25,2510.0,77.349,191.732,250.851,250.851,357.167,2024-12-31,25.0,523.463,DE000SAFH001,SAF HOLLAND SE,233.464,251010.0,551.911,166.266,3700.0,311.18,4.935,1876.747,DEU,291.469,25101010.0,200.652,1711.869,285715,2024.0,1184.769,1876.747,84.585,511.747,3362.0,9.712542256446024,14.776402534658612,8.859265526999643,13.366266204235306,4.121439917047956,1.6751441630336865,1.1055873312398508,0.608073911522686,1.0543457703791863,1.5003448190225481,30.57844963604108,69.2090925181775,1.096314612858811,380.29321175278625,9.788386915068951,37.28908584907821,-10.892900383159954,3.640405657310253,-6.071564522268746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
2289.476,1280.106,1426.972,1852.58,2520.0,213.468,408.737,728.223,728.223,1544.336,2024-12-31,25.0,1426.972,DE000A1PHFF7,HUGO BOSS AG,395.753,252030.0,1007.369,360.821,2300.0,210.622,18.623,4307.349,DEU,1071.561,25203010.0,785.511,3782.421,102250,2024.0,2332.31,4307.349,367.402,1204.131,315.0,9.53941932957754,14.959508665902344,8.37686939228746,16.906524175310615,4.955902110555703,1.5385203104977778,0.6486163050365782,0.17491618436864428,0.7059486801422873,0.9832862873272917,37.7264191373726,61.66182981746348,1.138780955372234,231.29189711646887,10.53819204035847,34.63592223430235,2.6180124689723083,8.9511465241338,-0.613726118048874,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
1280.105,3288.165,2423.749,2776.052,2010.0,398.162,1264.576,732.31,732.31,925.441,2024-12-31,20.0,2423.749,DE0006602006,GEA GROUP AG,170.137,201060.0,124.639,562.352,3550.0,638.313,18.347,5422.129,DEU,775.678,20106020.0,710.118,6032.165,100368,2024.0,3608.021,5422.129,169.958,2620.045,3332.0,9.322556660834046,16.42752611759716,10.371424213625312,13.505949415810653,7.3432778895522395,1.0595436337925495,0.7634884133669461,0.24362673160193812,0.0514240542234365,0.12161985420107446,40.18041615240962,59.81303561822331,0.8988694772109185,295.5321850983812,4.287705128042917,85.12712257491478,0.9051471380523424,1.3086461843609065,-2.269216427848497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
662.307,1073.407,1419.503,1642.446,2010.0,170.43,709.185,307.915,307.915,456.516,2024-12-31,20.0,1419.503,DE0005878003,DMG MORI AG,35.149,201060.0,39.285,237.066,3540.0,137.938,7.498,2235.785,DEU,714.117,20106020.0,171.974,2544.259,101937,2024.0,1094.563,2235.785,70.849,964.615,3335.0,9.317683459113244,12.006314886266532,10.603255679772431,13.772120306737904,7.622825987293054,1.7026958942168635,0.9623829196104144,0.14299798365150862,0.02767517927049115,0.052436662691096814,55.79239377752029,43.0208952783502,0.8787568404002893,298.18418244865296,3.152611800870013,115.77702015175878,-10.989016676433872,-8.07479290932811,-0.22621423819028097,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
276.755,1813.551,359.841,1031.011,4520.0,37.414,555.913,205.53,205.53,100.102,2018-12-31,45.0,359.841,DE000A0CAYB2,DIEBOLD NIXDORF AG,344.565,452020.0,4.677,152.23,7372.0,130.356,8.786,2399.846,DEU,211.075,45202030.0,81.68,1638.437,270249,2018.0,1249.278,2399.846,53.3,1086.104,334111.0,9.291172013327335,10.397369949505476,6.343323696603866,8.56429954255398,1.5590167035718128,0.949274655097486,0.7549332292303499,0.12002165538475136,0.012997407188174775,0.9705453241848483,21.962455681848006,76.24815601698448,1.4647166781511893,273.1443205099021,4.316945277408515,84.55052740884207,1.613772598341967,3.1343731725755886,4.2848664688427185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,2,Upper-Mid
937.1,2443.7,762.6,1245.1,2550.0,84.0,114.0,702.7,702.7,1280.1,2024-09-30,25.0,762.6,DE000BEAU1Y4,DOUGLAS AG,296.1,255040.0,2108.1,386.3,5990.0,98.9,19.02,4451.0,DEU,793.5,25504040.0,683.6,4481.3,360887,2024.0,3718.7,4451.0,316.4,1424.4,4561.0,8.620266440541807,11.014948859166012,8.67894855088744,15.787463491350259,1.887216355875084,0.8741224375175511,0.31704577365908443,0.06943274361134513,2.764358772619984,3.152635719905586,17.017383348581884,82.98261665141811,0.9932385691651976,234.0168243953733,39.04385964912281,9.348461019995506,8.722733823493488,-0.3358242149274826,4.224889035015611,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,True,2,Upper-Mid
7259.0,10009.0,21732.0,11031.0,3030.0,2007.0,4144.0,3673.0,3673.0,3802.0,2024-12-31,30.0,21732.0,DE0006048432,HENKEL AG & CO KGAA,1647.0,303010.0,2642.0,3018.0,2840.0,3488.0,47.15,21586.0,DEU,2568.0,30301010.0,3120.0,35267.0,101942,2024.0,13445.0,21586.0,655.0,9089.0,3256.0,8.55757507017892,9.235229155162894,13.98128416566293,17.015658297044382,9.297692949133697,1.2136648696226207,0.9311255363626362,0.383760589723842,0.12157187557518866,0.197358733664642,61.62134573397226,38.123458190376276,0.6120736098902657,457.81548250265115,5.208976833976834,70.07134253682942,0.3346657990145996,11.154185577407972,-1.2565445026178068,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
4148.0,58576.0,33839.0,38217.0,2510.0,6260.0,5598.0,6281.0,6281.0,0.0,2023-12-31,25.0,33839.0,DE0006757008,AUDI AG,0.0,251020.0,0.0,6281.0,3711.0,13436.0,87.736,69865.0,DEU,7966.0,25102010.0,11135.0,73447.0,101120,2023.0,39608.0,69865.0,0.0,24380.0,336111.0,8.55174479556687,18.499364638434944,8.99019537679811,8.99019537679811,8.960137407858012,1.5675553732567677,1.2408121410992616,0.5511074651353568,0.0,0.0,46.07267825779133,53.92732174220867,0.9512301387394992,796.3093826935351,12.480350125044659,29.245974379159808,13.136203909121825,3.7211207140032787,-0.2954679758170764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,True,2,Upper-Mid
998.114,2739.073,3981.18,3106.288,1510.0,478.224,1070.501,1005.062,1005.062,1749.839,2024-12-31,15.0,3981.18,DE000SYM9999,SYMRISE AG,897.068,151010.0,1648.716,709.061,2844.0,709.492,12.956,4998.513,DEU,1283.31,15101050.0,894.914,8324.708,281772,2024.0,4305.061,4998.513,296.001,1925.204,325620.0,8.517548002884906,12.012117010534565,14.185438749484097,20.107219887194454,9.567325322550927,1.6134851163824717,0.9469012115079753,0.3685282183082936,0.4141274697451509,0.6394546340532203,47.82365940042581,51.71425832593767,0.6004430425667783,385.80680765668416,4.669321186995622,78.16982070467758,5.672629855859812,6.106533676845904,2.370417193426033,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Upper-Mid
